,how,near,to,his,death,was,the,work,published,?
luther,0.13354721665382385,0.10615945607423782,0.18029534816741943,0.27093374729156494,0.15764257311820984,0.19185513257980347,0.1759674996137619,0.15580131113529205,0.15444858372211456,0.1732746809720993
's,-0.026164190843701363,-0.09597858041524887,0.03782717138528824,0.047556519508361816,0.07207932323217392,0.008974763564765453,-0.01540423184633255,-0.03332063928246498,0.01244857907295227,-0.023395681753754616
other,0.3591516315937042,0.15705101191997528,0.4193183183670044,0.23453344404697418,0.15471260249614716,0.14651623368263245,0.44152235984802246,0.29067906737327576,0.16840164363384247,0.24682199954986572
major,0.12500809133052826,0.18549048900604248,0.19240309298038483,0.17332184314727783,0.10888776183128357,0.20676274597644806,0.31775903701782227,0.1532536894083023,0.16196270287036896,0.19788557291030884
works,0.28242939710617065,0.027368325740098953,0.22564561665058136,0.32648009061813354,0.17704810202121735,0.2401018887758255,0.26337864995002747,0.6060804724693298,0.3193810284137726,0.19597402215003967
on,0.32655060291290283,0.3508072793483734,0.41031414270401,0.32064297795295715,0.16915851831436157,0.3909217119216919,0.5107308030128479,0.26663315296173096,0.26885396242141724,0.2714994251728058
the,0.33890387415885925,0.2879819869995117,0.535392165184021,0.4394008219242096,0.21438048779964447,0.48711544275283813,1.0,0.2704800069332123,0.22017472982406616,0.22068053483963013
jews,0.191465824842453,0.17423710227012634,0.22399327158927917,0.19577133655548096,0.17430907487869263,0.1935933530330658,0.24901628494262695,0.20316407084465027,0.12571701407432556,0.16730794310569763
were,0.2082374095916748,0.17739489674568176,0.31913647055625916,0.3142043352127075,0.20675764977931976,0.590133786201477,0.3906462490558624,0.23814889788627625,0.20513179898262024,0.17890112102031708
his,0.24614305794239044,0.13597472012043,0.3715193271636963,0.9999998807907104,0.3678654432296753,0.4405253231525421,0.4394008219242096,0.36648666858673096,0.2540745139122009,0.18075084686279297
"60,000-word",0.2990341782569885,0.09351052343845367,0.2614764869213104,0.16555367410182953,0.08855115622282028,0.20571883022785187,0.24970881640911102,0.20092271268367767,0.2519098222255707,0.2741270661354065
treatise,0.2587144374847412,0.0770617201924324,0.14987552165985107,0.25656771659851074,0.16193316876888275,0.20765262842178345,0.2190825194120407,0.3717729449272156,0.40508055686950684,0.1367369443178177
von,0.1710921674966812,0.13698609173297882,0.17537063360214233,0.24299906194210052,0.15559892356395721,0.2042967826128006,0.21817399561405182,0.21786530315876007,0.17510290443897247,0.13907472789287567
den,0.16264751553535461,0.09828625619411469,0.11099254339933395,0.1538706123828888,0.08247434347867966,0.14847347140312195,0.14217782020568848,0.1683824360370636,0.18115174770355225,0.1305062621831894
juden,0.15713438391685486,0.21293725073337555,0.10168010741472244,0.166188046336174,0.1504659801721573,0.18904204666614532,0.20269548892974854,0.1314530074596405,0.2063719481229782,0.1697024405002594
und,0.18187887966632843,0.08095445483922958,0.11908745765686035,0.1561003178358078,0.12036684155464172,0.10551264137029648,0.16904859244823456,0.2151389867067337,0.2524581551551819,0.12338054925203323
ihren,0.1631847470998764,0.13278666138648987,0.12824387848377228,0.22613544762134552,0.24152185022830963,0.22539469599723816,0.1540049910545349,0.1948200762271881,0.30372095108032227,0.25993257761001587
lügen,0.18676477670669556,0.28419721126556396,0.19992633163928986,0.19993551075458527,0.16156142950057983,0.2335074543952942,0.312258243560791,0.20705340802669525,0.16864046454429626,0.19766996800899506
(,0.1676948219537735,0.16812613606452942,0.30882009863853455,0.16098198294639587,0.15356801450252533,0.2980341613292694,0.33289089798927307,0.22960703074932098,0.18344631791114807,0.40561532974243164
on,0.32655060291290283,0.3508072793483734,0.41031414270401,0.32064297795295715,0.16915851831436157,0.3909217119216919,0.5107308030128479,0.26663315296173096,0.26885396242141724,0.2714994251728058
the,0.33890387415885925,0.2879819869995117,0.535392165184021,0.4394008219242096,0.21438048779964447,0.48711544275283813,1.0,0.2704800069332123,0.22017472982406616,0.22068053483963013
jews,0.191465824842453,0.17423710227012634,0.22399327158927917,0.19577133655548096,0.17430907487869263,0.1935933530330658,0.24901628494262695,0.20316407084465027,0.12571701407432556,0.16730794310569763
and,0.33647966384887695,0.25046437978744507,0.48971283435821533,0.4234102666378021,0.1816639006137848,0.3740963041782379,0.5171257257461548,0.37551814317703247,0.22629010677337646,0.20544172823429108
their,0.3316696584224701,0.12608613073825836,0.44619059562683105,0.5725893378257751,0.19749301671981812,0.2396296262741089,0.516537070274353,0.3008926510810852,0.17387564480304718,0.1898253709077835
lies,0.12851229310035706,0.3495251536369324,0.20252260565757751,0.19154515862464905,0.09218516945838928,0.24644087255001068,0.3383781313896179,0.08794710040092468,0.15449729561805725,0.14148172736167908
