,who,handled,the,color,commentary,for,denver,'s,radio,stations,?
in,0.2792111933231354,0.20367968082427979,0.6662389636039734,0.10136925429105759,0.21786750853061676,0.4322226941585541,0.2221570909023285,-0.037580832839012146,0.22625693678855896,0.25864288210868835,0.20430970191955566
denver,0.20955970883369446,0.20980732142925262,0.2052404284477234,0.17002470791339874,0.14816239476203918,0.22017966210842133,1.0,-0.08765961974859238,0.18599461019039154,0.17421209812164307,0.1520889848470688
",",0.3365725874900818,0.2650953531265259,0.4933079481124878,0.20653429627418518,0.2477271854877472,0.4464869201183319,0.25173696875572205,-0.0016132977325469255,0.25251123309135437,0.26337406039237976,0.31091248989105225
koa,0.1683778166770935,0.03396005183458328,0.1781366765499115,0.14414778351783752,0.18297912180423737,0.165740504860878,0.107217937707901,0.04044032841920853,0.10345469415187836,0.14207816123962402,0.1694706827402115
(,0.2443375140428543,0.2030785232782364,0.33289089798927307,0.2203475683927536,0.169064462184906,0.3357032239437103,0.23238550126552582,0.0012731997994706035,0.22948305308818817,0.1346510946750641,0.40561532974243164
850,0.15175987780094147,0.09817881137132645,0.10638400912284851,0.011356918141245842,-0.048887964338064194,0.13562306761741638,0.057951733469963074,0.07157211750745773,0.061674583703279495,0.06982826441526413,0.09615745395421982
am,0.17377091944217682,0.1849440485239029,0.18601742386817932,0.07663379609584808,0.17617398500442505,0.23718447983264923,0.11767572909593582,0.07891272753477097,0.2271493375301361,0.18851621448993683,0.3437723219394684
),0.2457384318113327,0.20239759981632233,0.3456730246543884,0.219363734126091,0.1707165390253067,0.3639558255672455,0.2208423912525177,0.021107977256178856,0.21417279541492462,0.1451086699962616,0.42300865054130554
and,0.41279885172843933,0.27274981141090393,0.5171257257461548,0.21500243246555328,0.2618425786495209,0.5064792633056641,0.20625516772270203,0.06895173341035843,0.2658638060092926,0.2687023878097534,0.20544172823429108
krfx,0.19788214564323425,0.10635027289390564,0.2546996474266052,0.13395315408706665,0.18001312017440796,0.21451832354068756,0.2759806215763092,0.13278421759605408,0.28945618867874146,0.26904261112213135,0.29467079043388367
(,0.2443375140428543,0.2030785232782364,0.33289089798927307,0.2203475683927536,0.169064462184906,0.3357032239437103,0.23238550126552582,0.0012731997994706035,0.22948305308818817,0.1346510946750641,0.40561532974243164
103.5,0.1674550622701645,-0.020559675991535187,-0.059553276747465134,-0.00732025969773531,-0.028346681967377663,-0.029338005930185318,-0.10810257494449615,0.0009152940474450588,-0.08593279123306274,-0.10447921603918076,-0.11392628401517868
fm,0.08293134719133377,0.001783481682650745,0.1839628368616104,0.18163806200027466,0.2210514098405838,0.16451558470726013,0.1659637689590454,0.07825475931167603,0.5416761040687561,0.4250081479549408,0.1004299446940422
),0.2457384318113327,0.20239759981632233,0.3456730246543884,0.219363734126091,0.1707165390253067,0.3639558255672455,0.2208423912525177,0.021107977256178856,0.21417279541492462,0.1451086699962616,0.42300865054130554
will,0.24651563167572021,0.28046268224716187,0.3635469079017639,0.1928393542766571,0.12890705466270447,0.3647450804710388,0.17842401564121246,0.00371179124340415,0.14596246182918549,0.22797757387161255,0.35046905279159546
carry,0.20254260301589966,0.3401508927345276,0.26752355694770813,0.1438634842634201,0.07607835531234741,0.2858029901981354,0.17884160578250885,0.016908660531044006,0.18107746541500092,0.2684228718280792,0.17171701788902283
the,0.3733934462070465,0.22939974069595337,1.0,0.21895472705364227,0.2209595888853073,0.4739971458911896,0.2052404284477234,-0.01540423184633255,0.23511973023414612,0.24762700498104095,0.22068053483963013
game,0.2523840069770813,0.14611667394638062,0.285271555185318,0.24641147255897522,0.24656230211257935,0.2608485519886017,0.18653830885887146,0.07448072731494904,0.22439733147621155,0.19876497983932495,0.1829071193933487
",",0.3365725874900818,0.2650953531265259,0.4933079481124878,0.20653429627418518,0.2477271854877472,0.4464869201183319,0.25173696875572205,-0.0016132977325469255,0.25251123309135437,0.26337406039237976,0.31091248989105225
with,0.3282766342163086,0.3460486829280853,0.4223487675189972,0.22848032414913177,0.17662520706653595,0.39140474796295166,0.20079316198825836,-0.04624466598033905,0.15850627422332764,0.1949257254600525,0.2433311939239502
dave,0.2788484990596771,0.14023682475090027,0.21495839953422546,0.11902324855327606,0.15719659626483917,0.16582727432250977,0.1816384494304657,0.024722006171941757,0.23142558336257935,0.1320030391216278,0.1399918496608734
logan,0.21646051108837128,0.15745240449905396,0.2535000443458557,0.04461689665913582,0.13035209476947784,0.21752648055553436,0.3960370719432831,0.0092606907710433,0.190175399184227,0.1972251832485199,0.19886885583400726
on,0.2340552806854248,0.22203533351421356,0.5107308030128479,0.20340315997600555,0.24374806880950928,0.36199691891670227,0.1561855524778366,0.0026888418942689896,0.2590620815753937,0.3269573450088501,0.2714994251728058
play-by-play,0.2488287091255188,0.1521083116531372,0.2794552743434906,0.26749542355537415,0.2715708017349243,0.318437397480011,0.2354010045528412,0.08638317883014679,0.31086286902427673,0.21720615029335022,0.2925850749015808
and,0.41279885172843933,0.27274981141090393,0.5171257257461548,0.21500243246555328,0.2618425786495209,0.5064792633056641,0.20625516772270203,0.06895173341035843,0.2658638060092926,0.2687023878097534,0.20544172823429108
ed,0.1637633740901947,0.18942154943943024,0.21412420272827148,0.11420652270317078,0.22407598793506622,0.16793066263198853,0.18253058195114136,-0.12763477861881256,0.18429754674434662,0.0951918289065361,0.16764874756336212
mccaffrey,0.3223583996295929,0.15244683623313904,0.26978614926338196,0.17164354026317596,0.26636776328086853,0.2854286730289459,0.29792484641075134,-0.03606042638421059,0.2617664337158203,0.2246832698583603,0.23671486973762512
on,0.2340552806854248,0.22203533351421356,0.5107308030128479,0.20340315997600555,0.24374806880950928,0.36199691891670227,0.1561855524778366,0.0026888418942689896,0.2590620815753937,0.3269573450088501,0.2714994251728058
color,0.1621498465538025,0.13292790949344635,0.21895472705364227,1.0,0.1787087470293045,0.2378578633069992,0.17002470791339874,-0.02538621611893177,0.1325235217809677,0.1569930762052536,0.21299609541893005
commentary,0.2012261152267456,0.13139037787914276,0.2209595888853073,0.1787087470293045,1.0,0.21193501353263855,0.14816239476203918,0.035577647387981415,0.3170797824859619,0.21265214681625366,0.20364898443222046
.,0.3541337847709656,0.24443404376506805,0.5934505462646484,0.2641010880470276,0.159536674618721,0.4726039469242096,0.2573630213737488,-0.003708066651597619,0.20650681853294373,0.22839494049549103,0.4130953550338745
