,in,june,1884,",",where,did,tesla,relocate,?
in,1.0,0.29047903418540955,0.06194859743118286,0.5201468467712402,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.23250794410705566,0.20430970191955566
june,0.29047903418540955,1.0,-0.04141070321202278,0.45453834533691406,0.18621568381786346,0.26244688034057617,0.10874199122190475,0.1944262534379959,0.31416764855384827
1884,0.06194859743118286,-0.04141070321202278,1.0,0.04851863533258438,0.03221607208251953,-0.019103914499282837,0.029632732272148132,0.0749666839838028,-0.08445221930742264
",",0.5201468467712402,0.45453834533691406,0.04851863533258438,1.0000001192092896,0.3149496018886566,0.3015086054801941,0.20599327981472015,0.2315576821565628,0.31091248989105225
he,0.41690486669540405,0.3103662133216858,0.06471044570207596,0.40251094102859497,0.3705328106880188,0.3292143940925598,0.12373391538858414,0.26635462045669556,0.2089974731206894
relocated,0.28603625297546387,0.19376659393310547,0.11763136088848114,0.23454871773719788,0.29932594299316406,0.2389494925737381,0.1250636875629425,0.8733184337615967,0.0634486973285675
to,0.45010748505592346,0.22441016137599945,0.0789077877998352,0.44245919585227966,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.37035825848579407,0.29463258385658264
new,0.3758552670478821,0.25219395756721497,-0.011487593874335289,0.36073189973831177,0.26026442646980286,0.227974995970726,0.15999311208724976,0.27699989080429077,0.14782847464084625
york,0.2961827218532562,0.23890821635723114,-0.012002089060842991,0.2926291227340698,0.21910661458969116,0.16606222093105316,0.15629629790782928,0.23118159174919128,0.15262620151042938
city:57–60,0.3424244523048401,0.1935293823480606,0.0036407620646059513,0.3172057569026947,0.21228088438510895,0.07122548669576645,0.16204328835010529,0.23804792761802673,0.20498128235340118
where,0.5344807505607605,0.18621568381786346,0.03221607208251953,0.3149496018886566,0.9999999403953552,0.24159270524978638,0.12761090695858002,0.30046579241752625,0.24793872237205505
he,0.41690486669540405,0.3103662133216858,0.06471044570207596,0.40251094102859497,0.3705328106880188,0.3292143940925598,0.12373391538858414,0.26635462045669556,0.2089974731206894
was,0.45514053106307983,0.42821118235588074,-0.0050269500352442265,0.45456063747406006,0.20731619000434875,0.41399896144866943,0.16455206274986267,0.20225082337856293,0.18412111699581146
hired,0.18746300041675568,0.15808801352977753,-0.06323860585689545,0.19597217440605164,0.17812278866767883,0.368927001953125,0.15152283012866974,0.34101352095603943,0.1434362679719925
by,0.370934396982193,0.19631804525852203,-0.02613055892288685,0.3680937886238098,0.2641284465789795,0.18574509024620056,0.16513796150684357,0.1413467973470688,0.17966607213020325
thomas,0.21133768558502197,0.18655534088611603,-0.03579910099506378,0.25079426169395447,0.12281821668148041,0.20728807151317596,0.21892967820167542,0.048493437469005585,0.16133050620555878
edison,0.22187061607837677,0.15093356370925903,-0.1515403389930725,0.29400110244750977,0.1765860617160797,0.1372239738702774,0.35526686906814575,0.105416439473629,0.10244420915842056
to,0.45010748505592346,0.22441016137599945,0.0789077877998352,0.44245919585227966,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.37035825848579407,0.29463258385658264
work,0.2753349542617798,0.18203504383563995,-0.019513612613081932,0.3283594250679016,0.2737104296684265,0.336654931306839,0.2545209228992462,0.2359546720981598,0.2621155381202698
at,0.4374977946281433,0.2827494144439697,-0.046927038580179214,0.38314947485923767,0.4402937591075897,0.28390252590179443,0.16552478075027466,0.25674715638160706,0.21978627145290375
his,0.3598145842552185,0.27253690361976624,0.07536033540964127,0.3378419280052185,0.29880598187446594,0.3546801507472992,0.1580733060836792,0.28059932589530945,0.18075084686279297
edison,0.22187061607837677,0.15093356370925903,-0.1515403389930725,0.29400110244750977,0.1765860617160797,0.1372239738702774,0.35526686906814575,0.105416439473629,0.10244420915842056
machine,0.16716814041137695,0.1336994171142578,-0.1788230687379837,0.21841607987880707,0.22835810482501984,0.14258401095867157,0.2521411180496216,0.18789564073085785,0.17587624490261078
works,0.2656683027744293,0.1168007031083107,-0.006386303808540106,0.29211118817329407,0.24487273395061493,0.17949827015399933,0.20543460547924042,0.14614330232143402,0.19597402215003967
on,0.46853652596473694,0.39323267340660095,0.017774738371372223,0.49057599902153015,0.37630224227905273,0.2670976221561432,0.16159376502037048,0.18562406301498413,0.2714994251728058
manhattan,0.24702738225460052,0.17541280388832092,-0.029069989919662476,0.2758549153804779,0.19199755787849426,0.1959509253501892,0.19268673658370972,0.19276951253414154,0.08787932246923447
's,-0.037580832839012146,-0.0547623410820961,0.007656722329556942,-0.0016132977325469255,0.0007701900321990252,0.05069678649306297,0.06449045985937119,-0.050574496388435364,-0.023395681753754616
lower,0.27455443143844604,0.07068732380867004,0.00560577679425478,0.236776202917099,0.23795399069786072,0.1054062619805336,0.16620974242687225,0.1681276112794876,0.08471795171499252
east,0.32659441232681274,0.18410038948059082,0.06311267614364624,0.319791704416275,0.28155818581581116,0.17160435020923615,0.07547537237405777,0.1686251014471054,0.10070597380399704
side,0.2626299262046814,0.11607065796852112,0.08306016027927399,0.24522119760513306,0.28958743810653687,0.19660846889019012,0.10926658660173416,0.20292465388774872,0.07831130921840668
.,0.5591574311256409,0.360857754945755,0.019394991919398308,0.6812511086463928,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.22538664937019348,0.4130953550338745
