,who,stripped,the,ball,from,cam,newton,while,sacking,him,on,this,drive,?
a,0.36608949303627014,0.21361295878887177,0.5829201340675354,0.23578347265720367,0.322764128446579,0.18400311470031738,0.1884482353925705,0.3733035624027252,0.1876051276922226,0.32137390971183777,0.3848365545272827,0.5422310829162598,0.24929353594779968,0.23916715383529663
few,0.3378944993019104,0.15032503008842468,0.34660017490386963,0.14746533334255219,0.30187293887138367,0.09409287571907043,0.11871075630187988,0.3712349832057953,0.19700108468532562,0.2255581021308899,0.3005446493625641,0.3351297378540039,0.21253442764282227,0.2334265559911728
plays,0.24272681772708893,0.030613448470830917,0.1760704517364502,0.24181239306926727,0.13460281491279602,0.08695978671312332,0.14049376547336578,0.18742510676383972,0.1487654447555542,0.13360655307769775,0.18588706851005554,0.1204022616147995,0.09106305986642838,0.14138242602348328
later,0.35185644030570984,0.2756728231906891,0.4060266613960266,0.11628908663988113,0.34398579597473145,0.1849190890789032,0.2175983041524887,0.34200772643089294,0.21197719871997833,0.46732014417648315,0.30872204899787903,0.3066357672214508,0.1973206251859665,0.1417175978422165
",",0.3365725874900818,0.20366182923316956,0.4933079481124878,0.2170172780752182,0.39760664105415344,0.22727563977241516,0.2648763358592987,0.38232675194740295,0.2849172055721283,0.31121695041656494,0.49057599902153015,0.4316047728061676,0.17920437455177307,0.31091248989105225
on,0.2340552806854248,0.18999923765659332,0.5107308030128479,0.1605052351951599,0.36926645040512085,0.13481371104717255,0.14340966939926147,0.44084006547927856,0.22720551490783691,0.2697460651397705,0.9999999403953552,0.4193967580795288,0.1695663183927536,0.2714994251728058
3rd-and-10,0.29338204860687256,0.15825513005256653,0.33422017097473145,0.17531351745128632,0.18989549577236176,0.09452923387289047,0.12724831700325012,0.241778165102005,0.22854387760162354,0.26973628997802734,0.15876264870166779,0.2286565750837326,0.10772047191858292,0.12372670322656631
from,0.27839982509613037,0.16444803774356842,0.40150508284568787,0.21110084652900696,1.0,0.14114953577518463,0.12768514454364777,0.35008183121681213,0.1818775236606598,0.2413332462310791,0.36926645040512085,0.3469814360141754,0.15552356839179993,0.19969791173934937
the,0.3733934462070465,0.24013200402259827,1.0,0.18895584344863892,0.40150508284568787,0.18275147676467896,0.1876603662967682,0.39804592728614807,0.32415956258773804,0.39213326573371887,0.5107308030128479,0.6274310946464539,0.2083187699317932,0.22068053483963013
15-yard,0.28564170002937317,0.20081543922424316,0.3201746642589569,0.2848057448863983,0.21255744993686676,0.1506340056657791,0.3043619990348816,0.23398789763450623,0.3122202455997467,0.26453226804733276,0.23577880859375,0.27501219511032104,0.23373277485370636,0.14087530970573425
