,what,was,the,name,of,the,3d,system,effect,in,dimension,in,time,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.05584833770990372,0.3233085572719574,0.2865084111690521,0.6662389636039734,0.17615877091884613,0.6662389636039734,0.43061500787734985,0.22068053483963013
special,0.24134232103824615,0.1585642695426941,0.3027077615261078,0.11142970621585846,0.27998968958854675,0.3027077615261078,0.11358654499053955,0.18810707330703735,0.19286523759365082,0.2897285223007202,0.17807435989379883,0.2897285223007202,0.20113401114940643,0.29623302817344666
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.03670795261859894,0.2147521674633026,0.16271711885929108,0.45514053106307983,0.1469825804233551,0.45514053106307983,0.3641340136528015,0.18412111699581146
one,0.376489520072937,0.3752199709415436,0.5514441132545471,0.27018114924430847,0.4999135136604309,0.5514441132545471,-0.009089956991374493,0.2139107882976532,0.2534133493900299,0.4129433035850525,0.28542789816856384,0.4129433035850525,0.4878559708595276,0.2673267424106598
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.04026421904563904,0.25597915053367615,0.24129827320575714,0.5696388483047485,0.18594343960285187,0.5696388483047485,0.35127586126327515,0.1826142966747284
several,0.22446060180664062,0.25396689772605896,0.40559855103492737,0.18625035881996155,0.3271615505218506,0.40559855103492737,0.013404503464698792,0.18149340152740479,0.15608878433704376,0.39405709505081177,0.12224466353654861,0.39405709505081177,0.30116191506385803,0.15595775842666626
special,0.24134232103824615,0.1585642695426941,0.3027077615261078,0.11142970621585846,0.27998968958854675,0.3027077615261078,0.11358654499053955,0.18810707330703735,0.19286523759365082,0.2897285223007202,0.17807435989379883,0.2897285223007202,0.20113401114940643,0.29623302817344666
3d,-0.028964104130864143,0.03670795261859894,0.05584833770990372,0.1459455043077469,0.04026421904563904,0.05584833770990372,0.9999998807907104,0.029678069055080414,-0.06181854382157326,0.029786530882120132,0.1354406327009201,0.029786530882120132,-0.10010577738285065,0.040244732052087784
programmes,0.22633221745491028,0.21463358402252197,0.24291597306728363,0.18145765364170074,0.1955287903547287,0.24291597306728363,0.07428109645843506,0.16598711907863617,0.11991159617900848,0.25503143668174744,0.20034679770469666,0.25503143668174744,0.2542301118373871,0.20130415260791779
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.05584833770990372,0.3233085572719574,0.2865084111690521,0.6662389636039734,0.17615877091884613,0.6662389636039734,0.43061500787734985,0.22068053483963013
bbc,0.20634698867797852,0.19087861478328705,0.2735401690006256,0.10844849795103073,0.1797877550125122,0.2735401690006256,0.11580590158700943,0.06617923825979233,0.14393454790115356,0.22430340945720673,0.13556723296642303,0.22430340945720673,0.2386435568332672,0.20556949079036713
produced,0.1393624097108841,0.28463777899742126,0.22045251727104187,0.1682487279176712,0.18961067497730255,0.22045251727104187,0.06949762254953384,0.11324847489595413,0.1911967247724533,0.2542861998081207,0.17734570801258087,0.2542861998081207,0.16559536755084991,0.1623450517654419
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.11450952291488647,0.42558613419532776,0.457212895154953,0.10676047950983047,0.1684759259223938,0.11583761125802994,0.4374977946281433,0.14701247215270996,0.4374977946281433,0.3956010341644287,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.05584833770990372,0.3233085572719574,0.2865084111690521,0.6662389636039734,0.17615877091884613,0.6662389636039734,0.43061500787734985,0.22068053483963013
