,what,were,the,astronauts,wearing,during,the,dual,mission,as-278,?
the,0.42745697498321533,0.3906462490558624,1.0,0.197182759642601,0.23894265294075012,0.4838213622570038,1.0,0.18420051038265228,0.22673439979553223,0.23780229687690735,0.22068053483963013
astronauts,0.1784883290529251,0.2418980598449707,0.197182759642601,0.9999999403953552,0.2212052345275879,0.24143624305725098,0.197182759642601,0.06014249473810196,0.4084945619106293,0.24671050906181335,0.15138289332389832
would,0.45766422152519226,0.37426912784576416,0.4133751392364502,0.23981912434101105,0.230924591422081,0.25707411766052246,0.4133751392364502,0.17363791167736053,0.19374151527881622,0.23447269201278687,0.37178951501846313
begin,0.26893487572669983,0.23794667422771454,0.34293439984321594,0.19046148657798767,0.1916152387857437,0.36029958724975586,0.34293439984321594,0.0886387825012207,0.17862938344478607,0.16966785490512848,0.16177093982696533
wearing,0.22093060612678528,0.26637595891952515,0.23894265294075012,0.2212052345275879,1.0,0.27448102831840515,0.23894265294075012,0.14267592132091522,0.15934237837791443,0.16203264892101288,0.11018665879964828
a,0.3320399522781372,0.17203083634376526,0.5829201340675354,0.14729517698287964,0.2786465883255005,0.30341604351997375,0.5829201340675354,0.22190824151039124,0.2477724254131317,0.13667286932468414,0.23916715383529663
new,0.2130378633737564,0.21711495518684387,0.3845241069793701,0.08748141676187515,0.1574839949607849,0.19458933174610138,0.3845241069793701,0.13547176122665405,0.14952126145362854,0.16270413994789124,0.14782847464084625
apollo,0.13561789691448212,0.183358833193779,0.2169172167778015,0.5551470518112183,0.22034507989883423,0.22065234184265137,0.2169172167778015,0.04409310221672058,0.4094500243663788,0.19846171140670776,0.191528782248497
spacesuit,0.25044921040534973,0.24470849335193634,0.26034942269325256,0.624715268611908,0.3047720193862915,0.21463428437709808,0.26034942269325256,0.11706118285655975,0.4190192222595215,0.25098147988319397,0.2394835650920868
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.23683924973011017,0.2239631563425064,0.3225448727607727,0.4933079481124878,0.17898842692375183,0.21226151287555695,0.15837262570858002,0.31091248989105225
designed,0.15902110934257507,0.21924695372581482,0.2559613883495331,0.19090843200683594,0.20217809081077576,0.1698603630065918,0.2559613883495331,0.19473618268966675,0.2078419327735901,0.1778436154127121,0.11213942617177963
to,0.455847829580307,0.31913647055625916,0.535392165184021,0.22723354399204254,0.21110928058624268,0.2828781306743622,0.535392165184021,0.15537963807582855,0.26700642704963684,0.294809490442276,0.29463258385658264
accommodate,0.16995248198509216,0.24191011488437653,0.2714124023914337,0.2027502954006195,0.17295518517494202,0.18656212091445923,0.2714124023914337,0.19044682383537292,0.14202582836151123,0.2797727882862091,0.19023896753787994
lunar,0.18274477124214172,0.19600282609462738,0.23309995234012604,0.4791547656059265,0.11972422897815704,0.24792304635047913,0.23309995234012604,0.06414447724819183,0.3878321945667267,0.18325328826904297,0.1628302037715912
extravehicular,0.3153327405452728,0.1477380394935608,0.30803489685058594,0.24360285699367523,0.2085227519273758,0.2012891173362732,0.30803489685058594,0.21634146571159363,0.25850072503089905,0.24243995547294617,0.231402188539505
activity,0.28365153074264526,0.2216368466615677,0.28331097960472107,0.17517484724521637,0.1945725381374359,0.30104607343673706,0.28331097960472107,0.10202908515930176,0.19863837957382202,0.13750389218330383,0.19043973088264465
(,0.2411840260028839,0.14743882417678833,0.33289089798927307,0.1730314940214157,0.12259186059236526,0.2139192670583725,0.33289089798927307,0.08217255026102066,0.16283848881721497,0.13589537143707275,0.40561532974243164
eva,0.1055561825633049,0.13772355020046234,0.0991697907447815,0.2131396383047104,0.1729738861322403,0.11230607330799103,0.0991697907447815,0.12058306485414505,0.1985611766576767,0.07352909445762634,0.1840759515762329
),0.26259949803352356,0.1566188633441925,0.3456730246543884,0.18566611409187317,0.14748184382915497,0.23182427883148193,0.3456730246543884,0.0962943583726883,0.1770586371421814,0.14920027554035187,0.42300865054130554
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.23320762813091278,0.21058069169521332,0.3485563397407532,0.5934505462646484,0.17115114629268646,0.2227463275194168,0.24321691691875458,0.4130953550338745
