,where,will,a,canonball,dropped,from,the,crow,'s,nest,of,a,ship,land,according,to,aristotle,?
thus,0.34827229380607605,0.3222920000553131,0.3190890848636627,0.17098869383335114,0.21487002074718475,0.30632510781288147,0.4036877751350403,0.21779532730579376,0.05755096301436424,0.17877227067947388,0.3487406373023987,0.3190890848636627,0.1875268965959549,0.22974960505962372,0.23955516517162323,0.42383262515068054,0.16850027441978455,0.18769288063049316
",",0.3149496018886566,0.29706671833992004,0.427140474319458,0.2828251123428345,0.23572582006454468,0.39760664105415344,0.4933079481124878,0.2982874810695648,-0.0016132977325469255,0.1750822514295578,0.4946078956127167,0.427140474319458,0.2015654593706131,0.22220008075237274,0.3107093870639801,0.44245919585227966,0.21875548362731934,0.31091248989105225
in,0.5344807505607605,0.2580665349960327,0.539380669593811,0.2450801134109497,0.22307343780994415,0.4274188280105591,0.6662389636039734,0.1941109001636505,-0.037580832839012146,0.15288145840168,0.5696388483047485,0.539380669593811,0.21587909758090973,0.22871792316436768,0.29259276390075684,0.45010748505592346,0.17606331408023834,0.20430970191955566
an,0.24824833869934082,0.22877877950668335,0.44552403688430786,0.2078132927417755,0.15712440013885498,0.20876385271549225,0.4207492768764496,0.17884056270122528,0.025255560874938965,0.08210846036672592,0.32280945777893066,0.44552403688430786,0.183262437582016,0.15302860736846924,0.16550497710704803,0.3138085603713989,0.19764694571495056,0.19793890416622162
aristotelian,0.1993473321199417,0.13179276883602142,0.2305297553539276,0.3530772030353546,0.10792834311723709,0.17993667721748352,0.19423235952854156,0.1948833465576172,0.04208330810070038,0.09258753806352615,0.2504543960094452,0.2305297553539276,0.10972621291875839,0.06550013273954391,0.301139235496521,0.19979743659496307,0.7973302602767944,0.15906864404678345
universe,0.221253901720047,0.2544742524623871,0.16387277841567993,0.32735270261764526,0.12178102135658264,0.12759892642498016,0.23688684403896332,0.24529293179512024,0.014257993549108505,0.11123872548341751,0.2241278737783432,0.16387277841567993,0.18448013067245483,0.15079376101493835,0.20598921179771423,0.1915040910243988,0.29399409890174866,0.22314924001693726
",",0.3149496018886566,0.29706671833992004,0.427140474319458,0.2828251123428345,0.23572582006454468,0.39760664105415344,0.4933079481124878,0.2982874810695648,-0.0016132977325469255,0.1750822514295578,0.4946078956127167,0.427140474319458,0.2015654593706131,0.22220008075237274,0.3107093870639801,0.44245919585227966,0.21875548362731934,0.31091248989105225
the,0.5003893971443176,0.3635469079017639,0.5829201340675354,0.2586708068847656,0.2875209450721741,0.40150508284568787,1.0,0.26465290784835815,-0.01540423184633255,0.19506581127643585,0.733189046382904,0.5829201340675354,0.24414241313934326,0.28587454557418823,0.3202974498271942,0.535392165184021,0.1415858268737793,0.22068053483963013
falling,0.23755697906017303,0.22912149131298065,0.2748778164386749,0.3181518316268921,0.38766077160835266,0.3046562969684601,0.3168080151081085,0.20266886055469513,-0.03182215988636017,0.2335834801197052,0.27901384234428406,0.2748778164386749,0.19438768923282623,0.20717595517635345,0.15816448628902435,0.25933295488357544,0.14411313831806183,0.159834623336792
cannonball,0.2598177194595337,0.27555033564567566,0.23978084325790405,0.7635142803192139,0.25445306301116943,0.16670280694961548,0.22936807572841644,0.27261078357696533,-0.04686299338936806,0.20432047545909882,0.16981112957000732,0.23978084325790405,0.3031359314918518,0.1366952508687973,0.12778401374816895,0.2525786757469177,0.22093404829502106,0.20333383977413177
would,0.3602546751499176,0.7075439691543579,0.398599237203598,0.2136831283569336,0.3208276331424713,0.26231399178504944,0.4133751392364502,0.2398190200328827,0.036968596279621124,0.17742161452770233,0.3353942930698395,0.398599237203598,0.17544575035572052,0.24477986991405487,0.23660632967948914,0.5965728163719177,0.19811014831066132,0.37178951501846313
