,the,lithosphere,moves,over,which,mantle,n,the,theory,of,plate,tectonics,?
the,1.0,0.28085029125213623,0.3217451572418213,0.39856547117233276,0.6521818041801453,0.24731530249118805,0.18813885748386383,1.0,0.2277156263589859,0.733189046382904,0.2611875832080841,0.29442116618156433,0.22068053483963013
power,0.2647338807582855,0.20094555616378784,0.2055356204509735,0.2579299211502075,0.2490626573562622,0.18136489391326904,0.17138966917991638,0.2647338807582855,0.2022087424993515,0.25273123383522034,0.044859062880277634,0.1745637208223343,0.15304024517536163
of,0.733189046382904,0.2557520568370819,0.2320866733789444,0.36136594414711,0.5011631846427917,0.19364143908023834,0.18925218284130096,0.733189046382904,0.23506702482700348,1.0,0.18672886490821838,0.26461800932884216,0.1826142966747284
the,1.0,0.28085029125213623,0.3217451572418213,0.39856547117233276,0.6521818041801453,0.24731530249118805,0.18813885748386383,1.0,0.2277156263589859,0.733189046382904,0.2611875832080841,0.29442116618156433,0.22068053483963013
theory,0.2277156263589859,0.27611440420150757,0.1559998095035553,0.1338968127965927,0.3127335011959076,0.24988579750061035,0.171409010887146,0.2277156263589859,0.9999999403953552,0.23506702482700348,0.1758165806531906,0.38655465841293335,0.1387292891740799
of,0.733189046382904,0.2557520568370819,0.2320866733789444,0.36136594414711,0.5011631846427917,0.19364143908023834,0.18925218284130096,0.733189046382904,0.23506702482700348,1.0,0.18672886490821838,0.26461800932884216,0.1826142966747284
plate,0.2611875832080841,0.4186927080154419,0.2423429936170578,0.19910828769207,0.3061125576496124,0.3957595229148865,0.09989745914936066,0.2611875832080841,0.1758165806531906,0.18672886490821838,1.0000001192092896,0.562028169631958,0.17674463987350464
tectonics,0.29442116618156433,0.6026625037193298,0.22406598925590515,0.27442237734794617,0.35807666182518005,0.5224575996398926,0.14983578026294708,0.29442116618156433,0.38655465841293335,0.26461800932884216,0.562028169631958,1.0000001192092896,0.1727893352508545
lies,0.3383781313896179,0.34651145339012146,0.2008630484342575,0.1658334583044052,0.24052020907402039,0.21821968257427216,0.1545424908399582,0.3383781313896179,0.1280095875263214,0.28165045380592346,0.15757909417152405,0.2693849802017212,0.14148172736167908
in,0.6662389636039734,0.2248716950416565,0.22815023362636566,0.3605569899082184,0.4840516746044159,0.12298760563135147,0.16728445887565613,0.6662389636039734,0.16955126821994781,0.5696388483047485,0.18938399851322174,0.1988927572965622,0.20430970191955566
its,0.559237003326416,0.25867438316345215,0.2033199667930603,0.36371928453445435,0.5154205560684204,0.18776005506515503,0.17249734699726105,0.559237003326416,0.1782047599554062,0.48690423369407654,0.20193368196487427,0.23739393055438995,0.15103481709957123
ability,0.24997951090335846,0.20594972372055054,0.2527603507041931,0.2294335663318634,0.35557249188423157,0.23621749877929688,0.10091404616832733,0.24997951090335846,0.21438387036323547,0.21105368435382843,0.09380439668893814,0.18163037300109863,0.1955445408821106
to,0.535392165184021,0.22629611194133759,0.2611854076385498,0.38635820150375366,0.5345056653022766,0.15417823195457458,0.16421891748905182,0.535392165184021,0.21947365999221802,0.41548454761505127,0.20158171653747559,0.25103384256362915,0.29463258385658264
combine,0.2880306839942932,0.20555219054222107,0.22378499805927277,0.21992404758930206,0.3934752941131592,0.13438376784324646,0.18112488090991974,0.2880306839942932,0.281600683927536,0.3253297805786133,0.17881253361701965,0.23773664236068726,0.23649157583713531
all,0.4860881567001343,0.20006828010082245,0.19189897179603577,0.3786722719669342,0.50777268409729,0.1704855114221573,0.135959193110466,0.4860881567001343,0.21550370752811432,0.42798417806625366,0.14130862057209015,0.21099190413951874,0.29575422406196594
of,0.733189046382904,0.2557520568370819,0.2320866733789444,0.36136594414711,0.5011631846427917,0.19364143908023834,0.18925218284130096,0.733189046382904,0.23506702482700348,1.0,0.18672886490821838,0.26461800932884216,0.1826142966747284
these,0.49086877703666687,0.3077744245529175,0.15323945879936218,0.36364543437957764,0.5959210991859436,0.22827988862991333,0.1513843685388565,0.49086877703666687,0.25035953521728516,0.42684608697891235,0.247314915060997,0.3367159068584442,0.2571668326854706
observations,0.2542272210121155,0.30765417218208313,0.18453025817871094,0.21369318664073944,0.2796248197555542,0.25470417737960815,0.1100289449095726,0.2542272210121155,0.4412156343460083,0.20744435489177704,0.15255895256996155,0.3143494129180908,0.16318461298942566
into,0.39493247866630554,0.2961653470993042,0.2197292000055313,0.372319757938385,0.4405161738395691,0.2516057789325714,0.11515535414218903,0.39493247866630554,0.1421150416135788,0.32255905866622925,0.19360670447349548,0.2352994829416275,0.15662476420402527
a,0.5829201340675354,0.23503807187080383,0.27945461869239807,0.32199642062187195,0.56894451379776,0.16546060144901276,0.25362148880958557,0.5829201340675354,0.2233850657939911,0.5052502155303955,0.21128766238689423,0.1766786277294159,0.23916715383529663
single,0.29338565468788147,0.16075482964515686,0.16953536868095398,0.22906528413295746,0.34546270966529846,0.18848851323127747,0.19239717721939087,0.29338565468788147,0.14428913593292236,0.22455744445323944,0.13317564129829407,0.12185284495353699,0.2151121199131012
theory,0.2277156263589859,0.27611440420150757,0.1559998095035553,0.1338968127965927,0.3127335011959076,0.24988579750061035,0.171409010887146,0.2277156263589859,0.9999999403953552,0.23506702482700348,0.1758165806531906,0.38655465841293335,0.1387292891740799
of,0.733189046382904,0.2557520568370819,0.2320866733789444,0.36136594414711,0.5011631846427917,0.19364143908023834,0.18925218284130096,0.733189046382904,0.23506702482700348,1.0,0.18672886490821838,0.26461800932884216,0.1826142966747284
how,0.33890387415885925,0.22982193529605865,0.2772510051727295,0.31446483731269836,0.4852597713470459,0.20321668684482574,0.11270806193351746,0.33890387415885925,0.31550133228302,0.2480744868516922,0.19830173254013062,0.27933183312416077,0.4024120569229126
the,1.0,0.28085029125213623,0.3217451572418213,0.39856547117233276,0.6521818041801453,0.24731530249118805,0.18813885748386383,1.0,0.2277156263589859,0.733189046382904,0.2611875832080841,0.29442116618156433,0.22068053483963013
lithosphere,0.28085029125213623,1.0,0.2461855113506317,0.21894872188568115,0.3640127182006836,0.6037241816520691,0.13839879631996155,0.28085029125213623,0.27611440420150757,0.2557520568370819,0.4186927080154419,0.6026625037193298,0.1646844744682312
moves,0.3217451572418213,0.2461855113506317,1.0000001192092896,0.16115666925907135,0.2957255244255066,0.2520346939563751,0.227552592754364,0.3217451572418213,0.1559998095035553,0.2320866733789444,0.2423429936170578,0.22406598925590515,0.22897186875343323
over,0.39856547117233276,0.21894872188568115,0.16115666925907135,1.0,0.4256240129470825,0.20200468599796295,0.13624311983585358,0.39856547117233276,0.1338968127965927,0.36136594414711,0.19910828769207,0.27442237734794617,0.25742942094802856
the,1.0,0.28085029125213623,0.3217451572418213,0.39856547117233276,0.6521818041801453,0.24731530249118805,0.18813885748386383,1.0,0.2277156263589859,0.733189046382904,0.2611875832080841,0.29442116618156433,0.22068053483963013
convecting,0.2526756823062897,0.5161557793617249,0.3054513931274414,0.3208121955394745,0.3042086660861969,0.4491724967956543,0.1220923587679863,0.2526756823062897,0.20953477919101715,0.2490978091955185,0.23930038511753082,0.4644443988800049,0.107670359313488
mantle,0.24731530249118805,0.6037241816520691,0.2520346939563751,0.20200468599796295,0.3182186186313629,1.0,0.07139233499765396,0.24731530249118805,0.24988579750061035,0.19364143908023834,0.3957595229148865,0.5224575996398926,0.16224074363708496
.,0.5934505462646484,0.2108633816242218,0.24566331505775452,0.37877383828163147,0.45942068099975586,0.16694815456867218,0.29137879610061646,0.5934505462646484,0.18047811090946198,0.5352458953857422,0.21695120632648468,0.19750216603279114,0.4130953550338745
