,a,formal,design,team,may,be,assembled,to,do,what,?
a,1.0,0.29366669058799744,0.25211480259895325,0.19125498831272125,0.29255667328834534,0.39883795380592346,0.15408079326152802,0.45503583550453186,0.26237669587135315,0.3320399522781372,0.23916715383529663
formal,0.29366669058799744,1.0000001192092896,0.24643193185329437,0.13095450401306152,0.28405097126960754,0.2562829256057739,0.23138758540153503,0.27394044399261475,0.23977015912532806,0.26485171914100647,0.1989586055278778
design,0.25211480259895325,0.24643193185329437,1.0000001192092896,0.1468319445848465,0.15666541457176208,0.2264687865972519,0.27045154571533203,0.26415011286735535,0.14139020442962646,0.23893405497074127,0.16351860761642456
team,0.19125498831272125,0.13095450401306152,0.1468319445848465,1.0,0.10846784710884094,0.11497053503990173,0.09147702902555466,0.23889471590518951,0.1648062914609909,0.17632107436656952,0.11243411153554916
may,0.29255667328834534,0.28405097126960754,0.15666541457176208,0.10846784710884094,0.9999998807907104,0.45514434576034546,0.15732690691947937,0.391582727432251,0.28230178356170654,0.25739946961402893,0.2768254578113556
be,0.39883795380592346,0.2562829256057739,0.2264687865972519,0.11497053503990173,0.45514434576034546,1.0,0.22405295073986053,0.4972836375236511,0.36575672030448914,0.3929833769798279,0.3324260413646698
assembled,0.15408079326152802,0.23138758540153503,0.27045154571533203,0.09147702902555466,0.15732690691947937,0.22405295073986053,0.9999999403953552,0.17700643837451935,0.11445202678442001,0.20026713609695435,0.1162143424153328
to,0.45503583550453186,0.27394044399261475,0.26415011286735535,0.23889471590518951,0.391582727432251,0.4972836375236511,0.17700643837451935,1.0,0.38876664638519287,0.455847829580307,0.29463258385658264
plan,0.27156999707221985,0.19501712918281555,0.33543187379837036,0.17969228327274323,0.14175279438495636,0.2215609848499298,0.16254045069217682,0.36421895027160645,0.25228890776634216,0.2947953939437866,0.1961054503917694
the,0.5829201340675354,0.245810866355896,0.27913451194763184,0.22564226388931274,0.2694292366504669,0.4248143136501312,0.2575589418411255,0.535392165184021,0.30239659547805786,0.42745697498321533,0.22068053483963013
physical,0.2210949957370758,0.30364447832107544,0.22408725321292877,0.15195393562316895,0.23965226113796234,0.27982616424560547,0.12626414000988007,0.24461913108825684,0.23259274661540985,0.27895045280456543,0.11781801283359528
proceedings,0.18473224341869354,0.395871102809906,0.21558240056037903,0.13726727664470673,0.23184844851493835,0.23554642498493195,0.2410726249217987,0.26425981521606445,0.22021953761577606,0.22622688114643097,0.17969121038913727
",",0.427140474319458,0.2519475817680359,0.19350415468215942,0.21287471055984497,0.5007920861244202,0.39254459738731384,0.19421221315860748,0.44245919585227966,0.3283645510673523,0.3087472915649414,0.31091248989105225
and,0.3739250600337982,0.2337617129087448,0.21815341711044312,0.22394508123397827,0.34598252177238464,0.41766801476478577,0.21196071803569794,0.48971283435821533,0.276123583316803,0.31309178471565247,0.20544172823429108
to,0.45503583550453186,0.27394044399261475,0.26415011286735535,0.23889471590518951,0.391582727432251,0.4972836375236511,0.17700643837451935,1.0,0.38876664638519287,0.455847829580307,0.29463258385658264
integrate,0.24501007795333862,0.2623603045940399,0.2784332036972046,0.11653314530849457,0.1600598841905594,0.30869200825691223,0.2267003357410431,0.30895188450813293,0.34392935037612915,0.2296675741672516,0.17263366281986237
those,0.24251152575016022,0.31777018308639526,0.19946549832820892,0.13433247804641724,0.312456876039505,0.4287525415420532,0.2539956569671631,0.47350940108299255,0.43052518367767334,0.44466671347618103,0.3328189253807068
proceedings,0.18473224341869354,0.395871102809906,0.21558240056037903,0.13726727664470673,0.23184844851493835,0.23554642498493195,0.2410726249217987,0.26425981521606445,0.22021953761577606,0.22622688114643097,0.17969121038913727
with,0.3783375024795532,0.21506358683109283,0.17779715359210968,0.21111343801021576,0.23512546718120575,0.36101722717285156,0.2120475023984909,0.4239959120750427,0.23744353652000427,0.2464839518070221,0.2433311939239502
the,0.5829201340675354,0.245810866355896,0.27913451194763184,0.22564226388931274,0.2694292366504669,0.4248143136501312,0.2575589418411255,0.535392165184021,0.30239659547805786,0.42745697498321533,0.22068053483963013
other,0.2806335389614105,0.22656139731407166,0.19475650787353516,0.15695661306381226,0.40045788884162903,0.4629868268966675,0.23472364246845245,0.4193183183670044,0.34946969151496887,0.341873437166214,0.24682199954986572
parts,0.2777566909790039,0.10667949169874191,0.19377362728118896,0.1385124921798706,0.20232272148132324,0.2912704348564148,0.2880096137523651,0.24449384212493896,0.1807168424129486,0.3415631353855133,0.12310896813869476
.,0.50484299659729,0.18800637125968933,0.24995818734169006,0.26467522978782654,0.35826805233955383,0.4383580684661865,0.17759466171264648,0.4645031690597534,0.3613996207714081,0.3567904531955719,0.4130953550338745
