,when,was,the,competence,for,the,union,to,create,criminal,sentences,for,ecological,crimes,contested,?
the,0.5091903209686279,0.48711544275283813,1.0,0.26006200909614563,0.4739971458911896,1.0,0.24421639740467072,0.535392165184021,0.25265660881996155,0.25219881534576416,0.2084118127822876,0.4739971458911896,0.25170862674713135,0.2557377517223358,0.32211700081825256,0.22068053483963013
competence,0.2604541778564453,0.2239164263010025,0.26006200909614563,1.0000001192092896,0.32811132073402405,0.26006200909614563,0.14303633570671082,0.33958306908607483,0.31110185384750366,0.34908196330070496,0.36899837851524353,0.32811132073402405,0.26995739340782166,0.3397676944732666,0.4003259539604187,0.2752470076084137
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.32811132073402405,0.9999999403953552,0.4739971458911896,0.20406247675418854,0.4451248347759247,0.2826802134513855,0.2394232451915741,0.27566665410995483,0.9999999403953552,0.19136923551559448,0.25824496150016785,0.3419247269630432,0.264628142118454
the,0.5091903209686279,0.48711544275283813,1.0,0.26006200909614563,0.4739971458911896,1.0,0.24421639740467072,0.535392165184021,0.25265660881996155,0.25219881534576416,0.2084118127822876,0.4739971458911896,0.25170862674713135,0.2557377517223358,0.32211700081825256,0.22068053483963013
union,0.1950688660144806,0.23276571929454803,0.24421639740467072,0.14303633570671082,0.20406247675418854,0.24421639740467072,0.9999999403953552,0.16926777362823486,0.12614896893501282,0.14468584954738617,0.11984579265117645,0.20406247675418854,0.14864151179790497,0.12841260433197021,0.25460460782051086,0.07797172665596008
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.33958306908607483,0.4451248347759247,0.535392165184021,0.16926777362823486,1.0,0.41124165058135986,0.21600425243377686,0.28928840160369873,0.4451248347759247,0.20916174352169037,0.22908863425254822,0.2592011094093323,0.29463258385658264
do,0.28572237491607666,0.11523093283176422,0.30239659547805786,0.3148544430732727,0.29510271549224854,0.30239659547805786,0.1497163474559784,0.38876664638519287,0.3618505895137787,0.2026396095752716,0.22283728420734406,0.29510271549224854,0.21732197701931,0.21329481899738312,0.1759004443883896,0.4093979299068451
this,0.4959332048892975,0.3638818562030792,0.6274310946464539,0.32081475853919983,0.5082864165306091,0.6274310946464539,0.19199775159358978,0.5759071707725525,0.3550630211830139,0.22564125061035156,0.24617819488048553,0.5082864165306091,0.24817340075969696,0.22273191809654236,0.3254019021987915,0.3155723512172699
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.2239164263010025,0.3863949179649353,0.48711544275283813,0.23276571929454803,0.3636345863342285,0.17767828702926636,0.197371244430542,0.18283215165138245,0.3863949179649353,0.16471342742443085,0.18500246107578278,0.2846773564815521,0.18412111699581146
contested,0.27268239855766296,0.2846773564815521,0.32211700081825256,0.4003259539604187,0.3419247269630432,0.32211700081825256,0.25460460782051086,0.2592011094093323,0.18326550722122192,0.1576230674982071,0.1986522376537323,0.3419247269630432,0.06543988734483719,0.20929193496704102,0.9999999403953552,0.20291677117347717
