,who,was,the,hostage,?
malcolm,0.2678929269313812,0.22052408754825592,0.22249609231948853,0.23417742550373077,0.1363493651151657
submitted,0.19082039594650269,0.25679999589920044,0.2515087127685547,0.18827411532402039,0.2415507286787033
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2561420500278473,0.31091248989105225
paid,0.3726956844329834,0.29885348677635193,0.22871042788028717,0.28266099095344543,0.20964482426643372
homage,0.2632273733615875,0.3194296061992645,0.3027975857257843,0.1993301659822464,0.19315071403980255
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.22793638706207275,0.29463258385658264
william,0.32068803906440735,0.28444796800613403,0.21537061035633087,0.21128898859024048,0.14462219178676605
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.2137080430984497,0.20544172823429108
surrendered,0.22589848935604095,0.36920326948165894,0.2820700705051422,0.38516974449157715,0.09069284051656723
his,0.44966956973075867,0.4405253231525421,0.4394008219242096,0.3160913288593292,0.18075084686279297
son,0.3958503007888794,0.3045712113380432,0.2102738618850708,0.24094144999980927,0.14735563099384308
duncan,0.27624088525772095,0.22895585000514984,0.21511447429656982,0.14880217611789703,0.17013710737228394
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.13366790115833282,0.27043893933296204
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.22606921195983887,0.23916715383529663
hostage,0.3106709420681,0.24644573032855988,0.2552075684070587,0.9999999403953552,0.1581113487482071
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2561420500278473,0.31091248989105225
beginning,0.25200510025024414,0.35191401839256287,0.49622642993927,0.16353455185890198,0.19413669407367706
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.22606921195983887,0.23916715383529663
series,0.21484537422657013,0.2261398285627365,0.31376904249191284,0.17522531747817993,0.1709602326154709
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.18375839293003082,0.1826142966747284
arguments,0.2515616714954376,0.13274891674518585,0.19616100192070007,0.13380594551563263,0.2545352280139923
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.13366790115833282,0.27043893933296204
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.22793638706207275,0.29463258385658264
whether,0.3777885138988495,0.19874873757362366,0.3211745023727417,0.11884591728448868,0.3150278329849243
the,0.3733934462070465,0.48711544275283813,1.0,0.2552075684070587,0.22068053483963013
scottish,0.27621203660964966,0.20229777693748474,0.21724988520145416,0.1034199669957161,0.06442669779062271
crown,0.1601858139038086,0.2366449236869812,0.2646690607070923,0.21173864603042603,0.09979621320962906
owed,0.2816459834575653,0.3531375527381897,0.2296196073293686,0.2835923731327057,0.18095627427101135
allegiance,0.20829445123672485,0.22959114611148834,0.26782822608947754,0.2249467968940735,0.10591092705726624
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.22793638706207275,0.29463258385658264
the,0.3733934462070465,0.48711544275283813,1.0,0.2552075684070587,0.22068053483963013
king,0.24555552005767822,0.27377256751060486,0.25887003540992737,0.24337321519851685,0.19130074977874756
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.18375839293003082,0.1826142966747284
england,0.23733465373516083,0.2656741440296173,0.28280043601989746,0.15901412069797516,0.13436897099018097
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.19102971255779266,0.4130953550338745
