,what,should,be,the,main,goal,of,not,using,punishment,in,a,just,system,?
leonard,0.1570405662059784,0.13458505272865295,0.14541590213775635,0.16797682642936707,0.07979977875947952,0.08053166419267654,0.1521100252866745,0.18999314308166504,0.11678116023540497,0.07099700719118118,0.22365060448646545,0.14267303049564362,0.20971009135246277,0.10559548437595367,0.1752568930387497
hubert,0.11585336178541183,0.15401113033294678,0.13428406417369843,0.18278877437114716,0.054385025054216385,0.14038869738578796,0.22110354900360107,0.10486847907304764,0.07673654705286026,0.056908559054136276,0.22630804777145386,0.25356146693229675,0.18154431879520416,0.0736340582370758,0.17222024500370026
hoffmann,0.19237521290779114,0.20134349167346954,0.21667443215847015,0.22940100729465485,0.1522265523672104,0.13105317950248718,0.19304393231868744,0.18390852212905884,0.14175252616405487,0.16875596344470978,0.2673843801021576,0.17967326939105988,0.11399344354867935,0.15759873390197754,0.13374179601669312
writes,0.31006428599357605,0.23802697658538818,0.1879713535308838,0.1939418613910675,0.13804170489311218,0.16145820915699005,0.2183077037334442,0.21386826038360596,0.29086974263191223,0.24205179512500763,0.19626611471176147,0.25101935863494873,0.2265041470527649,0.0618177130818367,0.17896029353141785
",",0.3087472915649414,0.2706286907196045,0.39254459738731384,0.4933079481124878,0.2989408075809479,0.2145523726940155,0.4946078956127167,0.3769696354866028,0.27050045132637024,0.2216428816318512,0.5201468467712402,0.427140474319458,0.43425118923187256,0.18439900875091553,0.31091248989105225
``,0.008517155423760414,0.14615385234355927,0.07670000940561295,0.029072100296616554,0.009458402171730995,0.01941765658557415,0.06780257821083069,0.09406080842018127,0.09494099766016006,0.04033021256327629,0.04765888676047325,0.07272057235240936,0.06768515706062317,0.07236211001873016,0.0685480609536171
in,0.30808621644973755,0.23054338991641998,0.3481820821762085,0.6662389636039734,0.28862449526786804,0.2241991013288498,0.5696388483047485,0.3403114080429077,0.2717311978340149,0.19258901476860046,1.0,0.539380669593811,0.3910168707370758,0.21978288888931274,0.20430970191955566
deciding,0.49117511510849,0.4551279544830322,0.35918328166007996,0.3702850043773651,0.21177412569522858,0.40258482098579407,0.27506932616233826,0.3881215453147888,0.2003748118877411,0.28119173645973206,0.27795159816741943,0.341842383146286,0.34801435470581055,0.20399054884910583,0.3707043528556824
whether,0.5516265630722046,0.4941921830177307,0.46975424885749817,0.3211745023727417,0.17499640583992004,0.18071489036083221,0.24392437934875488,0.5590019822120667,0.30150729417800903,0.27558818459510803,0.24645471572875977,0.38829004764556885,0.42142459750175476,0.2588324248790741,0.3150278329849243
or,0.33867141604423523,0.38324013352394104,0.5260903835296631,0.4174870550632477,0.22035714983940125,0.19945909082889557,0.3792596757411957,0.5119067430496216,0.4131818115711212,0.23232755064964294,0.3586423695087433,0.48853766918182373,0.4843778610229492,0.32710888981819153,0.32389625906944275
not,0.5449194312095642,0.5875406265258789,0.5788898468017578,0.4310511648654938,0.199325293302536,0.22583067417144775,0.3307090103626251,0.9999999403953552,0.38508203625679016,0.34782421588897705,0.3403114080429077,0.3791346549987793,0.5370175838470459,0.25763750076293945,0.41942933201789856
to,0.455847829580307,0.44452130794525146,0.4972836375236511,0.535392165184021,0.26116618514060974,0.37094977498054504,0.41548454761505127,0.5149973034858704,0.3678804934024811,0.208286851644516,0.45010748505592346,0.45503583550453186,0.5153104066848755,0.26662686467170715,0.29463258385658264
impose,0.3515469431877136,0.3863808512687683,0.3211933374404907,0.21469423174858093,0.09983321279287338,0.24820545315742493,0.23590616881847382,0.3856225311756134,0.25623756647109985,0.43334314227104187,0.14188311994075775,0.1980753242969513,0.34022942185401917,0.24881739914417267,0.24237333238124847
punishment,0.31300443410873413,0.28934940695762634,0.3186786472797394,0.2503047287464142,0.1250208169221878,0.19885598123073578,0.2056395560503006,0.34782421588897705,0.17405816912651062,1.0000001192092896,0.19258901476860046,0.1934642344713211,0.2624053955078125,0.15619780123233795,0.23842233419418335
",",0.3087472915649414,0.2706286907196045,0.39254459738731384,0.4933079481124878,0.2989408075809479,0.2145523726940155,0.4946078956127167,0.3769696354866028,0.27050045132637024,0.2216428816318512,0.5201468467712402,0.427140474319458,0.43425118923187256,0.18439900875091553,0.31091248989105225
