,what,is,the,name,of,a,uniflow,engine,that,takes,in,steam,in,hot,areas,and,exhausts,it,in,cold,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.5829201340675354,0.2797664701938629,0.21651263535022736,0.5473989248275757,0.33578023314476013,0.6662389636039734,0.23105813562870026,0.6662389636039734,0.25422102212905884,0.3311663568019867,0.5171257257461548,0.29189765453338623,0.6251175999641418,0.6662389636039734,0.2897129952907562,0.22068053483963013
quasiturbine,0.231118306517601,0.293733149766922,0.270036906003952,0.15987245738506317,0.2995814085006714,0.3199123740196228,0.3949319124221802,0.42387092113494873,0.29324114322662354,0.2236659824848175,0.29762986302375793,0.43777886033058167,0.29762986302375793,0.21903081238269806,0.2877821922302246,0.29455530643463135,0.3522234857082367,0.2965258061885834,0.29762986302375793,0.19198158383369446,0.23644156754016876
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.658733606338501,0.2494729608297348,0.18856970965862274,0.3995479643344879,0.4061736762523651,0.5394441485404968,0.13029660284519196,0.5394441485404968,0.23682232201099396,0.28282591700553894,0.3859752118587494,0.18161632120609283,0.6328473687171936,0.5394441485404968,0.2065940797328949,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,1.0,0.266353964805603,0.24768835306167603,0.47537946701049805,0.3491862416267395,0.539380669593811,0.2141898274421692,0.539380669593811,0.23937103152275085,0.24730755388736725,0.3739250600337982,0.3060413599014282,0.5452592968940735,0.539380669593811,0.20269304513931274,0.23916715383529663
uniflow,0.3236497938632965,0.2494729608297348,0.2797664701938629,0.28381025791168213,0.25521859526634216,0.266353964805603,1.0000001192092896,0.2759857177734375,0.30609628558158875,0.17260892689228058,0.27810683846473694,0.3010382056236267,0.27810683846473694,0.33966195583343506,0.3226308822631836,0.3037354648113251,0.21376623213291168,0.28384318947792053,0.27810683846473694,0.30659645795822144,0.3152059018611908
rotary,0.17419953644275665,0.21896867454051971,0.22118352353572845,0.15077967941761017,0.17702965438365936,0.3010491132736206,0.3361559212207794,0.37851420044898987,0.24679915606975555,0.17675873637199402,0.18010728061199188,0.3665830194950104,0.18010728061199188,0.26523634791374207,0.16434133052825928,0.20693451166152954,0.2780420482158661,0.1945594847202301,0.18010728061199188,0.19567105174064636,0.07097224146127701
steam,0.15672586858272552,0.13029660284519196,0.23105813562870026,0.1303234100341797,0.20239725708961487,0.2141898274421692,0.3010382056236267,0.4921848475933075,0.24386391043663025,0.12328144162893295,0.19852672517299652,1.0000001192092896,0.19852672517299652,0.3170648515224457,0.13164156675338745,0.24133789539337158,0.34591424465179443,0.2156127691268921,0.19852672517299652,0.25606322288513184,0.113324373960495
engine,0.18463268876075745,0.18856970965862274,0.21651263535022736,0.16538943350315094,0.17095594108104706,0.24768835306167603,0.2759857177734375,1.0,0.23960842192173004,0.12011242657899857,0.18885408341884613,0.4921848475933075,0.18885408341884613,0.20756225287914276,0.15670517086982727,0.18437977135181427,0.3688172996044159,0.26840072870254517,0.18885408341884613,0.20877620577812195,0.17739196121692657
where,0.4457937180995941,0.3586711287498474,0.5003893971443176,0.24663519859313965,0.38066378235816956,0.40997210144996643,0.2808036208152771,0.1442544013261795,0.4876193106174469,0.2697744369506836,0.5344807505607605,0.18907299637794495,0.5344807505607605,0.22903881967067719,0.390926331281662,0.43859338760375977,0.2498198300600052,0.36972272396087646,0.5344807505607605,0.25313600897789,0.24793872237205505
steam,0.15672586858272552,0.13029660284519196,0.23105813562870026,0.1303234100341797,0.20239725708961487,0.2141898274421692,0.3010382056236267,0.4921848475933075,0.24386391043663025,0.12328144162893295,0.19852672517299652,1.0000001192092896,0.19852672517299652,0.3170648515224457,0.13164156675338745,0.24133789539337158,0.34591424465179443,0.2156127691268921,0.19852672517299652,0.25606322288513184,0.113324373960495
