,what,do,cydippids,use,to,capture,their,prey,?
the,0.42745697498321533,0.30239659547805786,0.3210736811161041,0.34342584013938904,0.535392165184021,0.3008226752281189,0.516537070274353,0.2732231020927429,0.22068053483963013
textbook,0.3037169575691223,0.21461398899555206,0.251082181930542,0.2523074448108673,0.14099226891994476,0.11973398923873901,0.11379852890968323,0.17421281337738037,0.21686993539333344
examples,0.26665759086608887,0.31857824325561523,0.29934078454971313,0.45239242911338806,0.23809245228767395,0.20507238805294037,0.23857052624225616,0.18974491953849792,0.19976599514484406
are,0.29724663496017456,0.41111594438552856,0.35411837697029114,0.4174068570137024,0.3504326641559601,0.17015503346920013,0.46887820959091187,0.28169316053390503,0.24591213464736938
cydippids,0.22088393568992615,0.2658892869949341,1.0,0.2192211002111435,0.2417096048593521,0.18848766386508942,0.39893844723701477,0.45655572414398193,0.217335045337677
with,0.2464839518070221,0.23744353652000427,0.22512833774089813,0.3356984257698059,0.4239959120750427,0.16509553790092468,0.4258328378200531,0.1490461528301239,0.2433311939239502
egg-shaped,0.22149525582790375,0.2372874766588211,0.4014110565185547,0.24587984383106232,0.17432065308094025,0.1385931819677353,0.22076833248138428,0.26548856496810913,0.11325749009847641
bodies,0.1688588559627533,0.23864081501960754,0.3903283476829529,0.2288241982460022,0.2779117226600647,0.11165668815374374,0.3776066303253174,0.24674811959266663,0.18285469710826874
and,0.31309178471565247,0.276123583316803,0.3117515742778778,0.34145063161849976,0.48971283435821533,0.20398123562335968,0.45114588737487793,0.21927660703659058,0.20544172823429108
a,0.3320399522781372,0.26237669587135315,0.25175222754478455,0.30793872475624084,0.45503583550453186,0.18784219026565552,0.29698723554611206,0.23781940340995789,0.23916715383529663
pair,0.1797199696302414,0.18702144920825958,0.3130885362625122,0.21900784969329834,0.20845884084701538,0.1774318814277649,0.37486565113067627,0.3201387822628021,0.11695868521928787
of,0.33290785551071167,0.26150479912757874,0.2979815900325775,0.2750902473926544,0.41548454761505127,0.28606823086738586,0.4329940676689148,0.16259106993675232,0.1826142966747284
