,what,types,of,pharmacy,functions,have,begun,to,be,outsourced,?
several,0.22446060180664062,0.32817596197128296,0.3271615505218506,0.07619483768939972,0.2381448745727539,0.45253247022628784,0.2763994336128235,0.36196985840797424,0.3049358129501343,0.23258577287197113,0.15595775842666626
hospital,0.14525319635868073,0.09034751355648041,0.20629651844501495,0.3409312069416046,0.14534927904605865,0.10902954638004303,0.20174640417099,0.22196340560913086,0.14209602773189545,0.2714928388595581,0.12508831918239594
pharmacies,0.21324466168880463,0.2586159110069275,0.21392159163951874,0.8590922355651855,0.3146589994430542,0.30113688111305237,0.1468280702829361,0.22669687867164612,0.23543088138103485,0.3001023530960083,0.13542459905147552
have,0.39808809757232666,0.3764505088329315,0.3802283704280853,0.172938272356987,0.3498230278491974,0.9999999403953552,0.19873610138893127,0.4544740617275238,0.5760743618011475,0.277985155582428,0.32991164922714233
decided,0.3212295174598694,0.05982546880841255,0.2880963683128357,0.16226212680339813,0.08256186544895172,0.25683942437171936,0.3761218190193176,0.43155255913734436,0.19467434287071228,0.22472169995307922,0.258772075176239
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.1824638396501541,0.24301983416080475,0.4544740617275238,0.22838421165943146,1.0,0.4972836375236511,0.2610797584056854,0.29463258385658264
outsource,0.18466657400131226,0.21555893123149872,0.2533669173717499,0.2483440637588501,0.28343263268470764,0.22556500136852264,0.15351036190986633,0.2615155577659607,0.2672388255596161,0.8275346159934998,0.16280385851860046
high,0.20466077327728271,0.20271024107933044,0.2803038954734802,0.17734605073928833,0.15449856221675873,0.2406233847141266,0.15025292336940765,0.28947713971138,0.1991795301437378,0.11194687336683273,0.11137914657592773
risk,0.26548051834106445,0.2660726308822632,0.2274734228849411,0.20209117233753204,0.19819024205207825,0.3120761513710022,0.11392535269260406,0.26643267273902893,0.31642189621925354,0.2898496687412262,0.22318896651268005
preparations,0.24564078450202942,0.2532613277435303,0.33480381965637207,0.2977169454097748,0.301165372133255,0.2959156930446625,0.28748127818107605,0.3148869574069977,0.28476375341415405,0.27774906158447266,0.12647531926631927
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.21655313670635223,0.2698383927345276,0.4711785912513733,0.2561086118221283,0.48971283435821533,0.41766801476478577,0.32983893156051636,0.20544172823429108
some,0.4491020441055298,0.4819977581501007,0.4300730526447296,0.19617655873298645,0.32048895955085754,0.6421269774436951,0.24943995475769043,0.4636894166469574,0.49956634640693665,0.33977439999580383,0.2562315762042999
other,0.341873437166214,0.44658762216567993,0.38583824038505554,0.18628889322280884,0.33398759365081787,0.559082567691803,0.19566896557807922,0.4193183183670044,0.4629868268966675,0.3153989315032959,0.24682199954986572
compounding,0.26605767011642456,0.30186185240745544,0.27413690090179443,0.23553727567195892,0.3226219415664673,0.32058238983154297,0.14842431247234344,0.29567065834999084,0.33505216240882874,0.2201712280511856,0.22128498554229736
functions,0.22357098758220673,0.37041622400283813,0.2328059822320938,0.24938054382801056,0.9999998807907104,0.3498230278491974,0.13139602541923523,0.24301983416080475,0.2704888582229614,0.2961682379245758,0.13745930790901184
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.1824638396501541,0.24301983416080475,0.4544740617275238,0.22838421165943146,1.0,0.4972836375236511,0.2610797584056854,0.29463258385658264
companies,0.20801754295825958,0.3129160404205322,0.22608543932437897,0.25551676750183105,0.17136549949645996,0.21211259067058563,0.17859667539596558,0.2619103491306305,0.17449118196964264,0.40077733993530273,0.14365637302398682
who,0.40942975878715515,0.16785739362239838,0.2827862501144409,0.21132494509220123,0.126784086227417,0.39246654510498047,0.2095632702112198,0.42656609416007996,0.3371641933917999,0.19792209565639496,0.26220351457595825
specialize,0.23856307566165924,0.4361896216869354,0.2265554517507553,0.3401595652103424,0.32655540108680725,0.3546658456325531,0.11099528521299362,0.2870662212371826,0.24257971346378326,0.3391479253768921,0.20298869907855988
in,0.30808621644973755,0.18516337871551514,0.5696388483047485,0.22082467377185822,0.19547589123249054,0.36843645572662354,0.2913682758808136,0.45010748505592346,0.3481820821762085,0.27858322858810425,0.20430970191955566
compounding,0.26605767011642456,0.30186185240745544,0.27413690090179443,0.23553727567195892,0.3226219415664673,0.32058238983154297,0.14842431247234344,0.29567065834999084,0.33505216240882874,0.2201712280511856,0.22128498554229736
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.23916830122470856,0.25117823481559753,0.41614407300949097,0.21411722898483276,0.4645031690597534,0.4383580684661865,0.24190972745418549,0.4130953550338745
