,since,thoreau,was,not,a,well,known,writer,what,happened,when,he,was,arrested,?
thoreau,0.07518388330936432,1.0,0.263746052980423,0.29043129086494446,0.25918325781822205,0.2987029254436493,0.2356891930103302,0.38150468468666077,0.3263375163078308,0.19521287083625793,0.25455182790756226,0.31285810470581055,0.263746052980423,0.2314710021018982,0.1922200322151184
",",0.3991432189941406,0.3388298749923706,0.45456063747406006,0.3769696354866028,0.427140474319458,0.4331948161125183,0.3604377806186676,0.2910175621509552,0.3087472915649414,0.3230119049549103,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.274812251329422,0.31091248989105225
at,0.3096075654029846,0.15785667300224304,0.36707764863967896,0.22025953233242035,0.3095070421695709,0.26019635796546936,0.19818158447742462,0.1115860790014267,0.2838611304759979,0.31994152069091797,0.38876327872276306,0.3280475437641144,0.36707764863967896,0.17185147106647491,0.21978627145290375
the,0.4054957628250122,0.30504027009010315,0.48711544275283813,0.4310511648654938,0.5829201340675354,0.42630070447921753,0.3624623417854309,0.1583879292011261,0.42745697498321533,0.3589572608470917,0.5091903209686279,0.4571082592010498,0.48711544275283813,0.18817131221294403,0.22068053483963013
time,0.4138842225074768,0.23478876054286957,0.3641340136528015,0.3786478340625763,0.3292340338230133,0.3029579818248749,0.23656317591667175,0.15112216770648956,0.36319252848625183,0.3962232172489166,0.4363728165626526,0.37626320123672485,0.3641340136528015,0.2198738008737564,0.27391523122787476
of,0.35513219237327576,0.27008235454559326,0.4069072902202606,0.3307090103626251,0.5052502155303955,0.3343164324760437,0.35814476013183594,0.14383116364479065,0.33290785551071167,0.30501094460487366,0.3757161796092987,0.38706058263778687,0.4069072902202606,0.2085658311843872,0.1826142966747284
his,0.25658485293388367,0.3740163743495941,0.4405253231525421,0.2710725963115692,0.3497250974178314,0.3732656240463257,0.29665085673332214,0.2610515058040619,0.26976513862609863,0.21838653087615967,0.37120407819747925,0.7171558737754822,0.4405253231525421,0.307711660861969,0.18075084686279297
arrest,0.08229073882102966,0.21197007596492767,0.2724606692790985,0.19250792264938354,0.2083061933517456,0.10016048699617386,0.16600166261196136,0.21363894641399384,0.19790410995483398,0.23780317604541779,0.20088283717632294,0.3452571928501129,0.2724606692790985,0.7793393135070801,0.1830197125673294
",",0.3991432189941406,0.3388298749923706,0.45456063747406006,0.3769696354866028,0.427140474319458,0.4331948161125183,0.3604377806186676,0.2910175621509552,0.3087472915649414,0.3230119049549103,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.274812251329422,0.31091248989105225
was,0.4384658932685852,0.263746052980423,1.0000001192092896,0.2888734042644501,0.4508470594882965,0.3130364418029785,0.35203275084495544,0.29712387919425964,0.22111038863658905,0.36671528220176697,0.37326499819755554,0.5410010814666748,1.0000001192092896,0.3498801589012146,0.18412111699581146
