,where,can,one,find,the,formerly,huguenot,farms,in,south,africa,?
many,0.4338301420211792,0.4275496006011963,0.4223630726337433,0.2689669728279114,0.4335206151008606,0.1485845446586609,0.24653638899326324,0.2997216582298279,0.41474202275276184,0.2319321483373642,0.285052627325058,0.2124512493610382
of,0.38066378235816956,0.2603091299533844,0.4999135136604309,0.2276865392923355,0.733189046382904,0.27187931537628174,0.29061198234558105,0.24435943365097046,0.5696388483047485,0.33382371068000793,0.2694264054298401,0.1826142966747284
the,0.5003893971443176,0.312528520822525,0.5514441132545471,0.2696352005004883,1.0,0.2854805290699005,0.29557526111602783,0.23249253630638123,0.6662389636039734,0.3129390776157379,0.2903064787387848,0.22068053483963013
farms,0.2844006419181824,0.22582454979419708,0.21755611896514893,0.1819976270198822,0.23249253630638123,0.14432772994041443,0.1702118217945099,1.0000001192092896,0.2572706937789917,0.31305763125419617,0.23786680400371552,0.15135478973388672
in,0.5344807505607605,0.26527702808380127,0.4129433035850525,0.2040027230978012,0.6662389636039734,0.25645580887794495,0.26198551058769226,0.2572706937789917,1.0,0.33642083406448364,0.27806714177131653,0.20430970191955566
the,0.5003893971443176,0.312528520822525,0.5514441132545471,0.2696352005004883,1.0,0.2854805290699005,0.29557526111602783,0.23249253630638123,0.6662389636039734,0.3129390776157379,0.2903064787387848,0.22068053483963013
western,0.21352119743824005,0.10409475117921829,0.22375954687595367,0.1148655116558075,0.37920868396759033,0.23619602620601654,0.1952957659959793,0.2515876889228821,0.35160520672798157,0.4157097041606903,0.2585296332836151,0.17439141869544983
cape,0.18510788679122925,0.13098904490470886,0.10212339460849762,0.12354272603988647,0.2352786809206009,0.20916056632995605,0.23918122053146362,0.22390064597129822,0.24917589128017426,0.3729645609855652,0.46428799629211426,0.10433043539524078
province,0.18055514991283417,0.08042033761739731,0.20234857499599457,0.06432217359542847,0.24390551447868347,0.24242043495178223,0.16264958679676056,0.2691100239753723,0.2537287175655365,0.3311699628829956,0.2344198077917099,0.11473246663808823
in,0.5344807505607605,0.26527702808380127,0.4129433035850525,0.2040027230978012,0.6662389636039734,0.25645580887794495,0.26198551058769226,0.2572706937789917,1.0,0.33642083406448364,0.27806714177131653,0.20430970191955566
south,0.2539864182472229,0.09397809952497482,0.2376968264579773,0.1388351321220398,0.3129390776157379,0.2541663646697998,0.23090137541294098,0.31305763125419617,0.33642083406448364,1.0000001192092896,0.5442710518836975,0.12336621433496475
africa,0.23793575167655945,0.1601664423942566,0.1596788763999939,0.1197606772184372,0.2903064787387848,0.19694013893604279,0.277139812707901,0.23786680400371552,0.27806714177131653,0.5442710518836975,0.9999999403953552,0.12926554679870605
still,0.42040762305259705,0.34674692153930664,0.38286080956459045,0.3178171217441559,0.40142056345939636,0.20777997374534607,0.2307695597410202,0.22609001398086548,0.3424699008464813,0.23613229393959045,0.22836393117904663,0.3039587736129761
bear,0.15164130926132202,0.1848183125257492,0.18842576444149017,0.1990600824356079,0.27444571256637573,0.11901858448982239,0.10842109471559525,0.07214825600385666,0.24696409702301025,0.15212103724479675,0.17487718164920807,0.1837729662656784
french,0.17587623000144958,0.17886103689670563,0.18462896347045898,0.09069164097309113,0.2555147111415863,0.16384685039520264,0.5233030915260315,0.11404407769441605,0.22093388438224792,0.18581080436706543,0.25143733620643616,0.1386883556842804
names,0.22733300924301147,0.16838012635707855,0.281222403049469,0.27031657099723816,0.27965226769447327,0.23323333263397217,0.12832273542881012,0.09367493540048599,0.19826655089855194,0.17703445255756378,0.17268459498882294,0.16607333719730377
.,0.41390106081962585,0.35783761739730835,0.4123194217681885,0.3133861720561981,0.5934505462646484,0.16428235173225403,0.2060975730419159,0.2633402347564697,0.5591574311256409,0.2798699140548706,0.25634920597076416,0.4130953550338745
