,what,is,the,dialect,of,newcastle,known,as,?
the,0.42745697498321533,0.5823672413825989,1.0,0.18307873606681824,0.733189046382904,0.2253497689962387,0.3624623417854309,0.48381632566452026,0.22068053483963013
dialect,0.22094208002090454,0.19101184606552124,0.18307873606681824,1.0,0.17277581989765167,0.13900549709796906,0.14528752863407135,0.15971887111663818,0.11663753539323807
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17277581989765167,1.0,0.18781472742557526,0.35814476013183594,0.3886612355709076,0.1826142966747284
newcastle,0.16276082396507263,0.1841045320034027,0.2253497689962387,0.13900549709796906,0.18781472742557526,1.0000001192092896,0.14520376920700073,0.21526619791984558,0.0902252271771431
is,0.28837618231773376,1.0,0.5823672413825989,0.19101184606552124,0.4854315221309662,0.1841045320034027,0.41921812295913696,0.43216490745544434,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.14528752863407135,0.35814476013183594,0.14520376920700073,1.0,0.4815765619277954,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.15971887111663818,0.3886612355709076,0.21526619791984558,0.4815765619277954,1.0,0.27043893933296204
geordie,0.17367403209209442,0.18447941541671753,0.24672424793243408,0.19240224361419678,0.19892676174640656,0.3637544512748718,0.1540144979953766,0.1489173173904419,0.0974646806716919
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.19181562960147858,0.4946078956127167,0.251589834690094,0.3604377806186676,0.48816442489624023,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.15799005329608917,0.5116966962814331,0.20204751193523407,0.3468935489654541,0.49487000703811646,0.20544172823429108
contains,0.14236655831336975,0.4272567629814148,0.2846323549747467,0.1450633555650711,0.34575599431991577,-0.0007679721456952393,0.27676287293434143,0.24164676666259766,0.15215006470680237
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.1793542057275772,0.5052502155303955,0.21405641734600067,0.30882248282432556,0.39550232887268066,0.23916715383529663
large,0.2017821967601776,0.2971126437187195,0.3828733265399933,0.11276526004076004,0.3569655418395996,0.1500018686056137,0.24581857025623322,0.24282054603099823,0.1355665624141693
amount,0.2602839767932892,0.3016021251678467,0.3336862325668335,0.08541268855333328,0.2541177570819855,0.14836493134498596,0.09668351709842682,0.19476667046546936,0.17984020709991455
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17277581989765167,1.0,0.18781472742557526,0.35814476013183594,0.3886612355709076,0.1826142966747284
vocabulary,0.34560883045196533,0.23950926959514618,0.17030517756938934,0.4426061511039734,0.22950710356235504,0.1206667572259903,0.1419433206319809,0.207168847322464,0.25627753138542175
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.15799005329608917,0.5116966962814331,0.20204751193523407,0.3468935489654541,0.49487000703811646,0.20544172823429108
distinctive,0.25436970591545105,0.2533784806728363,0.2618619501590729,0.3439255654811859,0.28103455901145935,0.1914537101984024,0.3052963614463806,0.23971109092235565,0.07970129698514938
word,0.30982115864753723,0.29004693031311035,0.2835540175437927,0.3333357274532318,0.23799116909503937,0.10254917293787003,0.1969900131225586,0.2052028775215149,0.19046713411808014
pronunciations,0.25927749276161194,0.2490307092666626,0.22480009496212006,0.510727047920227,0.19651851058006287,0.11839458346366882,0.21726492047309875,0.23899491131305695,0.270917683839798
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.14009736478328705,0.3307090103626251,0.15139462053775787,0.22453871369361877,0.5105602741241455,0.41942933201789856
used,0.27546408772468567,0.3288823366165161,0.3718377649784088,0.1803702414035797,0.3075267970561981,0.15575248003005981,0.37155357003211975,0.35160550475120544,0.22430120408535004
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.19946523010730743,0.5696388483047485,0.19270820915699005,0.32641831040382385,0.3887844979763031,0.20430970191955566
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.1621454954147339,0.38583824038505554,0.1582431048154831,0.2199651598930359,0.42805421352386475,0.24682199954986572
parts,0.3415631353855133,0.330430269241333,0.4042440354824066,0.240387424826622,0.3379773199558258,0.09277684986591339,0.2022176831960678,0.20346619188785553,0.12310896813869476
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17277581989765167,1.0,0.18781472742557526,0.35814476013183594,0.3886612355709076,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.18307873606681824,0.733189046382904,0.2253497689962387,0.3624623417854309,0.48381632566452026,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.07618964463472366,0.3187655806541443,0.3263082504272461,0.16143083572387695,0.27979812026023865,0.17266890406608582
kingdom,0.17826133966445923,0.1914215236902237,0.3143408000469208,0.1620449274778366,0.3218171298503876,0.2370433211326599,0.18037816882133484,0.21772725880146027,0.12927088141441345
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.15386012196540833,0.5352458953857422,0.2714749276638031,0.283290296792984,0.515582263469696,0.4130953550338745
