,what,portion,of,luther,'s,last,statement,was,in,german,?
the,0.42745697498321533,0.42017096281051636,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.3698786795139313,0.20954233407974243,0.48711544275283813,0.6662389636039734,0.256483793258667,0.22068053483963013
statement,0.39422667026519775,0.19203618168830872,0.1980573982000351,0.2332456111907959,-0.007225947454571724,0.25890451669692993,1.0000001192092896,0.2362719178199768,0.17217876017093658,0.1496812254190445,0.28978636860847473
was,0.22111038863658905,0.20989027619361877,0.4069072902202606,0.19185513257980347,0.008974763564765453,0.32424551248550415,0.2362719178199768,1.0000001192092896,0.45514053106307983,0.26016926765441895,0.18412111699581146
in,0.30808621644973755,0.2811550498008728,0.5696388483047485,0.20523880422115326,-0.037580832839012146,0.30714505910873413,0.17217876017093658,0.45514053106307983,1.0,0.21098364889621735,0.20430970191955566
latin,0.1759578436613083,0.1295423060655594,0.23412929475307465,0.2115422934293747,0.09563276916742325,0.14597870409488678,0.13430267572402954,0.15532594919204712,0.18954341113567352,0.24376164376735687,0.1303461492061615
",",0.3087472915649414,0.23716022074222565,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.29026782512664795,0.22861604392528534,0.45456063747406006,0.5201468467712402,0.2478695809841156,0.31091248989105225
apart,0.3046720027923584,0.2381976842880249,0.25376787781715393,0.0965946838259697,-0.019087860360741615,0.09616982191801071,0.11307688057422638,0.1961895227432251,0.23653271794319153,0.13354897499084473,0.11720603704452515
from,0.2737620174884796,0.26234695315361023,0.4249346852302551,0.10716932266950607,-0.01936490088701248,0.235591322183609,0.16176478564739227,0.31171464920043945,0.4274188280105591,0.18661607801914215,0.19969791173934937
``,0.008517155423760414,0.04060446098446846,0.06780257821083069,-0.013964727520942688,-0.03416389226913452,0.05021507292985916,0.08327054977416992,-0.012679691426455975,0.04765888676047325,-0.02308773063123226,0.0685480609536171
we,0.5622460842132568,0.21673281490802765,0.2769293785095215,0.16611410677433014,0.03954920172691345,0.22565670311450958,0.3451419174671173,0.16542018949985504,0.23132319748401642,0.129425510764122,0.535264790058136
are,0.29724663496017456,0.25618046522140503,0.39081433415412903,0.13997888565063477,-0.008927806280553341,0.16972362995147705,0.19608406722545624,0.3076191842556,0.3841303884983063,0.13420961797237396,0.24591213464736938
beggars,0.2960933446884155,0.11417526751756668,0.22668272256851196,0.20850400626659393,0.1593959480524063,0.20723022520542145,0.18503905832767487,0.19042198359966278,0.24390017986297607,0.15820272266864777,0.16420628130435944
",",0.3087472915649414,0.23716022074222565,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.29026782512664795,0.22861604392528534,0.45456063747406006,0.5201468467712402,0.2478695809841156,0.31091248989105225
'',0.08143015950918198,0.014965326525270939,0.13035868108272552,-0.04572787508368492,-0.04859459400177002,-0.004244830925017595,-0.01801685243844986,0.04456103965640068,0.07432962208986282,-0.04090436175465584,0.018684765323996544
which,0.5261979103088379,0.4238881468772888,0.5011631846427917,0.17501473426818848,0.03856118768453598,0.2768070101737976,0.31563881039619446,0.2830964922904968,0.4840516746044159,0.1845671534538269,0.25814583897590637
was,0.22111038863658905,0.20989027619361877,0.4069072902202606,0.19185513257980347,0.008974763564765453,0.32424551248550415,0.2362719178199768,1.0000001192092896,0.45514053106307983,0.26016926765441895,0.18412111699581146
in,0.30808621644973755,0.2811550498008728,0.5696388483047485,0.20523880422115326,-0.037580832839012146,0.30714505910873413,0.17217876017093658,0.45514053106307983,1.0,0.21098364889621735,0.20430970191955566
german,0.1960553526878357,0.0557236447930336,0.2122138887643814,0.28169330954551697,0.07066776603460312,0.14264658093452454,0.1496812254190445,0.26016926765441895,0.21098364889621735,1.0000001192092896,0.13978645205497742
.,0.3567904531955719,0.23307131230831146,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.3548945486545563,0.21827399730682373,0.40146201848983765,0.5591574311256409,0.2407633364200592,0.4130953550338745
