,when,was,the,measurement,of,the,rhine,introduced,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2747146487236023,0.733189046382904,1.0,0.30735138058662415,0.242969810962677,0.22068053483963013
length,0.1391945332288742,0.13514478504657745,0.26581600308418274,0.42692387104034424,0.22847424447536469,0.26581600308418274,0.20094704627990723,0.13919256627559662,0.16668567061424255
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.26198503375053406,1.0,0.733189046382904,0.2548927664756775,0.23328952491283417,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2747146487236023,0.733189046382904,1.0,0.30735138058662415,0.242969810962677,0.22068053483963013
rhine,0.13750529289245605,0.18681856989860535,0.30735138058662415,0.17000390589237213,0.2548927664756775,0.30735138058662415,1.0,0.09226672351360321,0.13754533231258392
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.29067936539649963,0.4854315221309662,0.5823672413825989,0.15617261826992035,0.18314895033836365,0.22961433231830597
conventionally,0.32583296298980713,0.2746807634830475,0.3092604875564575,0.27889129519462585,0.2620749771595001,0.3092604875564575,0.1699018031358719,0.2990267872810364,0.1562664955854416
measured,0.21773339807987213,0.21089020371437073,0.279002845287323,0.7727878093719482,0.26447921991348267,0.279002845287323,0.126449316740036,0.21870242059230804,0.17351430654525757
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2026844471693039,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.2614979147911072,0.20430970191955566
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.16786779463291168,0.06780257821083069,0.029072100296616554,0.031863048672676086,-0.045295145362615585,0.0685480609536171
rhine-kilometers,0.21227864921092987,0.17648816108703613,0.3899826407432556,0.32880380749702454,0.32635989785194397,0.3899826407432556,0.5765131711959839,0.07822009176015854,0.12356684356927872
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,0.08244186639785767,0.13035868108272552,0.041273195296525955,-0.003653771709650755,0.06878387928009033,0.018684765323996544
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.23249028623104095,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.1706768423318863,0.40561532974243164
rheinkilometer,0.2799435257911682,0.24065354466438293,0.377916544675827,0.3895006477832794,0.3236406147480011,0.377916544675827,0.5023218989372253,0.17957711219787598,0.2017219215631485
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.2277601659297943,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.15697863698005676,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.204771026968956,0.4946078956127167,0.4933079481124878,0.167837992310524,0.22034090757369995,0.31091248989105225
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.2956489324569702,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.2573881149291992,0.23916715383529663
scale,0.20322531461715698,0.1398085504770279,0.1833842247724533,0.3981412947177887,0.19989530742168427,0.1833842247724533,0.09456667304039001,0.20122238993644714,0.21142835915088654
introduced,0.21339701116085052,0.32667654752731323,0.242969810962677,0.19124676287174225,0.23328952491283417,0.242969810962677,0.09226672351360321,1.0,0.16386865079402924
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2026844471693039,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.2614979147911072,0.20430970191955566
1939,0.281677782535553,0.2539779245853424,0.3322303593158722,0.20326586067676544,0.30115509033203125,0.3322303593158722,0.16051381826400757,0.08660081773996353,-0.0777229517698288
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.3366289734840393,0.5011631846427917,0.6521818041801453,0.18744276463985443,0.27052173018455505,0.25814583897590637
runs,0.22240351140499115,0.1702742576599121,0.30832576751708984,0.11441553384065628,0.22292760014533997,0.30832576751708984,0.24514833092689514,0.1523699313402176,0.08094297349452972
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.22532375156879425,0.4249346852302551,0.40150508284568787,0.2181936800479889,0.1545238345861435,0.19969791173934937
the,0.5091903209686279,0.48711544275283813,1.0,0.2747146487236023,0.733189046382904,1.0,0.30735138058662415,0.242969810962677,0.22068053483963013
old,0.36291906237602234,0.2867572605609894,0.31849798560142517,0.1469859480857849,0.30522194504737854,0.31849798560142517,0.18212221562862396,0.17986805737018585,0.20577076077461243
rhine,0.13750529289245605,0.18681856989860535,0.30735138058662415,0.17000390589237213,0.2548927664756775,0.30735138058662415,1.0,0.09226672351360321,0.13754533231258392
bridge,0.14630869030952454,0.23293238878250122,0.27692803740501404,0.11192131042480469,0.17739711701869965,0.27692803740501404,0.2627650499343872,0.05515475943684578,0.1396101862192154
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.2214486300945282,0.42558613419532776,0.457212895154953,0.19469857215881348,0.12144538760185242,0.21978627145290375
constance,0.21570254862308502,0.21918389201164246,0.23177717626094818,0.24710917472839355,0.28979653120040894,0.23177717626094818,0.33406126499176025,0.11771923303604126,0.1427515298128128
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.23249028623104095,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.1706768423318863,0.40561532974243164
0,0.06868904083967209,0.023703420534729958,0.06647186726331711,-0.016387201845645905,0.0813891589641571,0.06647186726331711,0.019290808588266373,0.03407451882958412,0.0436553880572319
km,0.14619718492031097,0.19512154161930084,0.21376769244670868,0.24527034163475037,0.2376161366701126,0.21376769244670868,0.22496221959590912,0.038265638053417206,0.08180338144302368
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.2277601659297943,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.15697863698005676,0.42300865054130554
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.2653844356536865,0.41548454761505127,0.535392165184021,0.1736302673816681,0.22615164518356323,0.29463258385658264
hoek,0.11979472637176514,0.24515780806541443,0.24397946894168854,0.22072799503803253,0.2957805395126343,0.24397946894168854,0.43599072098731995,0.16468961536884308,0.15933550894260406
van,0.13589836657047272,0.20371906459331512,0.13541297614574432,0.08497247844934464,0.16833904385566711,0.13541297614574432,0.2172645628452301,0.1470334827899933,0.15528257191181183
holland,0.19806742668151855,0.239714115858078,0.21247440576553345,0.1567002236843109,0.22898225486278534,0.21247440576553345,0.374037504196167,0.1565018892288208,0.14312024414539337
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.23249028623104095,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.1706768423318863,0.40561532974243164
1036.20,0.006208356935530901,0.08641434460878372,0.079269178211689,0.1504204273223877,0.1090036928653717,0.079269178211689,0.04667671024799347,0.07396353036165237,-0.020128324627876282
km,0.14619718492031097,0.19512154161930084,0.21376769244670868,0.24527034163475037,0.2376161366701126,0.21376769244670868,0.22496221959590912,0.038265638053417206,0.08180338144302368
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.2277601659297943,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.15697863698005676,0.42300865054130554
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2378474473953247,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.2799728810787201,0.4130953550338745
