,which,treaty,provides,that,the,european,union,law,be,applied,to,metropolitan,territories,of,member,states,?
the,0.6521818041801453,0.2690109610557556,0.29657405614852905,0.5473989248275757,1.0,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.4248143136501312,0.22842662036418915,0.535392165184021,0.24378018081188202,0.30191943049430847,0.733189046382904,0.2806392312049866,0.3463578522205353,0.22068053483963013
primary,0.3064635396003723,0.09991617500782013,0.312631219625473,0.2296912968158722,0.25688621401786804,0.10110604763031006,0.10285277664661407,0.1267443150281906,0.1876562237739563,0.23198333382606506,0.27388349175453186,0.1536054015159607,0.10866888612508774,0.23414276540279388,0.09100785851478577,0.17301540076732635,0.16286636888980865
law,0.20205146074295044,0.3302869200706482,0.19598650932312012,0.23277728259563446,0.24548950791358948,0.17164482176303864,0.19371826946735382,1.0000001192092896,0.18454892933368683,0.3741767704486847,0.259207159280777,0.16733427345752716,0.24500150978565216,0.2816956341266632,0.17515966296195984,0.2508668601512909,0.1528988480567932
of,0.5011631846427917,0.2602092921733856,0.3119201064109802,0.41498205065727234,0.733189046382904,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.33904364705085754,0.2825285494327545,0.41548454761505127,0.2863157391548157,0.2877243757247925,1.0,0.2701796889305115,0.30884552001953125,0.1826142966747284
the,0.6521818041801453,0.2690109610557556,0.29657405614852905,0.5473989248275757,1.0,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.4248143136501312,0.22842662036418915,0.535392165184021,0.24378018081188202,0.30191943049430847,0.733189046382904,0.2806392312049866,0.3463578522205353,0.22068053483963013
eu,0.15620915591716766,0.23946674168109894,0.11057644337415695,0.10275088250637054,0.14126400649547577,0.46552222967147827,0.3292396068572998,0.20359504222869873,0.1461477279663086,0.0940508022904396,0.1539587825536728,0.18650084733963013,0.20207156240940094,0.1579294353723526,0.2245567888021469,0.17918972671031952,0.21586786210536957
consists,0.34384235739707947,0.11514681577682495,0.39128053188323975,0.21588067710399628,0.3362659811973572,0.14820772409439087,0.1369345337152481,0.061850447207689285,0.2368895560503006,0.18717658519744873,0.18391861021518707,0.21181854605674744,0.1601843237876892,0.41510096192359924,0.244319885969162,0.13786019384860992,-0.004641483072191477
mainly,0.4569816291332245,0.15044665336608887,0.25725293159484863,0.34029021859169006,0.3790479004383087,0.23712927103042603,0.12502996623516083,0.123529814183712,0.2596750557422638,0.2653227746486664,0.31092169880867004,0.155657559633255,0.24553696811199188,0.3325652480125427,0.20738841593265533,0.2228468507528305,0.07608037441968918
of,0.5011631846427917,0.2602092921733856,0.3119201064109802,0.41498205065727234,0.733189046382904,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.33904364705085754,0.2825285494327545,0.41548454761505127,0.2863157391548157,0.2877243757247925,1.0,0.2701796889305115,0.30884552001953125,0.1826142966747284
the,0.6521818041801453,0.2690109610557556,0.29657405614852905,0.5473989248275757,1.0,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.4248143136501312,0.22842662036418915,0.535392165184021,0.24378018081188202,0.30191943049430847,0.733189046382904,0.2806392312049866,0.3463578522205353,0.22068053483963013
founding,0.2237246334552765,0.2807201147079468,0.1447654664516449,0.2016766220331192,0.34138360619544983,0.2833721339702606,0.24150562286376953,0.23304754495620728,0.16331511735916138,0.21240484714508057,0.2010585367679596,0.19034206867218018,0.20436230301856995,0.3665546774864197,0.5388715267181396,0.25211161375045776,0.1416333168745041
treaties,0.2657000422477722,0.7044145464897156,0.2268732637166977,0.2838388681411743,0.28970760107040405,0.30161675810813904,0.34353530406951904,0.39653173089027405,0.2560122311115265,0.1921776980161667,0.30276235938072205,0.15336734056472778,0.3902757167816162,0.3281906247138977,0.1925402134656906,0.3604946732521057,0.1693580597639084
",",0.3658004403114319,0.21270246803760529,0.20848950743675232,0.4137537479400635,0.4933079481124878,0.19684812426567078,0.2362271547317505,0.24953721463680267,0.39254459738731384,0.28330111503601074,0.44245919585227966,0.2417047619819641,0.24120540916919708,0.4946078956127167,0.25757819414138794,0.3315127193927765,0.31091248989105225
the,0.6521818041801453,0.2690109610557556,0.29657405614852905,0.5473989248275757,1.0,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.4248143136501312,0.22842662036418915,0.535392165184021,0.24378018081188202,0.30191943049430847,0.733189046382904,0.2806392312049866,0.3463578522205353,0.22068053483963013
``,0.05178012326359749,0.16497017443180084,-0.037543654441833496,0.05285148695111275,0.029072100296616554,-0.03151248022913933,0.08401795476675034,0.005725041963160038,0.07670000940561295,0.08134695142507553,0.06720756739377975,0.03559457138180733,0.16912850737571716,0.06780257821083069,0.0971653014421463,0.029627995565533638,0.0685480609536171
core,0.30405059456825256,0.05629423260688782,0.2228977382183075,0.24856308102607727,0.21890558302402496,0.1437850147485733,0.13226373493671417,0.1193428710103035,0.21249394118785858,0.187172994017601,0.22665469348430634,0.16778138279914856,0.09191679954528809,0.2545962929725647,0.16906552016735077,0.12329119443893433,0.20309162139892578
'',-0.03332270681858063,0.07842288166284561,-0.02412508614361286,0.007880004122853279,0.041273195296525955,0.050778839737176895,-0.10012631863355637,0.02283594384789467,0.08835477381944656,0.0562097392976284,-0.009905828163027763,-0.00211745104752481,-0.04848811775445938,0.13035868108272552,0.012968800030648708,-0.06360612064599991,0.018684765323996544
treaties,0.2657000422477722,0.7044145464897156,0.2268732637166977,0.2838388681411743,0.28970760107040405,0.30161675810813904,0.34353530406951904,0.39653173089027405,0.2560122311115265,0.1921776980161667,0.30276235938072205,0.15336734056472778,0.3902757167816162,0.3281906247138977,0.1925402134656906,0.3604946732521057,0.1693580597639084
being,0.4268448054790497,0.1414862871170044,0.1701541244983673,0.46201252937316895,0.419739305973053,0.16289697587490082,0.20795388519763947,0.1606191098690033,0.5586286783218384,0.2535747289657593,0.4514104127883911,0.18460708856582642,0.1423596441745758,0.34885138273239136,0.24352066218852997,0.18780647218227386,0.26743772625923157
the,0.6521818041801453,0.2690109610557556,0.29657405614852905,0.5473989248275757,1.0,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.4248143136501312,0.22842662036418915,0.535392165184021,0.24378018081188202,0.30191943049430847,0.733189046382904,0.2806392312049866,0.3463578522205353,0.22068053483963013
treaty,0.19969318807125092,1.0,0.12314929813146591,0.19276702404022217,0.2690109610557556,0.25059598684310913,0.3147597312927246,0.3302869200706482,0.17763298749923706,0.10779115557670593,0.1986158937215805,0.190914124250412,0.38707584142684937,0.2602092921733856,0.19731877744197845,0.25450411438941956,0.1174844279885292
on,0.4245251417160034,0.19638824462890625,0.2614932358264923,0.42569106817245483,0.5107308030128479,0.19710737466812134,0.15769828855991364,0.13878796994686127,0.37900757789611816,0.20456093549728394,0.41031414270401,0.12503963708877563,0.15933862328529358,0.3966929316520691,0.1643621176481247,0.2692825198173523,0.2714994251728058
european,0.2234036773443222,0.25059598684310913,0.12085462361574173,0.2049320936203003,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.13481922447681427,0.20982736349105835,0.21011990308761597,0.19802221655845642,0.22304438054561615,0.2507138252258301,0.24138560891151428,0.25554242730140686,0.14560863375663757
union,0.23846890032291412,0.3147597312927246,0.14551974833011627,0.17320044338703156,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.16980519890785217,0.15848392248153687,0.16926777362823486,0.2049379199743271,0.29140767455101013,0.2642118036746979,0.23030449450016022,0.30693942308425903,0.07797172665596008
(,0.2589828372001648,0.14117708802223206,0.16892704367637634,0.2264307141304016,0.33289089798927307,0.17014704644680023,0.13465912640094757,0.14312884211540222,0.2349044382572174,0.2093459963798523,0.30882009863853455,0.18461348116397858,0.20534534752368927,0.35032153129577637,0.27166029810905457,0.21393048763275146,0.40561532974243164
teu,0.29727810621261597,0.22890710830688477,0.14679425954818726,0.15814217925071716,0.31191012263298035,0.28529414534568787,0.21982774138450623,0.12498890608549118,0.17536675930023193,0.15748243033885956,0.2024039924144745,0.17871981859207153,0.18736109137535095,0.2679056227207184,0.16379490494728088,0.1151307076215744,0.12451952695846558
),0.2758678197860718,0.15254124999046326,0.17899979650974274,0.23478686809539795,0.3456730246543884,0.17755553126335144,0.15587253868579865,0.15311799943447113,0.24578070640563965,0.202529177069664,0.31236231327056885,0.16937653720378876,0.1863560676574707,0.3680361211299896,0.26767680048942566,0.2059156745672226,0.42300865054130554
and,0.506277859210968,0.1592116355895996,0.28077030181884766,0.4731321930885315,0.5171257257461548,0.24143946170806885,0.2594362497329712,0.254730761051178,0.41766801476478577,0.26963624358177185,0.48971283435821533,0.19939453899860382,0.3149210512638092,0.5116966962814331,0.28606608510017395,0.2974761426448822,0.20544172823429108
the,0.6521818041801453,0.2690109610557556,0.29657405614852905,0.5473989248275757,1.0,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.4248143136501312,0.22842662036418915,0.535392165184021,0.24378018081188202,0.30191943049430847,0.733189046382904,0.2806392312049866,0.3463578522205353,0.22068053483963013
treaty,0.19969318807125092,1.0,0.12314929813146591,0.19276702404022217,0.2690109610557556,0.25059598684310913,0.3147597312927246,0.3302869200706482,0.17763298749923706,0.10779115557670593,0.1986158937215805,0.190914124250412,0.38707584142684937,0.2602092921733856,0.19731877744197845,0.25450411438941956,0.1174844279885292
on,0.4245251417160034,0.19638824462890625,0.2614932358264923,0.42569106817245483,0.5107308030128479,0.19710737466812134,0.15769828855991364,0.13878796994686127,0.37900757789611816,0.20456093549728394,0.41031414270401,0.12503963708877563,0.15933862328529358,0.3966929316520691,0.1643621176481247,0.2692825198173523,0.2714994251728058
the,0.6521818041801453,0.2690109610557556,0.29657405614852905,0.5473989248275757,1.0,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.4248143136501312,0.22842662036418915,0.535392165184021,0.24378018081188202,0.30191943049430847,0.733189046382904,0.2806392312049866,0.3463578522205353,0.22068053483963013
