,taking,evidence,from,witnesses,is,one,of,committees,',what,?
the,0.32714390754699707,0.25031140446662903,0.40150508284568787,0.2687811255455017,0.5823672413825989,0.5514441132545471,0.733189046382904,0.2924276292324066,0.474788099527359,0.42745697498321533,0.22068053483963013
principal,0.21954791247844696,0.09507053345441818,0.15369051694869995,0.14889729022979736,0.1573130041360855,0.2518802583217621,0.25824129581451416,0.26395413279533386,0.13296940922737122,0.1582305133342743,0.10016445070505142
role,0.2314094454050064,0.19037289917469025,0.10512107610702515,0.13566885888576508,0.20847192406654358,0.2139739841222763,0.1797693818807602,0.11711247265338898,0.20279434323310852,0.22614215314388275,0.18676944077014923
of,0.29240402579307556,0.2471507489681244,0.4249346852302551,0.20056438446044922,0.4854315221309662,0.4999135136604309,1.0,0.34709328413009644,0.39136970043182373,0.33290785551071167,0.1826142966747284
committees,0.1569511890411377,0.25180065631866455,0.19504864513874054,0.2804393768310547,0.15802469849586487,0.20696991682052612,0.34709328413009644,1.0,0.16783086955547333,0.1853698194026947,0.1382787674665451
in,0.25282081961631775,0.16157563030719757,0.4274188280105591,0.20493127405643463,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.2531541585922241,0.4158826768398285,0.30808621644973755,0.20430970191955566
the,0.32714390754699707,0.25031140446662903,0.40150508284568787,0.2687811255455017,0.5823672413825989,0.5514441132545471,0.733189046382904,0.2924276292324066,0.474788099527359,0.42745697498321533,0.22068053483963013
scottish,0.16164223849773407,0.1356697529554367,0.15378767251968384,0.15085206925868988,0.16398480534553528,0.1910877674818039,0.1698460429906845,0.18123844265937805,0.18636156618595123,0.13777151703834534,0.06442669779062271
parliament,0.1307346522808075,0.1619008332490921,0.18214061856269836,0.20160764455795288,0.19676777720451355,0.14608411490917206,0.2885259687900543,0.4124729335308075,0.1350385993719101,0.21650300920009613,0.1586504578590393
is,0.2171461582183838,0.18936312198638916,0.27355384826660156,0.15478648245334625,1.0,0.4544198513031006,0.4854315221309662,0.15802469849586487,0.5508411526679993,0.28837618231773376,0.22961433231830597
to,0.3001216948032379,0.2310626208782196,0.4069952368736267,0.30535316467285156,0.42745086550712585,0.4025384783744812,0.41548454761505127,0.2806923985481262,0.34544456005096436,0.455847829580307,0.29463258385658264
take,0.6826359033584595,0.15510974824428558,0.21964672207832336,0.2224547564983368,0.22669753432273865,0.3211195170879364,0.29282352328300476,0.2198914736509323,0.20837019383907318,0.3275112509727478,0.21897350251674652
evidence,0.13934890925884247,1.0,0.1667044460773468,0.3946169912815094,0.18936312198638916,0.2556825280189514,0.2471507489681244,0.25180065631866455,0.18759658932685852,0.33425694704055786,0.24151235818862915
from,0.23343123495578766,0.1667044460773468,1.0,0.1287836730480194,0.27355384826660156,0.32194891571998596,0.4249346852302551,0.19504864513874054,0.20019984245300293,0.2737620174884796,0.19969791173934937
witnesses,0.1517348736524582,0.3946169912815094,0.1287836730480194,1.0,0.15478648245334625,0.2364952713251114,0.20056438446044922,0.2804393768310547,0.13751837611198425,0.33896005153656006,0.19972872734069824
",",0.32216814160346985,0.2751304507255554,0.39760664105415344,0.18060672283172607,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.2178204506635666,0.5178600549697876,0.3087472915649414,0.31091248989105225
conduct,0.2092284858226776,0.2166081964969635,0.07924716174602509,0.2416519820690155,0.1898777037858963,0.18717683851718903,0.22399970889091492,0.2754346430301666,0.08943302184343338,0.2088276445865631,0.10856030136346817
inquiries,0.22997824847698212,0.35327813029289246,0.1537546068429947,0.5071675181388855,0.18195021152496338,0.16945169866085052,0.2719807028770447,0.44824808835983276,0.06625213474035263,0.2779780328273773,0.21577061712741852
and,0.3120560646057129,0.25004807114601135,0.3601827025413513,0.2118062824010849,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.289193332195282,0.3053182065486908,0.31309178471565247,0.20544172823429108
scrutinise,0.34449008107185364,0.3495176434516907,0.2351345717906952,0.37778612971305847,0.28051045536994934,0.30109527707099915,0.2695724070072174,0.3550947308540344,0.32687824964523315,0.4496873617172241,0.4245428442955017
legislation,0.14913628995418549,0.26412084698677063,0.18460330367088318,0.27753788232803345,0.17952819168567657,0.19705352187156677,0.3114430606365204,0.49085062742233276,0.16420447826385498,0.26615777611732483,0.21123437583446503
.,0.3233465552330017,0.24887976050376892,0.41536515951156616,0.17223963141441345,0.4569662809371948,0.4123194217681885,0.5352458953857422,0.22547543048858643,0.4806240200996399,0.3567904531955719,0.4130953550338745
