,what,action,by,luther,added,to,antisemitism,in,germany,?
according,0.2776208221912384,0.15107031166553497,0.2975466847419739,0.1085624098777771,0.21965059638023376,0.28520727157592773,0.20496608316898346,0.29259276390075684,0.15017545223236084,0.21173474192619324
to,0.455847829580307,0.24674110114574432,0.33534231781959534,0.18029534816741943,0.29473474621772766,1.0,0.17824991047382355,0.45010748505592346,0.24172882735729218,0.29463258385658264
the,0.42745697498321533,0.28415048122406006,0.4408751428127289,0.1759674996137619,0.3207796514034271,0.535392165184021,0.20361100137233734,0.6662389636039734,0.3181285262107849,0.22068053483963013
prevailing,0.32262012362480164,0.15744541585445404,0.20318478345870972,0.1612280011177063,0.16984055936336517,0.2981305718421936,0.2946857511997223,0.25863325595855713,0.1582394242286682,0.1707875281572342
view,0.2818201184272766,0.2807353734970093,0.1928447186946869,0.14754484593868256,0.10933637619018555,0.229315847158432,0.15186552703380585,0.17477142810821533,0.12094703316688538,0.17672975361347198
among,0.21154822409152985,0.14002332091331482,0.3222726583480835,0.12005859613418579,0.13279105722904205,0.26594701409339905,0.20780402421951294,0.3211768567562103,0.1339305192232132,0.14343059062957764
historians,0.3240909278392792,0.16541151702404022,0.21803079545497894,0.13962656259536743,0.1822657287120819,0.2267346978187561,0.27817246317863464,0.20400987565517426,0.19361697137355804,0.15053395926952362
",",0.3087472915649414,0.22599565982818604,0.3680937886238098,0.23255878686904907,0.28397712111473083,0.44245919585227966,0.2100604623556137,0.5201468467712402,0.2898865044116974,0.31091248989105225
his,0.26976513862609863,0.22143815457820892,0.3107621967792511,0.27093374729156494,0.14566324651241302,0.3715193271636963,0.3070656359195709,0.3598145842552185,0.25163260102272034,0.18075084686279297
anti-jewish,0.24965569376945496,0.17788177728652954,0.27537044882774353,0.2999206483364105,0.24978365004062653,0.28858062624931335,0.5602654814720154,0.2765082120895386,0.3050084710121155,0.26591992378234863
rhetoric,0.35592612624168396,0.18820136785507202,0.1612565964460373,0.17628253996372223,0.2560635805130005,0.19807186722755432,0.33990445733070374,0.21091486513614655,0.18548960983753204,0.2396131157875061
contributed,0.2441394031047821,0.1650136262178421,0.29225775599479675,0.049615420401096344,0.3130601644515991,0.2686880826950073,0.22194404900074005,0.2594258189201355,0.16070151329040527,0.21200142800807953
significantly,0.2746123671531677,0.22410878539085388,0.2918403744697571,0.07437585294246674,0.34292906522750854,0.33877497911453247,0.19662858545780182,0.26986899971961975,0.12925881147384644,0.1823679804801941
to,0.455847829580307,0.24674110114574432,0.33534231781959534,0.18029534816741943,0.29473474621772766,1.0,0.17824991047382355,0.45010748505592346,0.24172882735729218,0.29463258385658264
the,0.42745697498321533,0.28415048122406006,0.4408751428127289,0.1759674996137619,0.3207796514034271,0.535392165184021,0.20361100137233734,0.6662389636039734,0.3181285262107849,0.22068053483963013
development,0.19014155864715576,0.21852299571037292,0.19329734146595,0.07174760848283768,0.212501659989357,0.27639102935791016,0.19820353388786316,0.2550492286682129,0.15740513801574707,0.1211358830332756
of,0.33290785551071167,0.23570318520069122,0.3646814823150635,0.1719115972518921,0.2879071831703186,0.41548454761505127,0.21233119070529938,0.5696388483047485,0.2942050099372864,0.1826142966747284
antisemitism,0.24052080512046814,0.19764362275600433,0.18909798562526703,0.33306023478507996,0.1366785615682602,0.17824991047382355,1.0,0.21951206028461456,0.38537514209747314,0.17148436605930328
in,0.30808621644973755,0.22362500429153442,0.370934396982193,0.20523880422115326,0.26384392380714417,0.45010748505592346,0.21951206028461456,1.0,0.3642844259738922,0.20430970191955566
germany,0.21690446138381958,0.11830483376979828,0.22670169174671173,0.30716460943222046,0.16065210103988647,0.24172882735729218,0.38537514209747314,0.3642844259738922,1.0,0.1388660967350006
",",0.3087472915649414,0.22599565982818604,0.3680937886238098,0.23255878686904907,0.28397712111473083,0.44245919585227966,0.2100604623556137,0.5201468467712402,0.2898865044116974,0.31091248989105225
and,0.31309178471565247,0.25631651282310486,0.4289871156215668,0.20796556770801544,0.29847657680511475,0.48971283435821533,0.20131291449069977,0.4954058527946472,0.29381805658340454,0.20544172823429108
in,0.30808621644973755,0.22362500429153442,0.370934396982193,0.20523880422115326,0.26384392380714417,0.45010748505592346,0.21951206028461456,1.0,0.3642844259738922,0.20430970191955566
the,0.42745697498321533,0.28415048122406006,0.4408751428127289,0.1759674996137619,0.3207796514034271,0.535392165184021,0.20361100137233734,0.6662389636039734,0.3181285262107849,0.22068053483963013
1930s,0.08317657560110092,-0.013271419331431389,0.1306881606578827,0.10968858748674393,0.10622294992208481,0.017448611557483673,0.1312570869922638,0.07221422344446182,0.1308043897151947,0.04075539484620094
and,0.31309178471565247,0.25631651282310486,0.4289871156215668,0.20796556770801544,0.29847657680511475,0.48971283435821533,0.20131291449069977,0.4954058527946472,0.29381805658340454,0.20544172823429108
1940s,-0.21677392721176147,-0.16128811240196228,-0.06948131322860718,-0.08558990061283112,-0.07794433832168579,-0.15312688052654266,-0.11148609966039658,-0.12716414034366608,-0.10678381472826004,-0.23527579009532928
provided,0.2206064909696579,0.23433254659175873,0.2935292720794678,0.11748263239860535,0.4042433500289917,0.28066325187683105,0.14787854254245758,0.19033823907375336,0.13876648247241974,0.16893617808818817
an,0.2821882665157318,0.20630431175231934,0.2719563841819763,0.10983039438724518,0.21177144348621368,0.3138085603713989,0.16788044571876526,0.2605783939361572,0.10986391454935074,0.19793890416622162
``,0.008517155423760414,0.03569316491484642,-0.030704375356435776,-0.013964727520942688,0.02026473358273506,0.06720756739377975,0.057650431990623474,0.04765888676047325,2.34745821217075e-05,0.0685480609536171
