,how,do,some,scholars,view,the,nazi,use,of,luther,'s,work,?
some,0.4180530905723572,0.4725562036037445,0.9999999403953552,0.35623154044151306,0.23073558509349823,0.4566698372364044,0.1993703842163086,0.4820891320705414,0.4300730526447296,0.2097044140100479,0.056411296129226685,0.3953768014907837,0.2562315762042999
scholars,0.20962771773338318,0.22121398150920868,0.35623154044151306,0.9999998807907104,0.22787560522556305,0.2524346709251404,0.1774030476808548,0.15458692610263824,0.2583930194377899,0.24086572229862213,0.06039043515920639,0.17742080986499786,0.11279910802841187
see,0.404163658618927,0.4088582396507263,0.4159115254878998,0.19788478314876556,0.32061341404914856,0.3770301640033722,0.14890071749687195,0.44045713543891907,0.33962661027908325,0.1657041758298874,-0.010140474885702133,0.30542221665382385,0.42005208134651184
luther,0.13354721665382385,0.10933273285627365,0.2097044140100479,0.24086572229862213,0.14754484593868256,0.1759674996137619,0.2787477672100067,0.10849796235561371,0.1719115972518921,1.0,-0.009990512393414974,0.15580131113529205,0.1732746809720993
's,-0.026164190843701363,-0.01994597539305687,0.056411296129226685,0.06039043515920639,0.08296377211809158,-0.01540423184633255,0.09119178354740143,0.004619393963366747,-0.03817026689648628,-0.009990512393414974,0.9999999403953552,-0.03332063928246498,-0.023395681753754616
influence,0.2964659333229065,0.16622374951839447,0.31845390796661377,0.28949570655822754,0.16739223897457123,0.3039984107017517,0.15845543146133423,0.22135581076145172,0.3608979284763336,0.13023076951503754,0.0246872678399086,0.3181151747703552,0.14200882613658905
as,0.33782753348350525,0.38329678773880005,0.4293700158596039,0.2219924032688141,0.13756150007247925,0.48381632566452026,0.15888157486915588,0.3453201949596405,0.3886612355709076,0.20242992043495178,-0.05775856226682663,0.32418152689933777,0.27043893933296204
limited,0.2116495817899704,0.21588748693466187,0.3265417814254761,0.155117005109787,0.13841325044631958,0.2757521867752075,0.11866013705730438,0.3095950782299042,0.3373238146305084,0.12465732544660568,0.009881002828478813,0.21230362355709076,0.09444807469844818
",",0.22659391164779663,0.3283645510673523,0.42400437593460083,0.23522303998470306,0.216712087392807,0.4933079481124878,0.22584949433803558,0.3276674151420593,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.3283594250679016,0.31091248989105225
and,0.33647966384887695,0.276123583316803,0.5337774157524109,0.24718980491161346,0.19056165218353271,0.5171257257461548,0.2482004314661026,0.34145063161849976,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.37551814317703247,0.20544172823429108
the,0.33890387415885925,0.30239659547805786,0.4566698372364044,0.2524346709251404,0.25610461831092834,1.0,0.23007801175117493,0.34342584013938904,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.2704800069332123,0.22068053483963013
nazis,0.26128965616226196,0.18356125056743622,0.2805951237678528,0.2520335912704468,0.17136667668819427,0.22388386726379395,0.7758151888847351,0.22999073565006256,0.18243147432804108,0.3099939823150635,0.11501337587833405,0.19945880770683289,0.1800263673067093
',0.18823795020580292,0.33874475955963135,0.24786527454853058,0.16028307378292084,0.1841583102941513,0.474788099527359,0.10638739913702011,0.2601005434989929,0.39136970043182373,0.142246812582016,0.07651367038488388,0.27881306409835815,0.330942302942276
use,0.39296725392341614,0.4545445144176483,0.4820891320705414,0.15458692610263824,0.1679607778787613,0.34342584013938904,0.1848485916852951,1.0,0.2750902473926544,0.10849796235561371,0.004619393963366747,0.38692766427993774,0.32795652747154236
of,0.2480744868516922,0.26150479912757874,0.4300730526447296,0.2583930194377899,0.21446028351783752,0.733189046382904,0.22957292199134827,0.2750902473926544,1.0,0.1719115972518921,-0.03817026689648628,0.23473061621189117,0.1826142966747284
his,0.24614305794239044,0.15088757872581482,0.3033970892429352,0.2416568249464035,0.1316186636686325,0.4394008219242096,0.22314202785491943,0.19605936110019684,0.38364991545677185,0.27093374729156494,0.047556519508361816,0.36648666858673096,0.18075084686279297
work,0.38187548518180847,0.3533625304698944,0.3953768014907837,0.17742080986499786,0.13263414800167084,0.2704800069332123,0.15381602942943573,0.38692766427993774,0.23473061621189117,0.15580131113529205,-0.03332063928246498,1.0,0.2621155381202698
as,0.33782753348350525,0.38329678773880005,0.4293700158596039,0.2219924032688141,0.13756150007247925,0.48381632566452026,0.15888157486915588,0.3453201949596405,0.3886612355709076,0.20242992043495178,-0.05775856226682663,0.32418152689933777,0.27043893933296204
opportunistic,0.267424613237381,0.3465842008590698,0.3857790231704712,0.3093574345111847,0.17433983087539673,0.23269613087177277,0.17804332077503204,0.2763879895210266,0.22855593264102936,0.14429698884487152,0.015829041600227356,0.1965910792350769,0.13376203179359436
.,0.3287222981452942,0.3613996207714081,0.40663889050483704,0.15168285369873047,0.23733025789260864,0.5934505462646484,0.22763222455978394,0.3711656630039215,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.33121398091316223,0.4130953550338745
