,how,are,the,galleries,overlooking,the,garden,arranged,?
the,0.33890387415885925,0.40399202704429626,1.0,0.27603694796562195,0.3253188133239746,1.0,0.23359008133411407,0.26620063185691833,0.22068053483963013
galleries,0.1707666516304016,0.28016820549964905,0.27603694796562195,0.9999998807907104,0.3734075129032135,0.27603694796562195,0.2845597267150879,0.2292812019586563,0.1957392692565918
overlooking,0.15402178466320038,0.19866696000099182,0.3253188133239746,0.3734075129032135,0.9999999403953552,0.3253188133239746,0.3516461253166199,0.14373379945755005,0.16138727962970734
the,0.33890387415885925,0.40399202704429626,1.0,0.27603694796562195,0.3253188133239746,1.0,0.23359008133411407,0.26620063185691833,0.22068053483963013
garden,0.11634433269500732,0.1611964851617813,0.23359008133411407,0.2845597267150879,0.3516461253166199,0.23359008133411407,1.0,0.155249685049057,0.16720405220985413
are,0.311818927526474,1.0,0.40399202704429626,0.28016820549964905,0.19866696000099182,0.40399202704429626,0.1611964851617813,0.2458474189043045,0.24591213464736938
arranged,0.20333947241306305,0.2458474189043045,0.26620063185691833,0.2292812019586563,0.14373379945755005,0.26620063185691833,0.155249685049057,0.9999998807907104,0.08499907702207565
by,0.34370526671409607,0.37842893600463867,0.4408751428127289,0.18073885142803192,0.1503319889307022,0.4408751428127289,0.1725831925868988,0.2703990042209625,0.17966607213020325
theme,0.1570068746805191,0.14782916009426117,0.2470158040523529,0.2177315503358841,0.26323726773262024,0.2470158040523529,0.2615742087364197,0.16279977560043335,0.21507632732391357
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.2487238645553589,0.24605926871299744,0.4933079481124878,0.2712799608707428,0.2789522111415863,0.31091248989105225
tomb,0.15455472469329834,0.10894356667995453,0.26880332827568054,0.30167096853256226,0.26438915729522705,0.26880332827568054,0.20728270709514618,0.20223066210746765,0.18185138702392578
sculpture,0.13589592278003693,0.1801881343126297,0.23690329492092133,0.4911354184150696,0.38803625106811523,0.23690329492092133,0.361750990152359,0.2476350963115692,0.1571214497089386
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.2487238645553589,0.24605926871299744,0.4933079481124878,0.2712799608707428,0.2789522111415863,0.31091248989105225
portraiture,0.1933927983045578,0.14722396433353424,0.24921433627605438,0.49487069249153137,0.301100492477417,0.24921433627605438,0.24860264360904694,0.18398302793502808,0.17603272199630737
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.2487238645553589,0.24605926871299744,0.4933079481124878,0.2712799608707428,0.2789522111415863,0.31091248989105225
garden,0.11634433269500732,0.1611964851617813,0.23359008133411407,0.2845597267150879,0.3516461253166199,0.23359008133411407,1.0,0.155249685049057,0.16720405220985413
sculpture,0.13589592278003693,0.1801881343126297,0.23690329492092133,0.4911354184150696,0.38803625106811523,0.23690329492092133,0.361750990152359,0.2476350963115692,0.1571214497089386
and,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.3095110058784485,0.2604442536830902,0.5171257257461548,0.2236175239086151,0.314948171377182,0.20544172823429108
mythology,0.13767175376415253,0.19454970955848694,0.20786648988723755,0.17521975934505463,0.18796657025814056,0.20786648988723755,0.17103877663612366,0.1517941802740097,0.20058037340641022
.,0.3287222981452942,0.3452940285205841,0.5934505462646484,0.2919006645679474,0.233247771859169,0.5934505462646484,0.231033593416214,0.22968827188014984,0.4130953550338745
