,how,far,apart,are,some,of,the,neighborhood,'s,features,?
the,0.33890387415885925,0.38564538955688477,0.28010323643684387,0.40399202704429626,0.4566698372364044,0.733189046382904,1.0,0.20152483880519867,-0.01540423184633255,0.29863014817237854,0.22068053483963013
neighborhood,0.1466134935617447,0.1947508156299591,0.16437488794326782,0.14939361810684204,0.17619290947914124,0.15683332085609436,0.20152483880519867,1.0000001192092896,-0.08846356719732285,0.2398368865251541,0.048473283648490906
features,0.18748131394386292,0.20230379700660706,0.2311328649520874,0.30492109060287476,0.33731046319007874,0.2464914619922638,0.29863014817237854,0.2398368865251541,0.009004111401736736,1.0,0.23497378826141357
restaurants,0.16024601459503174,0.18916423618793488,0.10306002199649811,0.2850877642631531,0.26106908917427063,0.21182489395141602,0.2341458648443222,0.3535462021827698,-0.004030594136565924,0.25166055560112,0.1858629733324051
",",0.22659391164779663,0.346853643655777,0.2889974117279053,0.4062570035457611,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.21194669604301453,-0.0016132977325469255,0.2743610739707947,0.31091248989105225
live,0.16572442650794983,0.22637169063091278,0.142780140042305,0.30489251017570496,0.310779869556427,0.27734068036079407,0.2995128035545349,0.2101442813873291,0.0809648334980011,0.2632584571838379,0.19481121003627777
theater,0.14455607533454895,0.1690760999917984,0.14913515746593475,0.11086813360452652,0.1787365823984146,0.19138707220554352,0.2354130744934082,0.2978384792804718,0.10415638238191605,0.18031200766563416,0.12811817228794098
and,0.33647966384887695,0.3353408873081207,0.330744206905365,0.48576638102531433,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.21993553638458252,0.06895173341035843,0.3483351171016693,0.20544172823429108
nightclubs,0.1810983270406723,0.17683246731758118,0.11359161138534546,0.25919148325920105,0.291225403547287,0.18229632079601288,0.22270604968070984,0.3510052263736725,-0.02523173578083515,0.26695185899734497,0.14631803333759308
",",0.22659391164779663,0.346853643655777,0.2889974117279053,0.4062570035457611,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.21194669604301453,-0.0016132977325469255,0.2743610739707947,0.31091248989105225
as,0.33782753348350525,0.36748984456062317,0.1935769021511078,0.3826591968536377,0.4293700158596039,0.3886612355709076,0.48381632566452026,0.1721622794866562,-0.05775856226682663,0.3214626908302307,0.27043893933296204
well,0.410734087228775,0.4817579984664917,0.21790921688079834,0.44987359642982483,0.549889862537384,0.3343164324760437,0.42630070447921753,0.187360018491745,-0.0049502006731927395,0.3261139690876007,0.24815571308135986
as,0.33782753348350525,0.36748984456062317,0.1935769021511078,0.3826591968536377,0.4293700158596039,0.3886612355709076,0.48381632566452026,0.1721622794866562,-0.05775856226682663,0.3214626908302307,0.27043893933296204
several,0.28568220138549805,0.23895911872386932,0.2759212851524353,0.4241659343242645,0.6083422303199768,0.3271615505218506,0.40559855103492737,0.1407722383737564,-0.012985157780349255,0.3334111273288727,0.15595775842666626
independent,0.1741381734609604,0.15475057065486908,0.22013768553733826,0.1716575026512146,0.24364283680915833,0.30508819222450256,0.2927691638469696,0.1646099090576172,0.005493760574609041,0.14613077044487,0.11902587860822678
shops,0.10911856591701508,0.19345754384994507,0.17616093158721924,0.2780316472053528,0.30481016635894775,0.1712847352027893,0.20731589198112488,0.3484307825565338,0.04186634719371796,0.23151549696922302,0.09888634085655212
