,whwn,forces,are,at,right,ngles,to,each,other,what,can,they,be,broken,down,to,?
as,0.3112044036388397,0.1724308878183365,0.3826591968536377,0.28092536330223083,0.2408553808927536,0.23328450322151184,0.42092081904411316,0.27854636311531067,0.42805421352386475,0.31749409437179565,0.3245031237602234,0.3294360637664795,0.5230465531349182,0.13619360327720642,0.2080715298652649,0.42092081904411316,0.27043893933296204
well,0.30084913969039917,0.12775348126888275,0.44987359642982483,0.26019635796546936,0.29631978273391724,0.2916608452796936,0.3422003388404846,0.2871420681476593,0.46553051471710205,0.4154493808746338,0.35096636414527893,0.41211462020874023,0.4045031666755676,0.16004468500614166,0.2424212396144867,0.3422003388404846,0.24815571308135986
as,0.3112044036388397,0.1724308878183365,0.3826591968536377,0.28092536330223083,0.2408553808927536,0.23328450322151184,0.42092081904411316,0.27854636311531067,0.42805421352386475,0.31749409437179565,0.3245031237602234,0.3294360637664795,0.5230465531349182,0.13619360327720642,0.2080715298652649,0.42092081904411316,0.27043893933296204
being,0.27803292870521545,0.20424360036849976,0.4656608998775482,0.2686914801597595,0.27225571870803833,0.2303188145160675,0.4514104127883911,0.26948949694633484,0.37174108624458313,0.3760843276977539,0.433290958404541,0.41845834255218506,0.5586286783218384,0.2400520145893097,0.2538146674633026,0.4514104127883911,0.26743772625923157
added,0.25729599595069885,0.10466709733009338,0.2351086586713791,0.20875917375087738,0.16736973822116852,0.12014225870370865,0.29473474621772766,0.2844924032688141,0.3250802159309387,0.23789235949516296,0.3047398328781128,0.2305445522069931,0.3796730935573578,0.24218422174453735,0.18344196677207947,0.29473474621772766,0.2865637540817261
",",0.17887063324451447,0.2544684410095215,0.4062570035457611,0.38314947485923767,0.24165019392967224,0.28640544414520264,0.44245919585227966,0.207483172416687,0.4446498453617096,0.3087472915649414,0.3139454126358032,0.390799880027771,0.39254459738731384,0.2498844563961029,0.23362469673156738,0.44245919585227966,0.31091248989105225
forces,0.13525699079036713,1.0,0.22039441764354706,0.20982104539871216,0.17228105664253235,0.2305181473493576,0.2581802308559418,0.18532252311706543,0.1988212913274765,0.2112482488155365,0.15958181023597717,0.26182860136032104,0.17733727395534515,0.21844442188739777,0.21590502560138702,0.2581802308559418,0.16984491050243378
can,0.2224564552307129,0.15958181023597717,0.5408529043197632,0.16641086339950562,0.2777777910232544,0.2847273051738739,0.4979398250579834,0.4078707695007324,0.454561322927475,0.34502777457237244,1.0,0.47909218072891235,0.5791122913360596,0.2686186134815216,0.2631096839904785,0.4979398250579834,0.3226337134838104
also,0.34573453664779663,0.20342767238616943,0.4565894305706024,0.36980849504470825,0.2222057282924652,0.3284516930580139,0.5348826050758362,0.3968004882335663,0.5326101183891296,0.42747777700424194,0.4861826002597809,0.5272021293640137,0.48342031240463257,0.29204681515693665,0.25850775837898254,0.5348826050758362,0.21848613023757935
be,0.27805450558662415,0.17733727395534515,0.5556803941726685,0.30379733443260193,0.28686586022377014,0.2418248951435089,0.4972836375236511,0.3907950520515442,0.4629868268966675,0.3929833769798279,0.5791122913360596,0.4858434796333313,1.0,0.2550603747367859,0.24427638947963715,0.4972836375236511,0.3324260413646698
