,what,philosophy,of,thought,addresses,wealth,inequality,?
neoclassical,0.23971682786941528,0.40703433752059937,0.2511714696884155,0.30040860176086426,0.17215196788311005,0.2625008821487427,0.3471813499927521,0.19664928317070007
economics,0.21107932925224304,0.5238805413246155,0.2429119050502777,0.19417789578437805,0.21235546469688416,0.39090144634246826,0.3768908679485321,0.15849412977695465
views,0.32671356201171875,0.3586341142654419,0.1923438459634781,0.31620028614997864,0.26175081729888916,0.21369105577468872,0.2866062819957733,0.19388815760612488
inequalities,0.2880789637565613,0.30945178866386414,0.27897384762763977,0.2637881934642792,0.29151782393455505,0.3893612325191498,0.7787728309631348,0.19635117053985596
in,0.30808621644973755,0.27151891589164734,0.5696388483047485,0.24524326622486115,0.14050431549549103,0.1835664063692093,0.19402410089969635,0.20430970191955566
the,0.42745697498321533,0.19357287883758545,0.733189046382904,0.3509289622306824,0.24995577335357666,0.24999672174453735,0.23508106172084808,0.22068053483963013
distribution,0.17429208755493164,0.09902189671993256,0.254255473613739,0.20078803598880768,0.15195952355861664,0.23516376316547394,0.3017756938934326,0.0929616317152977
of,0.33290785551071167,0.2520225942134857,1.0,0.34673458337783813,0.23395833373069763,0.27235376834869385,0.27910974621772766,0.1826142966747284
income,0.21837803721427917,0.16447743773460388,0.2581324577331543,0.1907631903886795,0.2719727158546448,0.46220239996910095,0.46967795491218567,0.14935168623924255
as,0.31749409437179565,0.2212587296962738,0.3886612355709076,0.3461970388889313,0.2592882215976715,0.2313503623008728,0.1947982758283615,0.27043893933296204
arising,0.31933221220970154,0.21414904296398163,0.3256460726261139,0.273450642824173,0.1494169384241104,0.2962286174297333,0.4022027254104614,0.14599399268627167
from,0.2737620174884796,0.21460860967636108,0.4249346852302551,0.2623365819454193,0.19214481115341187,0.19466403126716614,0.06381086260080338,0.19969791173934937
differences,0.3500737249851227,0.19582530856132507,0.3115874230861664,0.33568164706230164,0.26623716950416565,0.24591636657714844,0.43724584579467773,0.20399115979671478
in,0.30808621644973755,0.27151891589164734,0.5696388483047485,0.24524326622486115,0.14050431549549103,0.1835664063692093,0.19402410089969635,0.20430970191955566
value,0.24056871235370636,0.20490020513534546,0.14933855831623077,0.19722580909729004,0.2608143985271454,0.32376641035079956,0.33105677366256714,0.23920650780200958
added,0.23789235949516296,0.059401173144578934,0.2879071831703186,0.18869443237781525,0.2485392838716507,0.12964972853660583,0.19223667681217194,0.2865637540817261
by,0.2455483376979828,0.1663963794708252,0.3646814823150635,0.30952954292297363,0.1916004866361618,0.1584445983171463,0.17648567259311676,0.17966607213020325
labor,0.1943984031677246,0.1213533952832222,0.23769748210906982,0.16292324662208557,0.17118141055107117,0.2885274291038513,0.3555051386356354,0.19386747479438782
",",0.3087472915649414,0.2626064419746399,0.4946078956127167,0.2965437173843384,0.20993220806121826,0.22482609748840332,0.21822890639305115,0.31091248989105225
capital,0.17967931926250458,0.21027477085590363,0.30823585391044617,0.06082583963871002,0.14123643934726715,0.2671343684196472,0.24214337766170502,0.0907452180981636
and,0.31309178471565247,0.23960337042808533,0.5116966962814331,0.34702804684638977,0.2222961187362671,0.29316192865371704,0.2590520679950714,0.20544172823429108
land,0.23411516845226288,0.06398908793926239,0.3057127296924591,0.2504678964614868,0.13204045593738556,0.31046849489212036,0.1743047684431076,0.1432059109210968
.,0.3567904531955719,0.21662621200084686,0.5352458953857422,0.3521888852119446,0.2172955721616745,0.1815606653690338,0.22563500702381134,0.4130953550338745
