,when,was,the,single,european,act,made,?
major,0.17186790704727173,0.20676274597644806,0.31775903701782227,0.18710987269878387,0.2127828150987625,0.10991740226745605,0.18156227469444275,0.19788557291030884
amending,0.28337815403938293,0.19495129585266113,0.3774365782737732,0.26671409606933594,0.21424759924411774,0.43344104290008545,0.2503177523612976,0.2748635411262512
treaties,0.19978302717208862,0.1740918755531311,0.28970760107040405,0.07889476418495178,0.30161675810813904,0.3286246061325073,0.23773497343063354,0.1693580597639084
were,0.29649975895881653,0.590133786201477,0.3906462490558624,0.16140905022621155,0.21272888779640198,0.18935994803905487,0.32412371039390564,0.17890112102031708
signed,0.18414242565631866,0.2625274360179901,0.20675969123840332,0.13314801454544067,0.17966553568840027,0.2603176534175873,0.25516217947006226,0.14003296196460724
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.2593121826648712,0.21011990308761597,0.24833928048610687,0.3377571105957031,0.29463258385658264
complete,0.1622815877199173,0.13758507370948792,0.277624249458313,0.18666155636310577,0.1374148726463318,0.16307276487350464,0.16333630681037903,0.11962060630321503
the,0.5091903209686279,0.48711544275283813,1.0,0.29338565468788147,0.3423081040382385,0.28682878613471985,0.3885267674922943,0.22068053483963013
development,0.19914807379245758,0.2344081997871399,0.3362044394016266,0.1689666360616684,0.30228447914123535,0.2038373351097107,0.21771858632564545,0.1211358830332756
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.22455744445323944,0.2507138252258301,0.2802577316761017,0.33167365193367004,0.1826142966747284
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.3884310722351074,0.2254103124141693,0.2060188204050064,0.3180864453315735,0.23916715383529663
single,0.22309941053390503,0.22785933315753937,0.29338565468788147,0.9999998807907104,0.1675698161125183,0.19131696224212646,0.24179600179195404,0.2151121199131012
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.21322597563266754,0.19684812426567078,0.1787904053926468,0.32507219910621643,0.31091248989105225
internal,0.28072524070739746,0.13280588388442993,0.24764955043792725,0.19882643222808838,0.1499721258878708,0.1648549735546112,0.15160861611366272,0.1665428727865219
market,0.16571037471294403,0.2252027839422226,0.2041238248348236,0.16934368014335632,0.16676898300647736,0.08542928099632263,0.09476404637098312,0.12805593013763428
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.23017926514148712,0.23319172859191895,0.22050046920776367,0.25271502137184143,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.29338565468788147,0.3423081040382385,0.28682878613471985,0.3885267674922943,0.22068053483963013
single,0.22309941053390503,0.22785933315753937,0.29338565468788147,0.9999998807907104,0.1675698161125183,0.19131696224212646,0.24179600179195404,0.2151121199131012
european,0.1717725396156311,0.22463937103748322,0.3423081040382385,0.1675698161125183,0.9999998807907104,0.1387064903974533,0.19165468215942383,0.14560863375663757
act,0.22280360758304596,0.1887621134519577,0.28682878613471985,0.19131696224212646,0.1387064903974533,1.0,0.14789819717407227,0.1482519507408142
1986,0.02714109607040882,0.030121389776468277,0.11024544388055801,0.11968711763620377,0.06736443191766739,0.04040961712598801,-0.00108996476046741,0.14247135818004608
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.21322597563266754,0.19684812426567078,0.1787904053926468,0.32507219910621643,0.31091248989105225
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.2593121826648712,0.21011990308761597,0.24833928048610687,0.3377571105957031,0.29463258385658264
further,0.2538713812828064,0.16107149422168732,0.32531118392944336,0.1716286540031433,0.13341836631298065,0.16601407527923584,0.3788355886936188,0.20960763096809387
the,0.5091903209686279,0.48711544275283813,1.0,0.29338565468788147,0.3423081040382385,0.28682878613471985,0.3885267674922943,0.22068053483963013
development,0.19914807379245758,0.2344081997871399,0.3362044394016266,0.1689666360616684,0.30228447914123535,0.2038373351097107,0.21771858632564545,0.1211358830332756
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.22455744445323944,0.2507138252258301,0.2802577316761017,0.33167365193367004,0.1826142966747284
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.3884310722351074,0.2254103124141693,0.2060188204050064,0.3180864453315735,0.23916715383529663
more,0.359977662563324,0.21525104343891144,0.39758381247520447,0.2675887942314148,0.1796877533197403,0.14653106033802032,0.4597497582435608,0.27894994616508484
social,0.17212750017642975,0.196878582239151,0.21797899901866913,0.15582573413848877,0.27265316247940063,0.16366514563560486,0.1392267793416977,0.1615191102027893
europe,0.18744638562202454,0.2931758761405945,0.34463706612586975,0.19306586682796478,0.5846181511878967,0.17682144045829773,0.20315289497375488,0.18278923630714417
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.23017926514148712,0.23319172859191895,0.22050046920776367,0.25271502137184143,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.29338565468788147,0.3423081040382385,0.28682878613471985,0.3885267674922943,0.22068053483963013
treaty,0.15431849658489227,0.2409621626138687,0.2690109610557556,0.08921118825674057,0.25059598684310913,0.2924709916114807,0.16611096262931824,0.1174844279885292
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.22455744445323944,0.2507138252258301,0.2802577316761017,0.33167365193367004,0.1826142966747284
amsterdam,0.14410123229026794,0.281005859375,0.18500292301177979,0.13524004817008972,0.2938917875289917,0.1472695767879486,0.10849413275718689,0.1401052325963974
1997,-0.03653284162282944,-0.11245216429233551,0.017451778054237366,-0.11442484706640244,0.0005601008888334036,-0.016858212649822235,0.042900774627923965,0.03663474693894386
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.21322597563266754,0.19684812426567078,0.1787904053926468,0.32507219910621643,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.21896247565746307,0.24143946170806885,0.2776535749435425,0.34954607486724854,0.20544172823429108
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.2593121826648712,0.21011990308761597,0.24833928048610687,0.3377571105957031,0.29463258385658264
make,0.4273611307144165,0.20205417275428772,0.3146495521068573,0.21983355283737183,0.15440261363983154,0.25709912180900574,0.613452136516571,0.28314751386642456
minor,0.16065940260887146,0.1607157588005066,0.2544519603252411,0.13166967034339905,0.12195716053247452,0.05727485567331314,0.17457982897758484,0.21100293099880219
amendments,0.21971112489700317,0.22610734403133392,0.30301690101623535,0.22449235618114471,0.2202334702014923,0.3696193993091583,0.22634939849376678,0.2547150254249573
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.2593121826648712,0.21011990308761597,0.24833928048610687,0.3377571105957031,0.29463258385658264
the,0.5091903209686279,0.48711544275283813,1.0,0.29338565468788147,0.3423081040382385,0.28682878613471985,0.3885267674922943,0.22068053483963013
relative,0.2567206621170044,0.12899231910705566,0.24540278315544128,0.13484258949756622,0.1740056574344635,0.08199073374271393,0.13997751474380493,0.1457768678665161
power,0.28225177526474,0.1794997751712799,0.2647338807582855,0.1474078893661499,0.12864074110984802,0.12252519279718399,0.15638238191604614,0.15304024517536163
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.22455744445323944,0.2507138252258301,0.2802577316761017,0.33167365193367004,0.1826142966747284
member,0.1946450024843216,0.31559354066848755,0.2806392312049866,0.1916818916797638,0.24138560891151428,0.1078537181019783,0.15463382005691528,0.06826172769069672
states,0.24639196693897247,0.2847922146320343,0.3463578522205353,0.1445075273513794,0.25554242730140686,0.26648834347724915,0.19372312724590302,0.16272737085819244
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.23017926514148712,0.23319172859191895,0.22050046920776367,0.25271502137184143,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.29338565468788147,0.3423081040382385,0.28682878613471985,0.3885267674922943,0.22068053483963013
eu,0.12100394815206528,0.08040577173233032,0.14126400649547577,0.18781553208827972,0.46552222967147827,0.1889125555753708,0.14606639742851257,0.21586786210536957
institutions,0.148276224732399,0.20505627989768982,0.2776423394680023,0.1336338222026825,0.26148170232772827,0.2739025056362152,0.1473231166601181,0.19119486212730408
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.23017926514148712,0.23319172859191895,0.22050046920776367,0.25271502137184143,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.29338565468788147,0.3423081040382385,0.28682878613471985,0.3885267674922943,0.22068053483963013
treaty,0.15431849658489227,0.2409621626138687,0.2690109610557556,0.08921118825674057,0.25059598684310913,0.2924709916114807,0.16611096262931824,0.1174844279885292
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.22455744445323944,0.2507138252258301,0.2802577316761017,0.33167365193367004,0.1826142966747284
nice,0.24594508111476898,0.18531116843223572,0.24021440744400024,0.15281744301319122,0.07893867790699005,0.17191293835639954,0.14969386160373688,0.26011520624160767
