,miller-boyett,productions,was,a,studio,affiliated,with,what,company,?
many,0.19584089517593384,0.2544585168361664,0.260356068611145,0.2872205972671509,0.16194266080856323,0.19444812834262848,0.35744401812553406,0.36131182312965393,0.196149542927742,0.2124512493610382
of,0.24931210279464722,0.18559667468070984,0.4069072902202606,0.5052502155303955,0.1954907327890396,0.23497317731380463,0.41827285289764404,0.33290785551071167,0.20467796921730042,0.1826142966747284
the,0.28364938497543335,0.2695383131504059,0.48711544275283813,0.5829201340675354,0.24831420183181763,0.2365114837884903,0.4223487675189972,0.42745697498321533,0.26591673493385315,0.22068053483963013
series,0.27408358454704285,0.31595122814178467,0.2261398285627365,0.23966510593891144,0.24898307025432587,0.17976680397987366,0.17767351865768433,0.17328087985515594,0.23864467442035675,0.1709602326154709
featured,0.2687686085700989,0.33763256669044495,0.3064519464969635,0.3058987855911255,0.40635281801223755,0.18026010692119598,0.2371402531862259,0.20330384373664856,0.1271539032459259,0.2944096624851227
during,0.25416427850723267,0.1972537785768509,0.4470829963684082,0.30341604351997375,0.20209337770938873,0.22620028257369995,0.28545209765434265,0.24137552082538605,0.12950238585472107,0.1325719803571701
the,0.28364938497543335,0.2695383131504059,0.48711544275283813,0.5829201340675354,0.24831420183181763,0.2365114837884903,0.4223487675189972,0.42745697498321533,0.26591673493385315,0.22068053483963013
run,0.15506379306316376,0.166937455534935,0.18548552691936493,0.2607046067714691,0.15550248324871063,0.1899799257516861,0.16277898848056793,0.2294815480709076,0.2012515664100647,0.17904110252857208
of,0.24931210279464722,0.18559667468070984,0.4069072902202606,0.5052502155303955,0.1954907327890396,0.23497317731380463,0.41827285289764404,0.33290785551071167,0.20467796921730042,0.1826142966747284
the,0.28364938497543335,0.2695383131504059,0.48711544275283813,0.5829201340675354,0.24831420183181763,0.2365114837884903,0.4223487675189972,0.42745697498321533,0.26591673493385315,0.22068053483963013
block,0.1344299167394638,0.18547166883945465,0.1182115375995636,0.2515272796154022,0.20805233716964722,0.15328465402126312,0.17197369039058685,0.33229514956474304,0.15804971754550934,0.27211859822273254
were,0.27238020300865173,0.22421447932720184,0.590133786201477,0.17203083634376526,0.12459000200033188,0.15136848390102386,0.3179011940956116,0.22298263013362885,0.1783226877450943,0.17890112102031708
produced,0.22997821867465973,0.6141222715377808,0.28463777899742126,0.21993228793144226,0.3365733027458191,0.07648587971925735,0.26250705122947693,0.1393624097108841,0.29742905497550964,0.1623450517654419
by,0.26469770073890686,0.274625301361084,0.4752357602119446,0.32094135880470276,0.26709386706352234,0.11945317685604095,0.39731505513191223,0.2455483376979828,0.22328482568264008,0.17966607213020325
miller-boyett,1.0000001192092896,0.3425846993923187,0.33712038397789,0.2433057576417923,0.2945545017719269,0.21490687131881714,0.2680283486843109,0.1528654396533966,0.23176826536655426,0.17043131589889526
productions,0.3425846993923187,1.0000001192092896,0.24518412351608276,0.18360063433647156,0.4103420078754425,0.14799438416957855,0.26091864705085754,0.18529511988162994,0.3998022973537445,0.22681239247322083
",",0.40180960297584534,0.2846270501613617,0.45456063747406006,0.427140474319458,0.24372334778308868,0.20832805335521698,0.4120737314224243,0.3087472915649414,0.2697763442993164,0.31091248989105225
a,0.2433057576417923,0.18360063433647156,0.4508470594882965,1.0,0.2171696275472641,0.16043217480182648,0.3783375024795532,0.3320399522781372,0.22037413716316223,0.23916715383529663
warner,0.3482874929904938,0.43957892060279846,0.24578320980072021,0.20652779936790466,0.38133931159973145,0.22026021778583527,0.2039286196231842,0.18542180955410004,0.30600854754447937,0.21637006103992462
bros.-based,0.37204843759536743,0.4400418698787689,0.3891231119632721,0.34255897998809814,0.3262089788913727,0.24187904596328735,0.34831464290618896,0.3181573152542114,0.3878196179866791,0.24164444208145142
