,what,japanese,network,did,abc,purchase,a,stake,in,in,1951,?
goldenson,0.24370093643665314,0.1663489043712616,0.17995120584964752,0.18173369765281677,0.29072654247283936,0.22888782620429993,0.29056107997894287,0.21147455275058746,0.2430626004934311,0.2430626004934311,-0.20853081345558167,0.2495560646057129
also,0.42747777700424194,0.2420416921377182,0.25186610221862793,0.39334940910339355,0.2030053734779358,0.25785940885543823,0.5149940252304077,0.17108090221881866,0.5073733329772949,0.5073733329772949,-0.19806446135044098,0.21848613023757935
cited,0.28291428089141846,0.20366749167442322,0.12949955463409424,0.2331319898366928,0.1925804615020752,0.17965281009674072,0.17132686078548431,0.1556878238916397,0.21365566551685333,0.21365566551685333,-0.19474095106124878,0.32995760440826416
interest,0.23849236965179443,0.15795990824699402,0.1463828682899475,0.21788068115711212,0.1958511769771576,0.33437854051589966,0.2706421911716461,0.18452417850494385,0.27232617139816284,0.27232617139816284,-0.11296108365058899,0.2411724328994751
in,0.30808621644973755,0.1623581349849701,0.19496823847293854,0.2593238651752472,0.1697147786617279,0.18969708681106567,0.539380669593811,0.1796121448278427,1.0,1.0,-0.18103405833244324,0.20430970191955566
japan,0.1865565925836563,0.6440894603729248,0.17388831079006195,0.16141492128372192,0.16679732501506805,0.153830885887146,0.20427335798740387,0.156732976436615,0.23087722063064575,0.23087722063064575,-0.1301276832818985,0.1312343180179596
in,0.30808621644973755,0.1623581349849701,0.19496823847293854,0.2593238651752472,0.1697147786617279,0.18969708681106567,0.539380669593811,0.1796121448278427,1.0,1.0,-0.18103405833244324,0.20430970191955566
the,0.42745697498321533,0.21599429845809937,0.27187061309814453,0.34736719727516174,0.2068762183189392,0.242343470454216,0.5829201340675354,0.23719215393066406,0.6662389636039734,0.6662389636039734,-0.20524539053440094,0.22068053483963013
early,0.2454567849636078,0.16893444955348969,0.1706339418888092,0.32047218084335327,0.17947594821453094,0.24945995211601257,0.2710886299610138,0.11991608142852783,0.34672921895980835,0.34672921895980835,-0.12641045451164246,0.15272949635982513
1950s,0.2998310923576355,0.16196313500404358,0.21678082644939423,0.3492051362991333,0.16447530686855316,0.21987232565879822,0.34951528906822205,0.19459010660648346,0.26312577724456787,0.26312577724456787,-0.23051631450653076,0.16557677090168
",",0.3087472915649414,0.18483802676200867,0.1932937651872635,0.3015086054801941,0.2097204476594925,0.220005065202713,0.427140474319458,0.18645142018795013,0.5201468467712402,0.5201468467712402,-0.13638553023338318,0.31091248989105225
acquiring,0.22213488817214966,0.12035799026489258,0.22912481427192688,0.19404155015945435,0.11763309687376022,0.43553459644317627,0.21329553425312042,0.2254716008901596,0.22617599368095398,0.22617599368095398,-0.09685283154249191,0.0945771113038063
a,0.3320399522781372,0.24601349234580994,0.17299489676952362,0.2552328109741211,0.21331243216991425,0.24305202066898346,1.0,0.21251177787780762,0.539380669593811,0.539380669593811,-0.06786880642175674,0.23916715383529663
5,0.09269922226667404,0.06111784279346466,0.04141693189740181,0.08429081737995148,0.07165070623159409,0.06743204593658447,0.07282212376594543,0.06424912065267563,0.0862177163362503,0.0862177163362503,-0.015197210013866425,0.06222071498632431
%,0.20738190412521362,0.0895358994603157,0.16346366703510284,0.1450016051530838,0.061222776770591736,0.1369950920343399,0.17798779904842377,0.19591166079044342,0.19465309381484985,0.19465309381484985,-0.1629839688539505,0.21441808342933655
stake,0.18326318264007568,0.1614457666873932,0.18562744557857513,0.19136126339435577,0.10490433126688004,0.3978729248046875,0.21251177787780762,1.0,0.1796121448278427,0.1796121448278427,-0.09201306849718094,0.10940878093242645
in,0.30808621644973755,0.1623581349849701,0.19496823847293854,0.2593238651752472,0.1697147786617279,0.18969708681106567,0.539380669593811,0.1796121448278427,1.0,1.0,-0.18103405833244324,0.20430970191955566
two,0.23363454639911652,0.12889406085014343,0.18832415342330933,0.2755576968193054,0.15247683227062225,0.17430201172828674,0.3289857804775238,0.21763648092746735,0.36463531851768494,0.36463531851768494,-0.07805255055427551,0.19645625352859497
new,0.2130378633737564,0.1699257493019104,0.18174515664577484,0.227974995970726,0.20663127303123474,0.2978917062282562,0.3214259147644043,0.1145709827542305,0.3758552670478821,0.3758552670478821,-0.18830667436122894,0.14782847464084625
domestic,0.11560896784067154,0.08995621651411057,0.22524043917655945,0.23469406366348267,0.24279604852199554,0.16918976604938507,0.21772217750549316,0.1610056310892105,0.208420991897583,0.208420991897583,-0.1745246797800064,0.1850636899471283
networks,0.18279550969600677,0.1380201131105423,0.8756695985794067,0.06869131326675415,0.350273072719574,0.23731249570846558,0.16109517216682434,0.21966511011123657,0.17525765299797058,0.17525765299797058,-0.18067151308059692,0.17815114557743073
",",0.3087472915649414,0.18483802676200867,0.1932937651872635,0.3015086054801941,0.2097204476594925,0.220005065202713,0.427140474319458,0.18645142018795013,0.5201468467712402,0.5201468467712402,-0.13638553023338318,0.31091248989105225
the,0.42745697498321533,0.21599429845809937,0.27187061309814453,0.34736719727516174,0.2068762183189392,0.242343470454216,0.5829201340675354,0.23719215393066406,0.6662389636039734,0.6662389636039734,-0.20524539053440094,0.22068053483963013
mainichi,0.16418123245239258,0.5880541205406189,0.20140931010246277,0.10840748995542526,0.19344809651374817,0.08148349821567535,0.1945997029542923,0.26596173644065857,0.15364183485507965,0.15364183485507965,-0.2000935971736908,0.18409417569637299
broadcasting,0.18499015271663666,0.18751849234104156,0.5597359538078308,0.12097854167222977,0.45669859647750854,0.246571883559227,0.2170335054397583,0.15646332502365112,0.27609771490097046,0.27609771490097046,-0.30799925327301025,0.10870421677827835
system,0.23557309806346893,0.1559186428785324,0.3214803636074066,0.1967303454875946,0.18915626406669617,0.17146077752113342,0.2589043080806732,0.1219867691397667,0.21978288888931274,0.21978288888931274,-0.1949630230665207,0.15556083619594574
in,0.30808621644973755,0.1623581349849701,0.19496823847293854,0.2593238651752472,0.1697147786617279,0.18969708681106567,0.539380669593811,0.1796121448278427,1.0,1.0,-0.18103405833244324,0.20430970191955566
1951,-0.11074689775705338,-0.06725797057151794,-0.21502338349819183,-0.049836352467536926,-0.20744729042053223,-0.1812049150466919,-0.06786880642175674,-0.09201306849718094,-0.18103405833244324,-0.18103405833244324,0.9999998807907104,-0.20064012706279755
and,0.31309178471565247,0.2319587618112564,0.27591994404792786,0.34479495882987976,0.16453155875205994,0.1929796040058136,0.3739250600337982,0.19920819997787476,0.4954058527946472,0.4954058527946472,-0.1108131855726242,0.20544172823429108
nihon,0.1775604486465454,0.47717368602752686,0.19116999208927155,0.13149206340312958,0.20420590043067932,0.133276104927063,0.21774348616600037,0.15686891973018646,0.17474129796028137,0.17474129796028137,-0.15072527527809143,0.17465552687644958
educational,0.2158561795949936,0.15555618703365326,0.2534276843070984,0.18880505859851837,0.14761684834957123,0.20369386672973633,0.25668084621429443,0.15224510431289673,0.29241177439689636,0.29241177439689636,-0.2900247871875763,0.20904642343521118
television,0.19838058948516846,0.16367240250110626,0.4371747076511383,0.17055591940879822,0.46871840953826904,0.1497635841369629,0.22552843391895294,0.1305643767118454,0.2689782977104187,0.2689782977104187,-0.2106453776359558,0.16825827956199646
in,0.30808621644973755,0.1623581349849701,0.19496823847293854,0.2593238651752472,0.1697147786617279,0.18969708681106567,0.539380669593811,0.1796121448278427,1.0,1.0,-0.18103405833244324,0.20430970191955566
1957,-0.006660523824393749,-0.12630347907543182,-0.11650704592466354,-0.11595331132411957,-0.1557149738073349,-0.10125479847192764,-0.12808078527450562,-0.090884268283844,-0.044204503297805786,-0.044204503297805786,0.14318440854549408,-0.11977791041135788
.,0.3567904531955719,0.22132645547389984,0.23909442126750946,0.35288307070732117,0.2567209303379059,0.21300923824310303,0.50484299659729,0.2023586928844452,0.5591574311256409,0.5591574311256409,-0.2380293607711792,0.4130953550338745
