,what,motor,did,they,end,up,using,instead,of,the,one,tesla,wanted,?
they,0.4431931674480438,0.22297775745391846,0.4879390597343445,0.9999999403953552,0.309691846370697,0.32603394985198975,0.31864410638809204,0.3707234859466553,0.3426007330417633,0.49925389885902405,0.4178827106952667,0.1470530778169632,0.4049070477485657,0.2753053903579712
ended,0.1532270610332489,0.07630212604999542,0.33372020721435547,0.2637524902820587,0.4509032666683197,0.2923337519168854,0.17035071551799774,0.20757779479026794,0.27636510133743286,0.3356485068798065,0.21130260825157166,0.10069108009338379,0.34629184007644653,0.15429291129112244
up,0.28591108322143555,0.1569746434688568,0.21613863110542297,0.32603394985198975,0.25421378016471863,1.0000001192092896,0.26740503311157227,0.36806681752204895,0.32945773005485535,0.38423117995262146,0.30488982796669006,0.17339079082012177,0.2677275538444519,0.1819818764925003
using,0.27984681725502014,0.15709397196769714,0.25429773330688477,0.31864410638809204,0.19449710845947266,0.26740503311157227,1.0,0.5064479112625122,0.24298200011253357,0.28364112973213196,0.28867876529693604,0.24952489137649536,0.2596791386604309,0.2804589569568634
a,0.3320399522781372,0.23198452591896057,0.2552328109741211,0.3528250455856323,0.28924596309661865,0.32523053884506226,0.32226553559303284,0.3737732470035553,0.5052502155303955,0.5829201340675354,0.4910551905632019,0.2211925983428955,0.25702154636383057,0.23916715383529663
dc,0.1052524521946907,0.2105286568403244,0.04767092317342758,0.15810003876686096,0.09522558748722076,0.13836978375911713,0.1220988780260086,0.13853448629379272,0.16339635848999023,0.2332114279270172,0.15942895412445068,0.2117893099784851,0.11580324172973633,0.17813897132873535
traction,0.22468623518943787,0.5161219239234924,0.06943720579147339,0.18254251778125763,0.17198601365089417,0.19926908612251282,0.27338871359825134,0.2070147544145584,0.20298659801483154,0.2531668245792389,0.2578487694263458,0.29506635665893555,0.13420265913009644,0.14741027355194092
motor,0.18952611088752747,0.9999999403953552,0.13840025663375854,0.22297775745391846,0.1589301973581314,0.1569746434688568,0.15709397196769714,0.20666958391666412,0.20839329063892365,0.26024484634399414,0.2681330740451813,0.3617369830608368,0.10818738490343094,0.0637441948056221
instead,0.4104403555393219,0.20666958391666412,0.34208473563194275,0.3707234859466553,0.3063740134239197,0.36806681752204895,0.5064479112625122,0.9999998807907104,0.31208282709121704,0.3940567970275879,0.3538399934768677,0.16731514036655426,0.3481072187423706,0.2942638397216797
.,0.3567904531955719,0.19128412008285522,0.35288307070732117,0.4510921239852905,0.26526886224746704,0.351434588432312,0.3629456162452698,0.3707379400730133,0.5352458953857422,0.5934505462646484,0.4123194217681885,0.17949827015399933,0.30680814385414124,0.4130953550338745
