,what,was,the,base,rate,for,a,30-second,ad,during,super,bowl,50,?
cbs,0.1950361132621765,0.26256829500198364,0.2283918708562851,0.13019303977489471,0.10750726610422134,0.20941372215747833,0.16314536333084106,0.15424497425556183,0.07904361933469772,0.25509363412857056,0.23111854493618011,0.2528696060180664,-0.030295440927147865,0.14594407379627228
set,0.28954121470451355,0.22985222935676575,0.2927955985069275,0.20450948178768158,0.19408012926578522,0.30194196105003357,0.2540091574192047,0.2050088346004486,0.09358508884906769,0.1877487152814865,0.1139470711350441,0.16605548560619354,0.04030413553118706,0.1698019951581955
the,0.42745697498321533,0.48711544275283813,1.0,0.2870652377605438,0.24881242215633392,0.4739971458911896,0.5829201340675354,0.3721327483654022,0.24233382940292358,0.4838213622570038,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
base,0.1336955726146698,0.17853876948356628,0.2870652377605438,1.0000001192092896,0.19042198359966278,0.15657725930213928,0.27513372898101807,0.23429284989833832,0.11268787086009979,0.20333656668663025,0.10701395571231842,0.14966657757759094,0.03647720068693161,0.10518061369657516
rate,0.21845893561840057,0.16712123155593872,0.24881242215633392,0.19042198359966278,1.0000001192092896,0.2299952208995819,0.24373900890350342,0.3067382276058197,0.09713046997785568,0.20080311596393585,0.08693669736385345,0.09125302731990814,-0.06920462846755981,0.1308269053697586
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.15657725930213928,0.2299952208995819,0.9999999403953552,0.44038116931915283,0.20732535421848297,0.09682639688253403,0.3448435664176941,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.264628142118454
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.27513372898101807,0.24373900890350342,0.44038116931915283,1.0,0.3324473798274994,0.1853104531764984,0.30341604351997375,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
30-second,0.2115969955921173,0.27058619260787964,0.3721327483654022,0.23429284989833832,0.3067382276058197,0.20732535421848297,0.3324473798274994,0.9999998807907104,0.1701144427061081,0.32848256826400757,0.2004479467868805,0.19167320430278778,0.033071182668209076,0.18454498052597046
advertisement,0.24429576098918915,0.23976172506809235,0.19069752097129822,0.10745672881603241,0.14863601326942444,0.271327406167984,0.22613872587680817,0.06229706481099129,0.2347540557384491,0.16220946609973907,0.05764436721801758,0.11824924498796463,0.07712281495332718,0.2126694768667221
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.24813878536224365,0.1911962926387787,0.34237727522850037,0.3095070421695709,0.25651147961616516,0.14298133552074432,0.372769296169281,0.11449114978313446,0.2709662914276123,-0.018447641283273697,0.21978627145290375
