,what,was,the,most,important,of,these,cities,or,towns,?
montpellier,0.1289864331483841,0.23643483221530914,0.2149735391139984,0.1941484659910202,0.1841672658920288,0.2697657346725464,0.12945741415023804,0.272450715303421,0.13529182970523834,0.24732322990894318,0.1785120815038681
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.29933857917785645,0.24924467504024506,0.4069072902202606,0.19784674048423767,0.17598430812358856,0.2330796718597412,0.1514456570148468,0.18412111699581146
among,0.21154822409152985,0.23730893433094025,0.3507058024406433,0.5484373569488525,0.335338830947876,0.3679063022136688,0.4079827070236206,0.16183863580226898,0.21097923815250397,0.1465829610824585,0.14343059062957764
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.39348116517066956,0.733189046382904,0.49086877703666687,0.2621172070503235,0.4174870550632477,0.2010425627231598,0.22068053483963013
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,1.0,0.5079463124275208,0.4178851246833801,0.4825916290283203,0.20601113140583038,0.30746427178382874,0.16025514900684357,0.2107497900724411
important,0.31164905428886414,0.24924467504024506,0.39348116517066956,0.5079463124275208,1.0000001192092896,0.43301743268966675,0.3669404983520508,0.26840832829475403,0.28368809819221497,0.21654559671878815,0.17812499403953552
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.4178851246833801,0.43301743268966675,1.0,0.42684608697891235,0.29528072476387024,0.3792596757411957,0.23338152468204498,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.39348116517066956,0.733189046382904,0.49086877703666687,0.2621172070503235,0.4174870550632477,0.2010425627231598,0.22068053483963013
66,-0.03193807974457741,0.03211304172873497,-0.01815365068614483,-0.08121274411678314,-0.009436288848519325,-0.032907720655202866,-0.08953642845153809,-0.06918574869632721,0.013962334021925926,-0.07850799709558487,-0.056611161679029465
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.08567854017019272,0.12753228843212128,0.06780257821083069,0.09766163676977158,0.09435596317052841,0.1197475790977478,0.023425841704010963,0.0685480609536171
villes,0.13604572415351868,0.16565190255641937,0.24378617107868195,0.172877237200737,0.12536664307117462,0.2435668259859085,0.11914514005184174,0.19070102274417877,0.16291944682598114,0.2646913230419159,0.13956718146800995
de,0.10476839542388916,0.20575080811977386,0.23491892218589783,0.16639204323291779,0.20412138104438782,0.26292696595191956,0.1554538607597351,0.18129149079322815,0.11654701083898544,0.14771907031536102,0.11064168810844421
sûreté,0.21505147218704224,0.2233753800392151,0.33334699273109436,0.18983741104602814,0.22119517624378204,0.3147788941860199,0.17202720046043396,0.23927295207977295,0.21150411665439606,0.2609806954860687,0.22893624007701874
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.01990530639886856,0.03843875601887703,0.13035868108272552,-0.010087166912853718,0.03800934553146362,0.04548122361302376,0.05620598420500755,0.018684765323996544
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.4497850239276886,0.3865286409854889,0.41498205065727234,0.5512621402740479,0.1994047611951828,0.4729836881160736,0.1573193222284317,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.39348116517066956,0.733189046382904,0.49086877703666687,0.2621172070503235,0.4174870550632477,0.2010425627231598,0.22068053483963013
edict,0.16707053780555725,0.20409467816352844,0.17931364476680756,0.12412748485803604,0.18348050117492676,0.2533416450023651,0.22081203758716583,0.14543668925762177,0.1321544349193573,0.1330837905406952,0.16218337416648865
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.4178851246833801,0.43301743268966675,1.0,0.42684608697891235,0.29528072476387024,0.3792596757411957,0.23338152468204498,0.1826142966747284
1598,0.05155991390347481,-0.08546065539121628,-0.0076618134044110775,-0.05628927797079086,0.005632612854242325,-0.04988880455493927,0.01963239535689354,0.01063748449087143,-0.11509285122156143,-0.0290073212236166,-0.002321802545338869
granted,0.2214755117893219,0.213484525680542,0.27588096261024475,0.1649029701948166,0.19446246325969696,0.32803481817245483,0.19007256627082825,0.14165900647640228,0.1760862022638321,0.1475168913602829,0.22870221734046936
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.321603000164032,0.30913278460502625,0.41548454761505127,0.46852558851242065,0.20735321938991547,0.38921234011650085,0.19498857855796814,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.39348116517066956,0.733189046382904,0.49086877703666687,0.2621172070503235,0.4174870550632477,0.2010425627231598,0.22068053483963013
huguenots,0.22128188610076904,0.20650696754455566,0.30745792388916016,0.22474531829357147,0.23048819601535797,0.27577435970306396,0.22603455185890198,0.21641027927398682,0.17725598812103271,0.2490314096212387,0.16010338068008423
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.35404038429260254,0.33938494324684143,0.5352458953857422,0.3840779960155487,0.2525215446949005,0.36683785915374756,0.22038580477237701,0.4130953550338745
