,what,happens,as,they,build,phase,1,?
as,0.31749409437179565,0.1480354368686676,1.0,0.3294360637664795,0.20841920375823975,0.1532440483570099,-0.2728762626647949,0.27043893933296204
they,0.4431931674480438,0.34161168336868286,0.3294360637664795,0.9999999403953552,0.3379060626029968,0.218428835272789,-0.2891935706138611,0.2753053903579712
build,0.27055490016937256,0.21985580027103424,0.20841920375823975,0.3379060626029968,1.0000001192092896,0.16114415228366852,-0.13632410764694214,0.1704305112361908
phase,0.19029277563095093,0.3482930064201355,0.1532440483570099,0.218428835272789,0.16114415228366852,0.9999999403953552,-0.0813247412443161,0.16345681250095367
1,-0.21266892552375793,-0.12054304778575897,-0.2728762626647949,-0.2891935706138611,-0.13632410764694214,-0.0813247412443161,1.0,-0.249979168176651
",",0.3087472915649414,0.24968470633029938,0.48816442489624023,0.390799880027771,0.22204548120498657,0.17857486009597778,-0.15742997825145721,0.31091248989105225
they,0.4431931674480438,0.34161168336868286,0.3294360637664795,0.9999999403953552,0.3379060626029968,0.218428835272789,-0.2891935706138611,0.2753053903579712
design,0.23893405497074127,0.10426266491413116,0.21253643929958344,0.1842712014913559,0.384398490190506,0.26725661754608154,-0.16613568365573883,0.16351860761642456
phase,0.19029277563095093,0.3482930064201355,0.1532440483570099,0.218428835272789,0.16114415228366852,0.9999999403953552,-0.0813247412443161,0.16345681250095367
2,-0.049862053245306015,0.04534774646162987,-0.038299113512039185,0.01863093115389347,-0.01655011810362339,-0.015739215537905693,-0.021329615265130997,0.001977203879505396
.,0.3567904531955719,0.24076157808303833,0.515582263469696,0.4510921239852905,0.275961309671402,0.2420554906129837,-0.15870751440525055,0.4130953550338745
