,what,kind,of,non-peer-reviewed,sources,does,the,ipcc,use,?
examples,0.26665759086608887,0.4382164180278778,0.3054686188697815,0.21943338215351105,0.3124278485774994,0.2701253294944763,0.30092597007751465,0.17101794481277466,0.45239242911338806,0.19976599514484406
of,0.33290785551071167,0.2285657674074173,1.0,0.2681049108505249,0.20696839690208435,0.3119818866252899,0.733189046382904,0.20174051821231842,0.2750902473926544,0.1826142966747284
non-peer-reviewed,0.3576415479183197,0.24161174893379211,0.2681049108505249,1.0,0.3224707841873169,0.292656272649765,0.2946554720401764,0.38160762190818787,0.2906217873096466,0.3732050359249115
sources,0.30212491750717163,0.19640561938285828,0.20696839690208435,0.3224707841873169,1.0,0.34373077750205994,0.27209216356277466,0.24691316485404968,0.3237664997577667,0.2886999845504761
include,0.1535889357328415,0.21321992576122284,0.37431180477142334,0.20333756506443024,0.2646677792072296,0.26005542278289795,0.2951717972755432,0.15484826266765594,0.3698820471763611,0.14925788342952728
model,0.2303347885608673,0.1839843988418579,0.18271391093730927,0.18113286793231964,0.11257512867450714,0.13149160146713257,0.14028635621070862,0.13294674456119537,0.1971619427204132,0.14843042194843292
results,0.2425258755683899,0.2075795978307724,0.19509612023830414,0.27681246399879456,0.3109559118747711,0.2552628517150879,0.2863679826259613,0.3232816159725189,0.24425038695335388,0.21797199547290802
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3443039059638977,0.3490506112575531,0.28617382049560547,0.4933079481124878,0.15590040385723114,0.3276674151420593,0.31091248989105225
reports,0.24207861721515656,0.15808773040771484,0.27564457058906555,0.4237108528614044,0.31778407096862793,0.2453697919845581,0.2622474431991577,0.375255823135376,0.1995117962360382,0.23746368288993835
from,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.22958256304264069,0.27031445503234863,0.1777622550725937,0.40150508284568787,0.1346227526664734,0.28012022376060486,0.19969791173934937
government,0.28074538707733154,0.15064316987991333,0.3475167155265808,0.18679995834827423,0.18195340037345886,0.19420266151428223,0.31798112392425537,0.3235599100589752,0.15486153960227966,0.18851417303085327
agencies,0.2035544514656067,0.14311441779136658,0.22542637586593628,0.24167823791503906,0.2554992139339447,0.21558460593223572,0.2486087828874588,0.3596106469631195,0.2785426378250122,0.1637895703315735
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.27208155393600464,0.27464351058006287,0.3461615741252899,0.5171257257461548,0.20790739357471466,0.34145063161849976,0.20544172823429108
non-governmental,0.22915460169315338,0.1749790608882904,0.35376518964767456,0.32043585181236267,0.2347079962491989,0.2262539565563202,0.28830572962760925,0.4649985134601593,0.19895978271961212,0.2302026003599167
organizations,0.20689024031162262,0.20891371369361877,0.24586479365825653,0.2914426624774933,0.25924989581108093,0.2258414626121521,0.2850687503814697,0.38331589102745056,0.3084767460823059,0.22215601801872253
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3443039059638977,0.3490506112575531,0.28617382049560547,0.4933079481124878,0.15590040385723114,0.3276674151420593,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.27208155393600464,0.27464351058006287,0.3461615741252899,0.5171257257461548,0.20790739357471466,0.34145063161849976,0.20544172823429108
industry,0.1966298520565033,0.20629584789276123,0.27385562658309937,0.22252532839775085,0.18834877014160156,0.15035809576511383,0.26942890882492065,0.2659556269645691,0.24148112535476685,0.11813290417194366
journals,0.2234715223312378,0.18081530928611755,0.21072106063365936,0.5263164639472961,0.3770729601383209,0.16949710249900818,0.20841990411281586,0.4005918502807617,0.2608388066291809,0.15727466344833374
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.3489059805870056,0.25805729627609253,0.3022993505001068,0.5934505462646484,0.20098818838596344,0.3711656630039215,0.4130953550338745
