,who,designed,the,ceiling,and,stained-glass,windows,of,the,green,dining,room,?
the,0.3733934462070465,0.2559613883495331,1.0,0.2377617210149765,0.5171257257461548,0.2221859246492386,0.23561708629131317,0.733189046382904,1.0,0.24099771678447723,0.311797171831131,0.2031363844871521,0.22068053483963013
lower,0.13005778193473816,0.08735883980989456,0.3463275134563446,0.18680213391780853,0.2802542746067047,0.16957752406597137,0.1346636414527893,0.31757521629333496,0.3463275134563446,0.15035635232925415,0.17958740890026093,0.1253606230020523,0.08471795171499252
part,0.19576206803321838,0.1781352460384369,0.527681291103363,0.11488836258649826,0.35301485657691956,0.1841779500246048,0.20191562175750732,0.452393114566803,0.527681291103363,0.1648084670305252,0.21500654518604279,0.13130784034729004,0.08557961881160736
of,0.2827862501144409,0.2000347077846527,0.733189046382904,0.204580157995224,0.5116966962814331,0.27063554525375366,0.1744781881570816,1.0,0.733189046382904,0.2225196659564972,0.3001015782356262,0.15195634961128235,0.1826142966747284
the,0.3733934462070465,0.2559613883495331,1.0,0.2377617210149765,0.5171257257461548,0.2221859246492386,0.23561708629131317,0.733189046382904,1.0,0.24099771678447723,0.311797171831131,0.2031363844871521,0.22068053483963013
walls,0.16167975962162018,0.31007933616638184,0.28179097175598145,0.4802159368991852,0.2946126461029053,0.4399382472038269,0.38272538781166077,0.2193661332130432,0.28179097175598145,0.1685025990009308,0.2913723886013031,0.310928612947464,0.06935364007949829
are,0.27294138073921204,0.14064814150333405,0.40399202704429626,0.1527526080608368,0.48576638102531433,0.21153198182582855,0.2299220710992813,0.39081433415412903,0.40399202704429626,0.21746626496315002,0.2490551769733429,0.16457562148571014,0.24591213464736938
panelled,0.23010039329528809,0.2698078751564026,0.2834922671318054,0.3569626808166504,0.27257126569747925,0.429459810256958,0.2943798303604126,0.27912211418151855,0.2834922671318054,0.19768507778644562,0.25476136803627014,0.3283372223377228,0.15260951220989227
in,0.2792111933231354,0.22657902538776398,0.6662389636039734,0.15928784012794495,0.4954058527946472,0.2689419090747833,0.17973342537879944,0.5696388483047485,0.6662389636039734,0.22731968760490417,0.34148383140563965,0.19083113968372345,0.20430970191955566
wood,0.14688429236412048,0.19662116467952728,0.23035094141960144,0.26698100566864014,0.26718437671661377,0.4221011996269226,0.17217478156089783,0.22215111553668976,0.23035094141960144,0.2369079738855362,0.21225988864898682,0.17632126808166504,0.1346656233072281
with,0.3282766342163086,0.21504513919353485,0.4223487675189972,0.16200271248817444,0.5477725267410278,0.2892751693725586,0.21966445446014404,0.41827285289764404,0.4223487675189972,0.2126576453447342,0.22138027846813202,0.27120691537857056,0.2433311939239502
a,0.36608949303627014,0.28430381417274475,0.5829201340675354,0.19550186395645142,0.3739250600337982,0.32994624972343445,0.2394280582666397,0.5052502155303955,0.5829201340675354,0.2557748556137085,0.3314429521560669,0.2718060314655304,0.23916715383529663
band,0.2104743868112564,0.12541340291500092,0.25564542412757874,0.1971243917942047,0.2830182611942291,0.2521597445011139,0.14062152802944183,0.2142038196325302,0.25564542412757874,0.18011777102947235,0.16470405459403992,0.1798238605260849,0.1476995348930359
of,0.2827862501144409,0.2000347077846527,0.733189046382904,0.204580157995224,0.5116966962814331,0.27063554525375366,0.1744781881570816,1.0,0.733189046382904,0.2225196659564972,0.3001015782356262,0.15195634961128235,0.1826142966747284
