,who,invented,the,notion,of,a,steam,engine,'s,duty,?
the,0.3733934462070465,0.16009420156478882,1.0,0.23529204726219177,0.733189046382904,0.5829201340675354,0.23105813562870026,0.21651263535022736,-0.01540423184633255,0.18581759929656982,0.22068053483963013
concept,0.2084418535232544,0.2942052483558655,0.2355310022830963,0.5260664820671082,0.24082158505916595,0.29586365818977356,0.19980090856552124,0.284030020236969,0.011523659341037273,0.22168724238872528,0.17160645127296448
of,0.2827862501144409,0.18887928128242493,0.733189046382904,0.23985852301120758,1.0,0.5052502155303955,0.20239725708961487,0.17095594108104706,-0.03817026689648628,0.19598819315433502,0.1826142966747284
duty,0.20958000421524048,0.04716996103525162,0.18581759929656982,0.2341199666261673,0.19598819315433502,0.19311612844467163,0.27534788846969604,0.1556289941072464,0.002628088928759098,1.0000001192092896,0.20404963195323944
was,0.3318818509578705,0.2900676131248474,0.48711544275283813,0.19112789630889893,0.4069072902202606,0.4508470594882965,0.16913670301437378,0.205611914396286,0.008974763564765453,0.21336720883846283,0.18412111699581146
first,0.39065709710121155,0.3352304697036743,0.49448907375335693,0.15292589366436005,0.3536086082458496,0.4287874400615692,0.2210129350423813,0.16088122129440308,-0.014458609744906425,0.183571457862854,0.18701928853988647
introduced,0.18349657952785492,0.42407530546188354,0.242969810962677,0.19419699907302856,0.23328952491283417,0.2573881149291992,0.2068471610546112,0.1675797700881958,-0.07158663123846054,0.11084610223770142,0.16386865079402924
by,0.39727845788002014,0.24488699436187744,0.4408751428127289,0.1956072747707367,0.3646814823150635,0.32094135880470276,0.18134352564811707,0.1870088279247284,-0.010884488001465797,0.11360828578472137,0.17966607213020325
watt,0.22992701828479767,0.2815059423446655,0.1903349757194519,0.17062576115131378,0.21599632501602173,0.21096299588680267,0.3759114742279053,0.31998884677886963,-0.022533712908625603,0.12552262842655182,0.16354146599769592
in,0.2792111933231354,0.21565213799476624,0.6662389636039734,0.1522059291601181,0.5696388483047485,0.539380669593811,0.19852672517299652,0.18885408341884613,-0.037580832839012146,0.19133710861206055,0.20430970191955566
order,0.226639986038208,0.06062989681959152,0.3284194767475128,0.20853407680988312,0.31287699937820435,0.24138490855693817,0.10996346920728683,0.10333733260631561,-0.07080218195915222,0.18591997027397156,0.13725648820400238
to,0.42656609416007996,0.16078732907772064,0.535392165184021,0.2296772450208664,0.41548454761505127,0.45503583550453186,0.22894427180290222,0.20794793963432312,0.03782717138528824,0.2394949495792389,0.29463258385658264
illustrate,0.13440842926502228,0.1945521980524063,0.21009832620620728,0.26860105991363525,0.2001553624868393,0.2039460837841034,0.13281609117984772,0.15915100276470184,-0.008048128336668015,0.10514713078737259,0.19764339923858643
how,0.4070430099964142,0.2116408497095108,0.33890387415885925,0.2749984860420227,0.2480744868516922,0.29312583804130554,0.13796336948871613,0.15099172294139862,-0.026164190843701363,0.17767222225666046,0.4024120569229126
much,0.2998695373535156,0.22614465653896332,0.35023224353790283,0.21599504351615906,0.2671096920967102,0.2958075702190399,0.24167369306087494,0.21749742329120636,0.06731651723384857,0.21804466843605042,0.23442231118679047
more,0.31567877531051636,0.13503225147724152,0.39758381247520447,0.20838554203510284,0.30478984117507935,0.3452818691730499,0.18688981235027313,0.19883699715137482,0.032942235469818115,0.12608300149440765,0.27894994616508484
efficient,0.12639330327510834,0.2632220983505249,0.22032952308654785,0.3165380656719208,0.22586165368556976,0.19768685102462769,0.3283361792564392,0.4190082848072052,0.08796707540750504,0.1784818470478058,0.18034493923187256
his,0.44966956973075867,0.2044477015733719,0.4394008219242096,0.24086333811283112,0.38364991545677185,0.3497250974178314,0.13870766758918762,0.16806639730930328,0.047556519508361816,0.2527073323726654,0.18075084686279297
engines,0.15887244045734406,0.2091362625360489,0.2245008647441864,0.10457942634820938,0.17593856155872345,0.20574161410331726,0.4903687536716461,0.8767010569572449,0.070243701338768,0.12875686585903168,0.18940703570842743
were,0.3188014328479767,0.21718862652778625,0.3906462490558624,0.12239713966846466,0.34038281440734863,0.17203083634376526,0.20219570398330688,0.164800226688385,0.007088581565767527,0.15432745218276978,0.17890112102031708
over,0.316001296043396,0.1431138515472412,0.39856547117233276,0.16189852356910706,0.36136594414711,0.32199642062187195,0.1711352914571762,0.2012779414653778,0.016215575858950615,0.13982298970222473,0.25742942094802856
the,0.3733934462070465,0.16009420156478882,1.0,0.23529204726219177,0.733189046382904,0.5829201340675354,0.23105813562870026,0.21651263535022736,-0.01540423184633255,0.18581759929656982,0.22068053483963013
earlier,0.23053643107414246,0.2702859938144684,0.26843780279159546,0.22156867384910583,0.27635854482650757,0.19610044360160828,0.1435818374156952,0.13255417346954346,0.04531743377447128,0.0746130421757698,0.13306351006031036
newcomen,0.2487904280424118,0.11877968162298203,0.2645798325538635,0.17492935061454773,0.20999403297901154,0.24331505596637726,0.3589044511318207,0.3742743134498596,0.02899864688515663,0.1652112454175949,0.2543369233608246
designs,0.1905442327260971,0.3767847716808319,0.2415979504585266,0.21765606105327606,0.2253444343805313,0.22853662073612213,0.3034062087535858,0.393808513879776,0.024634940549731255,0.14672434329986572,0.12927207350730896
.,0.3541337847709656,0.2224365919828415,0.5934505462646484,0.18386082351207733,0.5352458953857422,0.50484299659729,0.22855372726917267,0.21814921498298645,-0.003708066651597619,0.20822225511074066,0.4130953550338745
