,how,many,days,after,gagarin,'s,flight,did,the,us,house,committee,on,science,and,astronautics,meet,?
at,0.2154216170310974,0.2716965675354004,0.2978195548057556,0.3622083067893982,0.1869831681251526,-0.08481216430664062,0.18934161961078644,0.28390252590179443,0.457212895154953,0.2341633439064026,0.23401996493339539,0.21561488509178162,0.4806317389011383,0.16367051005363464,0.3571503460407257,0.23668986558914185,0.2383149415254593,0.21978627145290375
a,0.29312583804130554,0.2872205972671509,0.24421119689941406,0.3831600844860077,0.2911933660507202,0.04866964742541313,0.23704352974891663,0.2552328109741211,0.5829201340675354,0.1862444281578064,0.26758551597595215,0.1903151571750641,0.3848365545272827,0.2378881424665451,0.3739250600337982,0.17500989139080048,0.14505931735038757,0.23916715383529663
meeting,0.19107800722122192,0.23824088275432587,0.20525161921977997,0.2505687475204468,0.19428770244121552,0.013799736276268959,0.17614929378032684,0.18026037514209747,0.3390691578388214,0.11894510686397552,0.29808712005615234,0.39660415053367615,0.24979759752750397,0.18858520686626434,0.23922012746334076,0.21079303324222565,0.5591189861297607,0.1329771876335144
of,0.2480744868516922,0.37253960967063904,0.23668107390403748,0.3867455720901489,0.1473093032836914,-0.03817026689648628,0.2070007622241974,0.2513895630836487,0.733189046382904,0.23568789660930634,0.285114049911499,0.2920650243759155,0.3966929316520691,0.2616958022117615,0.5116966962814331,0.2667027711868286,0.25706547498703003,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.4565047025680542,0.2381294071674347,-0.01540423184633255,0.2498224973678589,0.34736719727516174,1.0,0.25727739930152893,0.2847244441509247,0.24322165548801422,0.5107308030128479,0.24037593603134155,0.5171257257461548,0.2517905831336975,0.312436044216156,0.22068053483963013
us,0.2815901041030884,0.2307271808385849,0.1743582785129547,0.11897643655538559,0.15721730887889862,0.032960113137960434,0.16908402740955353,0.23250600695610046,0.25727739930152893,1.0000001192092896,0.1771046668291092,0.16380718350410461,0.2646999955177307,0.17519712448120117,0.25715014338493347,0.21843302249908447,0.19364576041698456,0.2742428481578827
house,0.19348092377185822,0.1727023720741272,0.18813970685005188,0.2090306431055069,0.13244010508060455,0.0011872146278619766,0.1483289897441864,0.19979237020015717,0.2847244441509247,0.1771046668291092,0.9999998807907104,0.28268516063690186,0.19286204874515533,0.11673623323440552,0.2552875876426697,0.14951379597187042,0.23240545392036438,0.13736455142498016
committee,0.14701566100120544,0.1689344346523285,0.10346709191799164,0.1762482076883316,0.1483285278081894,0.04900093004107475,0.14786812663078308,0.19008150696754456,0.24322165548801422,0.16380718350410461,0.28268516063690186,1.0,0.20945778489112854,0.2013024091720581,0.22311176359653473,0.23791846632957458,0.19072340428829193,0.12144632637500763
on,0.32655060291290283,0.32520127296447754,0.3459240794181824,0.39330315589904785,0.22456437349319458,0.0026888418942689896,0.23161520063877106,0.2670976221561432,0.5107308030128479,0.2646999955177307,0.19286204874515533,0.20945778489112854,0.9999999403953552,0.2139003723859787,0.4077630043029785,0.21078398823738098,0.23745818436145782,0.2714994251728058
science,0.23506508767604828,0.2819631099700928,0.13460062444210052,0.10766847431659698,0.1527918130159378,0.03909866884350777,0.12540031969547272,0.14819081127643585,0.24037593603134155,0.17519712448120117,0.11673623323440552,0.2013024091720581,0.2139003723859787,1.0,0.2865735590457916,0.5323606133460999,0.12468019872903824,0.17974960803985596
and,0.33647966384887695,0.5296266674995422,0.2561761140823364,0.3765919506549835,0.1630551815032959,0.06895173341035843,0.1828005611896515,0.34479495882987976,0.5171257257461548,0.25715014338493347,0.2552875876426697,0.22311176359653473,0.4077630043029785,0.2865735590457916,1.0,0.24066121876239777,0.31950852274894714,0.20544172823429108
astronautics,0.21331296861171722,0.18590910732746124,0.22174091637134552,0.20597171783447266,0.3678323030471802,-0.07588211447000504,0.3478023409843445,0.19196189939975739,0.2517905831336975,0.21843302249908447,0.14951379597187042,0.23791846632957458,0.21078398823738098,0.5323606133460999,0.24066121876239777,0.9999999403953552,0.15923412144184113,0.1542297899723053
one,0.3213292360305786,0.4223630726337433,0.27712950110435486,0.3593756854534149,0.21694086492061615,0.06913424283266068,0.18288713693618774,0.27659472823143005,0.5514441132545471,0.24666564166545868,0.15259309113025665,0.13989375531673431,0.3601475656032562,0.19862592220306396,0.42438167333602905,0.22546064853668213,0.22355885803699493,0.2673267424106598
day,0.20268619060516357,0.1936323195695877,0.4610811173915863,0.28449514508247375,0.17478346824645996,0.03448042273521423,0.19979526102542877,0.20275387167930603,0.3062323033809662,0.21432402729988098,0.20352768898010254,0.24682395160198212,0.3332281708717346,0.19553200900554657,0.26673999428749084,0.172230064868927,0.16067661345005035,0.2141837179660797
after,0.23871733248233795,0.2586410939693451,0.5160173177719116,1.0,0.30878835916519165,-0.055672239512205124,0.190263569355011,0.30330467224121094,0.4565047025680542,0.11897643655538559,0.2090306431055069,0.1762482076883316,0.39330315589904785,0.10766847431659698,0.3765919506549835,0.20597171783447266,0.1901652216911316,0.16608688235282898
gagarin,0.19489502906799316,0.18516641855239868,0.21790140867233276,0.30878835916519165,1.0000001192092896,0.06988129019737244,0.35454991459846497,0.18198120594024658,0.2381294071674347,0.15721730887889862,0.13244010508060455,0.1483285278081894,0.22456437349319458,0.1527918130159378,0.1630551815032959,0.3678323030471802,0.10122876614332199,0.13204334676265717
's,-0.026164190843701363,0.01698932610452175,0.08848981559276581,-0.055672239512205124,0.06988129019737244,0.9999999403953552,-0.034391406923532486,0.05069678649306297,-0.01540423184633255,0.032960113137960434,0.0011872146278619766,0.04900093004107475,0.0026888418942689896,0.03909866884350777,0.06895173341035843,-0.07588211447000504,-0.05353774130344391,-0.023395681753754616
