,how,do,the,yes/no,answers,of,a,complement,problem,of,np,appear,?
problems,0.37939780950546265,0.3000752329826355,0.2659202516078949,0.3519141972064972,0.3406413495540619,0.2450421154499054,0.21523453295230865,0.26524385809898376,0.7913808822631836,0.2450421154499054,0.3503378927707672,0.20896996557712555,0.2638136148452759
with,0.3525622487068176,0.23744353652000427,0.4223487675189972,0.2917710840702057,0.1946248710155487,0.41827285289764404,0.3783375024795532,0.32676559686660767,0.2717578709125519,0.41827285289764404,0.14353476464748383,0.2717391550540924,0.2433311939239502
the,0.33890387415885925,0.30239659547805786,1.0,0.33597034215927124,0.21366693079471588,0.733189046382904,0.5829201340675354,0.3089122176170349,0.24928659200668335,0.733189046382904,0.14565430581569672,0.3581200838088989,0.22068053483963013
yes/no,0.41832324862480164,0.4647853970527649,0.33597034215927124,1.0,0.5065827369689941,0.25321921706199646,0.37235307693481445,0.30978506803512573,0.49430206418037415,0.25321921706199646,0.4130152761936188,0.3654649555683136,0.4891211986541748
answers,0.3683148920536041,0.30568838119506836,0.21366693079471588,0.5065827369689941,1.0,0.15953181684017181,0.21281369030475616,0.13578084111213684,0.3897014558315277,0.15953181684017181,0.38055816292762756,0.2336432933807373,0.373399019241333
reversed,0.2530248761177063,0.24410974979400635,0.37755653262138367,0.27026328444480896,0.237588569521904,0.30889663100242615,0.2862294316291809,0.30679425597190857,0.19813892245292664,0.30889663100242615,0.18723642826080322,0.2613200545310974,0.17802467942237854
),0.17939934134483337,0.24460165202617645,0.3456730246543884,0.32444292306900024,0.2199651300907135,0.3680361211299896,0.3640355169773102,0.20051060616970062,0.20261481404304504,0.3680361211299896,0.12755736708641052,0.17772293090820312,0.42300865054130554
of,0.2480744868516922,0.26150479912757874,0.733189046382904,0.25321921706199646,0.15953181684017181,1.0,0.5052502155303955,0.30478957295417786,0.20464475452899933,1.0,0.13667912781238556,0.2246912121772766,0.1826142966747284
np,0.2537859082221985,0.21996250748634338,0.14565430581569672,0.4130152761936188,0.38055816292762756,0.13667912781238556,0.19096361100673676,0.2791961133480072,0.4497864544391632,0.13667912781238556,1.0,0.08708664774894714,0.25319206714630127
problems,0.37939780950546265,0.3000752329826355,0.2659202516078949,0.3519141972064972,0.3406413495540619,0.2450421154499054,0.21523453295230865,0.26524385809898376,0.7913808822631836,0.2450421154499054,0.3503378927707672,0.20896996557712555,0.2638136148452759
.,0.3287222981452942,0.3613996207714081,0.5934505462646484,0.3498983681201935,0.3089219927787781,0.5352458953857422,0.50484299659729,0.2869558036327362,0.22562150657176971,0.5352458953857422,0.26927393674850464,0.2815418541431427,0.4130953550338745
