,which,study,showed,double,the,rate,of,anxiety,?
a,0.56894451379776,0.2268155962228775,0.2502788305282593,0.2448195219039917,0.5829201340675354,0.24373900890350342,0.5052502155303955,0.2093934863805771,0.23916715383529663
2012,0.37707939743995667,0.17026697099208832,0.1455121487379074,0.149654358625412,0.46885523200035095,0.16102345287799835,0.4422316551208496,0.12934018671512604,0.18042556941509247
study,0.29003599286079407,1.0,0.3757478892803192,0.09148380160331726,0.2533665597438812,0.2161191999912262,0.29377859830856323,0.21203714609146118,0.15902167558670044
found,0.25134438276290894,0.27707019448280334,0.32668524980545044,0.1662646234035492,0.3452354073524475,0.15961512923240662,0.2982911467552185,0.16148978471755981,0.16790300607681274
that,0.6894589066505432,0.31241273880004883,0.3511183559894562,0.2372189164161682,0.5473989248275757,0.24504634737968445,0.41498205065727234,0.2649643123149872,0.32716336846351624
teachers,0.17664629220962524,0.39217743277549744,0.17424191534519196,0.10833591967821121,0.22025763988494873,0.12415320426225662,0.27737662196159363,0.21477273106575012,0.19522249698638916
experienced,0.2398335188627243,0.19499561190605164,0.2669306695461273,0.13372983038425446,0.26857760548591614,0.234929159283638,0.2707912027835846,0.3793240785598755,0.23420310020446777
double,0.2807128131389618,0.09148380160331726,0.16224689781665802,1.0000001192092896,0.21355170011520386,0.16761822998523712,0.18580502271652222,0.14588148891925812,0.10017921775579453
the,0.6521818041801453,0.2533665597438812,0.3101346790790558,0.21355170011520386,1.0,0.24881242215633392,0.733189046382904,0.15573549270629883,0.22068053483963013
rate,0.26058194041252136,0.2161191999912262,0.22874534130096436,0.16761822998523712,0.24881242215633392,1.0000001192092896,0.24132871627807617,0.19119378924369812,0.1308269053697586
of,0.5011631846427917,0.29377859830856323,0.31843405961990356,0.18580502271652222,0.733189046382904,0.24132871627807617,1.0,0.20081421732902527,0.1826142966747284
anxiety,0.23039855062961578,0.21203714609146118,0.2393980473279953,0.14588148891925812,0.15573549270629883,0.19119378924369812,0.20081421732902527,0.9999999403953552,0.2580653429031372
",",0.3658004403114319,0.26425549387931824,0.2312069833278656,0.22470229864120483,0.4933079481124878,0.18156792223453522,0.4946078956127167,0.1768212765455246,0.31091248989105225
depression,0.22533705830574036,0.23182573914527893,0.2779931426048279,0.14098837971687317,0.18764227628707886,0.15910160541534424,0.23178668320178986,0.47870779037475586,0.14480754733085632
",",0.3658004403114319,0.26425549387931824,0.2312069833278656,0.22470229864120483,0.4933079481124878,0.18156792223453522,0.4946078956127167,0.1768212765455246,0.31091248989105225
and,0.506277859210968,0.300253301858902,0.2900308668613434,0.19456486403942108,0.5171257257461548,0.17405889928340912,0.5116966962814331,0.2410002052783966,0.20544172823429108
stress,0.33526912331581116,0.23551760613918304,0.22936522960662842,0.14534196257591248,0.18694822490215302,0.3075088560581207,0.1941838562488556,0.5541159510612488,0.2845553457736969
than,0.3974681496620178,0.20619742572307587,0.24519620835781097,0.2166229635477066,0.3227543234825134,0.2922893166542053,0.33036211133003235,0.18285000324249268,0.24917294085025787
average,0.2536912262439728,0.20847341418266296,0.23743145167827606,0.16757595539093018,0.27058175206184387,0.44559913873672485,0.23717734217643738,0.09970607608556747,0.21764592826366425
workers,0.23516897857189178,0.18555478751659393,0.14853811264038086,0.057808034121990204,0.23066683113574982,0.16718733310699463,0.20827822387218475,0.20175351202487946,0.1706571877002716
.,0.45942068099975586,0.23432257771492004,0.28805166482925415,0.22321613132953644,0.5934505462646484,0.2418757975101471,0.5352458953857422,0.22938993573188782,0.4130953550338745
