,who,did,the,broncos,defeat,in,the,afc,championship,game,?
they,0.47879111766815186,0.4879390597343445,0.49925389885902405,0.25937581062316895,0.2166363000869751,0.4330179989337921,0.49925389885902405,0.21711619198322296,0.15806850790977478,0.2399950921535492,0.2753053903579712
then,0.29952746629714966,0.303744375705719,0.4297412931919098,0.2251315861940384,0.17800553143024445,0.36253848671913147,0.4297412931919098,0.1339207887649536,0.1592818647623062,0.2141346037387848,0.2884598970413208
beat,0.19657617807388306,0.2632322311401367,0.24951939284801483,0.299129456281662,0.4491628408432007,0.16871558129787445,0.24951939284801483,0.27999043464660645,0.3523143529891968,0.30160796642303467,0.19461682438850403
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.3182816207408905,0.6662389636039734,1.0,0.25863510370254517,0.2540402412414551,0.285271555185318,0.22068053483963013
defending,0.29095518589019775,0.20435893535614014,0.3322177529335022,0.2980053424835205,0.5023159384727478,0.2688160538673401,0.3322177529335022,0.31483370065689087,0.3780851662158966,0.2670046389102936,0.19775530695915222
super,0.1819351613521576,0.16038043797016144,0.21959073841571808,0.36141330003738403,0.27995777130126953,0.18576006591320038,0.21959073841571808,0.37206512689590454,0.28836938738822937,0.3480181396007538,0.166326642036438
bowl,0.09189514070749283,0.18569406867027283,0.21576224267482758,0.4351775348186493,0.21038728952407837,0.17236235737800598,0.21576224267482758,0.41199249029159546,0.3428266644477844,0.2413962334394455,0.21118052303791046
xlix,0.14243003726005554,0.16809937357902527,0.28379157185554504,0.4259836971759796,0.32071390748023987,0.264173686504364,0.28379157185554504,0.40457528829574585,0.39353930950164795,0.3429282605648041,0.2639070451259613
champion,0.17719091475009918,0.15843114256858826,0.23575055599212646,0.3800205886363983,0.32046055793762207,0.1986149251461029,0.23575055599212646,0.40495696663856506,0.8011947274208069,0.23105087876319885,0.14080514013767242
new,0.2378052920103073,0.227974995970726,0.3845241069793701,0.2461613565683365,0.18506266176700592,0.3758552670478821,0.3845241069793701,0.21401186287403107,0.16864041984081268,0.20104768872261047,0.14782847464084625
england,0.23733465373516083,0.22023706138134003,0.28280043601989746,0.24413880705833435,0.18534010648727417,0.33311840891838074,0.28280043601989746,0.28026673197746277,0.19480040669441223,0.23439037799835205,0.13436897099018097
patriots,0.19197839498519897,0.16307975351810455,0.2345433384180069,0.4857134521007538,0.3026767671108246,0.22389881312847137,0.2345433384180069,0.3464110493659973,0.2684765160083771,0.298821359872818,0.11474817991256714
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.20316283404827118,0.2583656907081604,1.0,0.6662389636039734,0.20746317505836487,0.20047812163829803,0.23986028134822845,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.3182816207408905,0.6662389636039734,1.0,0.25863510370254517,0.2540402412414551,0.285271555185318,0.22068053483963013
