,in,which,year,did,john,forster,bequeathed,his,large,collection,of,books,to,the,museum,?
these,0.3791837692260742,0.5959210991859436,0.1818191558122635,0.38755595684051514,0.13475783169269562,0.17973080277442932,0.2296755462884903,0.2947653532028198,0.42300793528556824,0.2830673158168793,0.42684608697891235,0.29932498931884766,0.46852558851242065,0.49086877703666687,0.13774710893630981,0.2571668326854706
were,0.3815755248069763,0.2807837128639221,0.23735305666923523,0.4162326455116272,0.19632886350154877,0.21900516748428345,0.340073823928833,0.3142043352127075,0.3147265911102295,0.22638525068759918,0.34038281440734863,0.21913474798202515,0.31913647055625916,0.3906462490558624,0.16107067465782166,0.17890112102031708
bequeathed,0.30938994884490967,0.27047646045684814,0.18617591261863708,0.2714802026748657,0.3168015480041504,0.31109896302223206,1.0,0.3814206123352051,0.2844456434249878,0.3697202205657959,0.39016157388687134,0.2567000985145569,0.25286343693733215,0.33061784505844116,0.3917529881000519,0.10575178265571594
with,0.4080928862094879,0.46403205394744873,0.3220449686050415,0.25472134351730347,0.1736196130514145,0.2223508358001709,0.20744004845619202,0.33836179971694946,0.26124298572540283,0.16466663777828217,0.41827285289764404,0.12987132370471954,0.4239959120750427,0.4223487675189972,0.08185859024524689,0.2433311939239502
over,0.3605569899082184,0.4256240129470825,0.2620522379875183,0.2535076439380646,0.1764024943113327,0.2041274905204773,0.2463802844285965,0.3031150996685028,0.33841222524642944,0.21212655305862427,0.36136594414711,0.23295758664608002,0.38635820150375366,0.39856547117233276,0.10119161754846573,0.25742942094802856
"18,000",0.29448267817497253,0.20134921371936798,0.17129577696323395,0.16674309968948364,0.30361098051071167,0.3325963318347931,0.37133893370628357,0.3181185722351074,0.13490331172943115,0.20795954763889313,0.3837079107761383,0.23051317036151886,0.2465004175901413,0.35636788606643677,0.20693621039390564,0.17872478067874908
books,0.250139981508255,0.22369812428951263,0.2115596979856491,0.20507213473320007,0.14574402570724487,0.2829607129096985,0.2567000985145569,0.23605668544769287,0.1595456302165985,0.33058157563209534,0.18863578140735626,1.0,0.20019930601119995,0.23187310993671417,0.19210147857666016,0.1897611767053604
to,0.45010748505592346,0.5345056653022766,0.23523004353046417,0.4452643394470215,0.2070634365081787,0.2203609049320221,0.25286343693733215,0.3715193271636963,0.3150999844074249,0.15417452156543732,0.41548454761505127,0.20019930601119995,1.0,0.535392165184021,0.1640389859676361,0.29463258385658264
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.2230520099401474,0.2865467071533203,0.33061784505844116,0.4394008219242096,0.3828733265399933,0.25281965732574463,0.733189046382904,0.23187310993671417,0.535392165184021,1.0,0.24861779808998108,0.22068053483963013
museum,0.2407650351524353,0.22731433808803558,0.1009267270565033,0.14870306849479675,0.14412403106689453,0.17943009734153748,0.3917529881000519,0.19025814533233643,0.2379295378923416,0.4441815912723541,0.23314370214939117,0.19210147857666016,0.1640389859676361,0.24861779808998108,1.0000001192092896,0.14128351211547852
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.22177861630916595,0.2611368000507355,0.30938994884490967,0.3598145842552185,0.2841601073741913,0.23004686832427979,0.5696388483047485,0.250139981508255,0.45010748505592346,0.6662389636039734,0.2407650351524353,0.20430970191955566
1876,0.0959390252828598,0.06512170284986496,0.0978856012225151,0.14597494900226593,-0.05342791602015495,-0.006743455771356821,0.03261147812008858,0.10229525715112686,0.01320154219865799,-0.04418448731303215,0.09098462015390396,-0.004222996532917023,0.18738757073879242,0.13938197493553162,0.03071102872490883,0.12526653707027435
by,0.370934396982193,0.40543368458747864,0.28805047273635864,0.18574509024620056,0.2502059042453766,0.23180195689201355,0.33475419878959656,0.3107621967792511,0.2555539309978485,0.2678082287311554,0.3646814823150635,0.22048762440681458,0.33534231781959534,0.4408751428127289,0.15592984855175018,0.17966607213020325
john,0.22177861630916595,0.20415355265140533,0.13745838403701782,0.18785913288593292,1.0000001192092896,0.3872279226779938,0.3168015480041504,0.288114070892334,0.05326656624674797,0.14187732338905334,0.2407056987285614,0.14574402570724487,0.2070634365081787,0.2230520099401474,0.14412403106689453,0.13162356615066528
forster,0.2611368000507355,0.18020902574062347,0.17872107028961182,0.1767140030860901,0.3872279226779938,1.0,0.31109896302223206,0.2712906301021576,0.13046035170555115,0.14246755838394165,0.27969154715538025,0.2829607129096985,0.2203609049320221,0.2865467071533203,0.17943009734153748,0.13820494711399078
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.26428887248039246,0.29431217908859253,0.35148677229881287,0.3119256794452667,0.2304532378911972,0.2516246736049652,0.5352458953857422,0.2393038123846054,0.4645031690597534,0.5934505462646484,0.19497929513454437,0.4130953550338745
