,what,is,a,turbine,'s,theoretical,carnot,efficiency,?
this,0.5489566326141357,0.480927973985672,0.5422310829162598,0.23904365301132202,0.02106832154095173,0.2301482856273651,0.22141775488853455,0.3120674192905426,0.3155723512172699
gives,0.20556846261024475,0.35255318880081177,0.3123532235622406,0.1384485363960266,0.012086298316717148,0.16985787451267242,0.16312822699546814,0.2296411097049713,0.2204105257987976
a,0.3320399522781372,0.658733606338501,1.0,0.23364008963108063,0.04866964742541313,0.252067893743515,0.2735532224178314,0.17706015706062317,0.23916715383529663
theoretical,0.3012935221195221,0.22241048514842987,0.252067893743515,0.23970521986484528,0.03192378208041191,1.0000001192092896,0.32031717896461487,0.30085280537605286,0.14929188787937164
carnot,0.16825038194656372,0.25844618678092957,0.2735532224178314,0.31876853108406067,0.029722988605499268,0.32031717896461487,1.0,0.3615971505641937,0.18029625713825226
efficiency,0.1758391559123993,0.19588415324687958,0.17706015706062317,0.4730987250804901,0.018245456740260124,0.30085280537605286,0.3615971505641937,1.0000001192092896,0.14680004119873047
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.17630848288536072,-0.03817026689648628,0.2684490382671356,0.2841699719429016,0.22438649833202362,0.1826142966747284
about,0.47976887226104736,0.3532065451145172,0.34171196818351746,0.1484932154417038,-0.020936643704771996,0.16390718519687653,0.19304633140563965,0.13945142924785614,0.302409827709198
63,0.2834785282611847,0.09186737984418869,0.10109545290470123,0.07058773189783096,-0.0071396189741790295,0.13980765640735626,-0.0064817164093256,0.2651463449001312,0.15054982900619507
%,0.20738190412521362,0.18672586977481842,0.17798779904842377,0.1579221785068512,0.031266406178474426,0.15836946666240692,0.16691133379936218,0.2054586261510849,0.21441808342933655
compared,0.241532102227211,0.2816821038722992,0.2797974646091461,0.23890243470668793,0.04780092462897301,0.21170161664485931,0.19082403182983398,0.3293100595474243,0.21399109065532684
with,0.2464839518070221,0.3250955045223236,0.3783375024795532,0.12040868401527405,-0.04624466598033905,0.15722839534282684,0.1522243767976761,0.1693795919418335,0.2433311939239502
an,0.2821882665157318,0.4654068350791931,0.44552403688430786,0.19293712079524994,0.025255560874938965,0.24718593060970306,0.19161947071552277,0.2183898538351059,0.19793890416622162
actual,0.43790674209594727,0.28969627618789673,0.3408341407775879,0.17273253202438354,-0.01013685017824173,0.3117680549621582,0.1714647263288498,0.25678107142448425,0.20405827462673187
efficiency,0.1758391559123993,0.19588415324687958,0.17706015706062317,0.4730987250804901,0.018245456740260124,0.30085280537605286,0.3615971505641937,1.0000001192092896,0.14680004119873047
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.17630848288536072,-0.03817026689648628,0.2684490382671356,0.2841699719429016,0.22438649833202362,0.1826142966747284
42,-0.08028927445411682,-0.07062944769859314,-0.0976838618516922,-0.2239273637533188,-0.05318901687860489,-0.02108575962483883,-0.12712101638317108,-0.08444338291883469,-0.04003704711794853
%,0.20738190412521362,0.18672586977481842,0.17798779904842377,0.1579221785068512,0.031266406178474426,0.15836946666240692,0.16691133379936218,0.2054586261510849,0.21441808342933655
for,0.3017193675041199,0.43268078565597534,0.44038116931915283,0.16188207268714905,-0.07241261005401611,0.23397420346736908,0.16075275838375092,0.2915518879890442,0.264628142118454
a,0.3320399522781372,0.658733606338501,1.0,0.23364008963108063,0.04866964742541313,0.252067893743515,0.2735532224178314,0.17706015706062317,0.23916715383529663
modern,0.2655639946460724,0.24170172214508057,0.24361324310302734,0.22899551689624786,0.03816800191998482,0.23810957372188568,0.21490995585918427,0.20184190571308136,0.12475407868623734
coal-fired,0.2328794002532959,0.19923172891139984,0.2801344096660614,0.4253186285495758,-0.07100000232458115,0.20930242538452148,0.2771781086921692,0.36336082220077515,0.21273165941238403
power,0.22216427326202393,0.15234114229679108,0.21580491960048676,0.4459681212902069,0.05344679579138756,0.15068696439266205,0.2111654430627823,0.3935120105743408,0.15304024517536163
station,0.1613752841949463,0.19625909626483917,0.21760036051273346,0.25740188360214233,-0.04233921319246292,0.13908465206623077,0.14896683394908905,0.22055581212043762,0.12574981153011322
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.22899852693080902,-0.003708066651597619,0.19316019117832184,0.24481253325939178,0.220932275056839,0.4130953550338745
