,what,philadelphia,institution,did,tesla,give,a,demonstration,to,?
tesla,0.23221199214458466,0.13968037068843842,0.14257971942424774,0.09757418930530548,0.9999999403953552,0.14904707670211792,0.2211925983428955,0.33262601494789124,0.17548894882202148,0.10250775516033173
's,0.02692362666130066,-0.011204833164811134,-0.07027866691350937,0.05069678649306297,0.06449045985937119,0.032917920500040054,0.04866964742541313,-0.0541977621614933,0.03782717138528824,-0.023395681753754616
theories,0.3363492488861084,0.09486620873212814,0.2450898289680481,0.23958267271518707,0.23655711114406586,0.1790078729391098,0.19848357141017914,0.227288618683815,0.21480143070220947,0.21320602297782898
on,0.34226128458976746,0.17339694499969482,0.20734095573425293,0.2670976221561432,0.16159376502037048,0.24458909034729004,0.3848365545272827,0.2489660233259201,0.41031414270401,0.2714994251728058
the,0.42745697498321533,0.22828452289104462,0.2866198718547821,0.34736719727516174,0.1324402391910553,0.29086416959762573,0.5829201340675354,0.2881111800670624,0.535392165184021,0.22068053483963013
possibility,0.3108116388320923,0.1556980162858963,0.24160654842853546,0.28292912244796753,0.18081195652484894,0.25503239035606384,0.2913326919078827,0.2725171744823456,0.32518115639686584,0.2723599076271057
of,0.33290785551071167,0.13581474125385284,0.3115397095680237,0.2513895630836487,0.18837453424930573,0.33489471673965454,0.5052502155303955,0.24823273718357086,0.41548454761505127,0.1826142966747284
the,0.42745697498321533,0.22828452289104462,0.2866198718547821,0.34736719727516174,0.1324402391910553,0.29086416959762573,0.5829201340675354,0.2881111800670624,0.535392165184021,0.22068053483963013
transmission,0.21502315998077393,0.1891138255596161,0.1647859513759613,0.09576284140348434,0.32000529766082764,0.25160443782806396,0.2731926441192627,0.2631281614303589,0.22681647539138794,0.16372337937355042
by,0.2455483376979828,0.21579349040985107,0.15313075482845306,0.18574509024620056,0.16513796150684357,0.1874368041753769,0.32094135880470276,0.2231898009777069,0.33534231781959534,0.17966607213020325
radio,0.16863368451595306,0.1856301873922348,0.19312837719917297,0.16486462950706482,0.2212681919336319,0.20688533782958984,0.19488471746444702,0.14301784336566925,0.16918617486953735,0.08763375133275986
waves,0.2342342883348465,0.116999551653862,0.17182932794094086,0.21477559208869934,0.17720945179462433,0.1953718364238739,0.2314101755619049,0.18972307443618774,0.2522522211074829,0.1603909134864807
