,what,are,two,types,of,phagocytes,that,travel,through,the,body,to,find,invading,pathogens,?
neutrophils,0.15195876359939575,0.32790884375572205,0.28372976183891296,0.3266831636428833,0.207316592335701,0.7252756953239441,0.24532268941402435,0.1741916984319687,0.20304371416568756,0.20497199892997742,0.3959219455718994,0.21281901001930237,0.17714755237102509,0.33354589343070984,0.6834464073181152,0.1422376185655594
and,0.31309178471565247,0.48576638102531433,0.4671151638031006,0.3014242649078369,0.5116966962814331,0.23138023912906647,0.4731321930885315,0.24324584007263184,0.3666759729385376,0.5171257257461548,0.2872275710105896,0.48971283435821533,0.3228435218334198,0.3162519335746765,0.21800068020820618,0.20544172823429108
macrophages,0.19924452900886536,0.28890976309776306,0.2353249341249466,0.3373939096927643,0.20691213011741638,0.7610270380973816,0.2726830542087555,0.20380492508411407,0.21051830053329468,0.2027338147163391,0.36670899391174316,0.25224506855010986,0.26158368587493896,0.39412790536880493,0.6819961667060852,0.1323275864124298
are,0.29724663496017456,1.0,0.46276170015335083,0.4691450595855713,0.39081433415412903,0.3706930875778198,0.45265161991119385,0.2293887734413147,0.2637137472629547,0.40399202704429626,0.2451179027557373,0.3504326641559601,0.29022112488746643,0.22186227142810822,0.352535605430603,0.24591213464736938
phagocytes,0.2258819192647934,0.3706930875778198,0.20530790090560913,0.3478790819644928,0.17896294593811035,0.9999999403953552,0.2861746847629547,0.15380866825580597,0.21199342608451843,0.18778933584690094,0.3875851333141327,0.21744151413440704,0.18241295218467712,0.41814321279525757,0.7449630498886108,0.21603655815124512
that,0.6297725439071655,0.45265161991119385,0.3858162462711334,0.3146487772464752,0.41498205065727234,0.2861746847629547,1.0,0.24002446234226227,0.3152649402618408,0.5473989248275757,0.32291916012763977,0.5436353087425232,0.38642045855522156,0.32661864161491394,0.28222689032554626,0.32716336846351624
travel,0.19747209548950195,0.2293887734413147,0.20423905551433563,0.13281413912773132,0.23167268931865692,0.15380866825580597,0.24002446234226227,1.0,0.3481168746948242,0.2857808768749237,0.14047959446907043,0.324314147233963,0.3043965697288513,0.24358245730400085,0.16288317739963531,0.10014409571886063
throughout,0.2130906730890274,0.29618778824806213,0.2651139795780182,0.23691028356552124,0.35374847054481506,0.20344702899456024,0.35608357191085815,0.23713932931423187,0.4624839127063751,0.4158564507961273,0.1915021538734436,0.31226396560668945,0.1575639545917511,0.2903120219707489,0.24400560557842255,0.12665234506130219
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.23509301245212555,0.733189046382904,0.18778933584690094,0.5473989248275757,0.2857808768749237,0.44071322679519653,1.0,0.31682634353637695,0.535392165184021,0.2696352005004883,0.3741975724697113,0.23115308582782745,0.22068053483963013
body,0.2143840193748474,0.2451179027557373,0.182792067527771,0.21577677130699158,0.25063133239746094,0.3875851333141327,0.32291916012763977,0.14047959446907043,0.19350562989711761,0.31682634353637695,1.0,0.307265043258667,0.18353933095932007,0.2029363065958023,0.38350293040275574,0.20136451721191406
in,0.30808621644973755,0.3841303884983063,0.36463531851768494,0.18516337871551514,0.5696388483047485,0.1853681057691574,0.435920387506485,0.22463937103748322,0.38533157110214233,0.6662389636039734,0.2549867033958435,0.45010748505592346,0.2040027230978012,0.33901697397232056,0.17208784818649292,0.20430970191955566
pursuit,0.18071162700653076,0.12619902193546295,0.11054965853691101,0.0973469540476799,0.1816396266222,0.04806159809231758,0.20718178153038025,0.2597832679748535,0.2048167735338211,0.23130492866039276,0.15367598831653595,0.20843948423862457,0.195251002907753,0.20600686967372894,0.11196012794971466,0.08794858306646347
of,0.33290785551071167,0.39081433415412903,0.37726253271102905,0.2447618544101715,1.0,0.17896294593811035,0.41498205065727234,0.23167268931865692,0.3647414743900299,0.733189046382904,0.25063133239746094,0.41548454761505127,0.2276865392923355,0.294779509305954,0.22946582734584808,0.1826142966747284
invading,0.29477816820144653,0.22186227142810822,0.17674022912979126,0.1418084055185318,0.294779509305954,0.41814321279525757,0.32661864161491394,0.24358245730400085,0.2635048031806946,0.3741975724697113,0.2029363065958023,0.30019092559814453,0.23027023673057556,0.9999998807907104,0.3901844024658203,0.17586950957775116
pathogens,0.24503889679908752,0.352535605430603,0.15383751690387726,0.3200358748435974,0.22946582734584808,0.7449630498886108,0.28222689032554626,0.16288317739963531,0.2685094475746155,0.23115308582782745,0.38350293040275574,0.26178881525993347,0.24172638356685638,0.3901844024658203,1.0,0.21364152431488037
.,0.3567904531955719,0.3452940285205841,0.3524959683418274,0.2097296416759491,0.5352458953857422,0.215576171875,0.4460422694683075,0.22954578697681427,0.3174465596675873,0.5934505462646484,0.29751062393188477,0.4645031690597534,0.3133861720561981,0.2923167645931244,0.2375609129667282,0.4130953550338745
