,how,many,different,species,of,ctenohore,are,there,?
only,0.36590442061424255,0.4670507609844208,0.3863356113433838,0.281429260969162,0.49632513523101807,0.3332957625389099,0.4533037543296814,0.5042840242385864,0.2767370045185089
100–150,0.13918544352054596,0.19991986453533173,0.2478286325931549,0.31483781337738037,0.0681757777929306,0.2455628514289856,0.23713311553001404,0.12960030138492584,0.2090054750442505
species,0.20142129063606262,0.25436872243881226,0.292740136384964,0.9999999403953552,0.23307405412197113,0.4535086750984192,0.3297041952610016,0.3110367953777313,0.1957087516784668
have,0.4370637536048889,0.5841760635375977,0.5267002582550049,0.3239450752735138,0.3802283704280853,0.29869022965431213,0.6577680706977844,0.5194604992866516,0.32991164922714233
been,0.26456597447395325,0.4963826537132263,0.3274359405040741,0.2805362343788147,0.31685134768486023,0.24289163947105408,0.4703826308250427,0.3571467399597168,0.24354910850524902
validated,0.23275138437747955,0.1716168075799942,0.1821044236421585,0.17950831353664398,0.2722916305065155,0.30035269260406494,0.227386474609375,0.3116717040538788,0.27729353308677673
",",0.22659391164779663,0.40610817074775696,0.32220861315727234,0.2223871648311615,0.4946078956127167,0.30667537450790405,0.4062570035457611,0.4587128460407257,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.39536112546920776,0.23547904193401337,0.5116966962814331,0.2891708314418793,0.48576638102531433,0.4242868423461914,0.20544172823429108
possibly,0.2647186815738678,0.26231956481933594,0.22938871383666992,0.3155671954154968,0.35685303807258606,0.25564053654670715,0.3011506497859955,0.3100487291812897,0.3334614038467407
another,0.34821072220802307,0.33634573221206665,0.3482648432254791,0.1917874813079834,0.38147079944610596,0.3175046145915985,0.23159852623939514,0.3513661324977875,0.295511931180954
25,0.07429084926843643,0.11531345546245575,0.13721609115600586,-0.027306007221341133,0.13541533052921295,0.1665930300951004,0.10888858884572983,0.12351556867361069,0.09614268690347672
have,0.4370637536048889,0.5841760635375977,0.5267002582550049,0.3239450752735138,0.3802283704280853,0.29869022965431213,0.6577680706977844,0.5194604992866516,0.32991164922714233
not,0.4869767427444458,0.4369727373123169,0.3192916512489319,0.24377579987049103,0.3307090103626251,0.3016927242279053,0.46186959743499756,0.43214359879493713,0.41942933201789856
been,0.26456597447395325,0.4963826537132263,0.3274359405040741,0.2805362343788147,0.31685134768486023,0.24289163947105408,0.4703826308250427,0.3571467399597168,0.24354910850524902
fully,0.31435075402259827,0.25093981623649597,0.21422913670539856,0.14211376011371613,0.1846403181552887,0.24417977035045624,0.2984277009963989,0.20308324694633484,0.2089291661977768
described,0.2526073157787323,0.2943393588066101,0.2913402318954468,0.28715652227401733,0.297532320022583,0.2643733620643616,0.25001800060272217,0.2683049142360687,0.1374269425868988
and,0.33647966384887695,0.5296266674995422,0.39536112546920776,0.23547904193401337,0.5116966962814331,0.2891708314418793,0.48576638102531433,0.4242868423461914,0.20544172823429108
named,0.155859112739563,0.2136070877313614,0.14069485664367676,0.13429924845695496,0.2820465862751007,0.21062523126602173,0.1775832623243332,0.21535170078277588,0.1297498345375061
.,0.3287222981452942,0.3974229395389557,0.31511759757995605,0.25772613286972046,0.5352458953857422,0.328775554895401,0.3452940285205841,0.43897318840026855,0.4130953550338745
