,barro,found,there,is,little,relation,between,income,inequality,and,rates,of,what,?
research,0.1418304443359375,0.24629881978034973,0.22673040628433228,0.23478153347969055,0.194480299949646,0.20373941957950592,0.13772200047969818,0.2481585443019867,0.2520397901535034,0.27611881494522095,0.21736033260822296,0.22573977708816528,0.237140491604805,0.13481977581977844
by,0.2098482847213745,0.17248263955116272,0.20383623242378235,0.3899846076965332,0.16509714722633362,0.2065373957157135,0.28115302324295044,0.17474129796028137,0.17648567259311676,0.4289871156215668,0.23408402502536774,0.3646814823150635,0.2455483376979828,0.17966607213020325
harvard,0.25786036252975464,0.16108499467372894,0.1383964568376541,0.15387701988220215,0.15360084176063538,0.2154981791973114,0.10877202451229095,0.15321354568004608,0.21709075570106506,0.2453373372554779,0.16128894686698914,0.25842633843421936,0.2177114188671112,0.11685016006231308
economist,0.22068756818771362,0.09340301901102066,0.14475572109222412,0.17990195751190186,0.14172235131263733,0.18760661780834198,0.13630281388759613,0.30458420515060425,0.2923416793346405,0.15557435154914856,0.16956216096878052,0.1498451977968216,0.16227665543556213,0.15311987698078156
robert,0.28370702266693115,0.1676284819841385,0.13891513645648956,0.16191203892230988,-0.02749755047261715,0.1257382333278656,0.1353893131017685,0.0584755577147007,0.13220857083797455,0.21826715767383575,0.11288934201002121,0.2398476004600525,0.1948658525943756,0.11293095350265503
barro,1.0,0.18388593196868896,0.14958681166172028,0.1727064698934555,0.14413052797317505,0.11105109006166458,0.15460608899593353,0.09032013267278671,0.1177615076303482,0.25195690989494324,0.11198664456605911,0.20676353573799133,0.1872328519821167,0.18375037610530853
",",0.28802716732025146,0.27385151386260986,0.4587128460407257,0.4691906273365021,0.32780832052230835,0.2668071985244751,0.27714940905570984,0.19703416526317596,0.21822890639305115,0.6633074283599854,0.19299949705600739,0.4946078956127167,0.3087472915649414,0.31091248989105225
found,0.18388593196868896,0.9999999403953552,0.34913212060928345,0.3526395261287689,0.15313628315925598,0.18841078877449036,0.17483356595039368,0.15905648469924927,0.11657499521970749,0.27978911995887756,0.1947016417980194,0.2982911467552185,0.1796332150697708,0.16790300607681274
that,0.210953488945961,0.29063743352890015,0.6006520986557007,0.3995479643344879,0.3069852590560913,0.342557817697525,0.299440860748291,0.2627509534358978,0.3467824459075928,0.4731321930885315,0.3044385015964508,0.41498205065727234,0.6297725439071655,0.32716336846351624
there,0.14958681166172028,0.34913212060928345,1.0,0.3904260993003845,0.3158206641674042,0.22189444303512573,0.37209540605545044,0.2881235182285309,0.2481875717639923,0.4242868423461914,0.2448410838842392,0.44397735595703125,0.35085538029670715,0.29405656456947327
