,in,what,decade,were,injectors,widely,used,in,steam,engines,?
injectors,0.12252667546272278,0.1479194164276123,0.1445138305425644,0.23726476728916168,1.0,0.20822273194789886,0.32744914293289185,0.12252667546272278,0.29565978050231934,0.35441815853118896,0.16206829249858856
became,0.31047213077545166,0.1434093862771988,0.2510507106781006,0.45684126019477844,0.12291129678487778,0.23433861136436462,0.14575080573558807,0.31047213077545166,0.16910558938980103,0.16198648512363434,0.11374033987522125
popular,0.3157482445240021,0.186283677816391,0.2226744145154953,0.22666151821613312,0.1516863852739334,0.4668194651603699,0.32566410303115845,0.3157482445240021,0.2914596498012543,0.16749583184719086,0.13108457624912262
in,1.0,0.30808621644973755,0.2119923084974289,0.3815755248069763,0.12252667546272278,0.26852190494537354,0.3090210556983948,1.0,0.19852672517299652,0.18084456026554108,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.2552448511123657,0.3906462490558624,0.20639577507972717,0.29394426941871643,0.3718377649784088,0.6662389636039734,0.23105813562870026,0.2245008647441864,0.22068053483963013
1850s,0.26765957474708557,0.4903399646282196,0.18610520660877228,0.2506040334701538,0.30271196365356445,0.29614928364753723,0.38143157958984375,0.26765957474708557,0.2660614252090454,0.32304221391677856,0.45955878496170044
but,0.48674455285072327,0.5029441118240356,0.180943563580513,0.38291117548942566,0.21275931596755981,0.29869404435157776,0.3391169309616089,0.48674455285072327,0.25995272397994995,0.27383869886398315,0.27921953797340393
are,0.3841303884983063,0.29724663496017456,0.1653933823108673,0.6489362716674805,0.28544196486473083,0.3113815486431122,0.3322218656539917,0.3841303884983063,0.14139318466186523,0.21946673095226288,0.24591213464736938
no,0.24372287094593048,0.339326947927475,0.14453808963298798,0.24298787117004395,0.11931506544351578,0.14890162646770477,0.21540804207324982,0.24372287094593048,0.1177506372332573,0.1927698701620102,0.32165053486824036
longer,0.2513541877269745,0.3188037574291229,0.20016907155513763,0.27432891726493835,0.22463299334049225,0.24394501745700836,0.36502373218536377,0.2513541877269745,0.14740099012851715,0.21767756342887878,0.24416615068912506
widely,0.26852190494537354,0.22598060965538025,0.21743905544281006,0.23510098457336426,0.20822273194789886,1.0000001192092896,0.4331974387168884,0.26852190494537354,0.19847391545772552,0.1152915358543396,0.10354958474636078
used,0.3090210556983948,0.27546408772468567,0.17572222650051117,0.27636459469795227,0.32744914293289185,0.4331974387168884,0.9999998807907104,0.3090210556983948,0.2604328691959381,0.2519303560256958,0.22430120408535004
",",0.5201468467712402,0.3087472915649414,0.18535472452640533,0.36755475401878357,0.16109678149223328,0.2983349859714508,0.3120402991771698,0.5201468467712402,0.2264556586742401,0.20245449244976044,0.31091248989105225
except,0.22713249921798706,0.2278055101633072,0.20276793837547302,0.24063879251480103,0.1270197480916977,0.21506407856941223,0.23386786878108978,0.22713249921798706,0.13924187421798706,0.14068011939525604,0.16405975818634033
in,1.0,0.30808621644973755,0.2119923084974289,0.3815755248069763,0.12252667546272278,0.26852190494537354,0.3090210556983948,1.0,0.19852672517299652,0.18084456026554108,0.20430970191955566
applications,0.2334391176700592,0.20821766555309296,0.17613346874713898,0.17224667966365814,0.3332332968711853,0.25514107942581177,0.3751769959926605,0.2334391176700592,0.3146214783191681,0.3646574318408966,0.19125857949256897
such,0.2704046070575714,0.23989605903625488,0.14464610815048218,0.2970055043697357,0.22947262227535248,0.31889018416404724,0.4262988865375519,0.2704046070575714,0.27096763253211975,0.1677926778793335,0.17851735651493073
as,0.3887844979763031,0.31749409437179565,0.21352699398994446,0.3025437891483307,0.16435842216014862,0.3461221754550934,0.35160550475120544,0.3887844979763031,0.20776431262493134,0.17400804162025452,0.27043893933296204
steam,0.19852672517299652,0.15672586858272552,0.13959118723869324,0.20219570398330688,0.29565978050231934,0.19847391545772552,0.2604328691959381,0.19852672517299652,1.0000001192092896,0.4903687536716461,0.113324373960495
locomotives,0.17941859364509583,0.12965811789035797,0.20695950090885162,0.24266749620437622,0.25814491510391235,0.16145125031471252,0.22892537713050842,0.17941859364509583,0.551257848739624,0.4945548176765442,0.13195066154003143
.,0.5591574311256409,0.3567904531955719,0.1714698225259781,0.3378238379955292,0.18691767752170563,0.2204076051712036,0.33111312985420227,0.5591574311256409,0.22855372726917267,0.24894580245018005,0.4130953550338745
