,which,seasons,is,the,bbc,missing,a,total,of,79,episodes,?
in,0.4840516746044159,0.2194332778453827,0.5394441485404968,0.6662389636039734,0.22430340945720673,0.2340807020664215,0.539380669593811,0.27667245268821716,0.5696388483047485,0.11563541740179062,0.17357411980628967,0.20430970191955566
all,0.50777268409729,0.2379743903875351,0.2553904056549072,0.4860881567001343,0.16617724299430847,0.23987352848052979,0.2696802616119385,0.32222825288772583,0.42798417806625366,-0.05569722130894661,0.21445471048355103,0.29575422406196594
",",0.3658004403114319,0.2613678574562073,0.4691906273365021,0.4933079481124878,0.14724469184875488,0.2425287365913391,0.427140474319458,0.25815486907958984,0.4946078956127167,0.13735687732696533,0.2131132036447525,0.31091248989105225
97,0.06065845116972923,-0.049810826778411865,0.052391283214092255,0.04433417692780495,0.036799099296331406,0.003220832673832774,-0.01603313535451889,0.08105770498514175,0.07042630761861801,-0.0553273968398571,-0.0009277045610360801,0.1171717420220375
of,0.5011631846427917,0.20746608078479767,0.4854315221309662,0.733189046382904,0.1797877550125122,0.23175521194934845,0.5052502155303955,0.29045331478118896,1.0,0.07393139600753784,0.19166667759418488,0.1826142966747284
253,-0.030083103105425835,-0.05722859874367714,-0.07475011050701141,-0.09144530445337296,-0.1435467153787613,-0.07386883348226547,-0.06758036464452744,0.052432842552661896,-0.06120351701974869,0.011927305720746517,-0.05133610963821411,-0.14874564111232758
episodes,0.20309853553771973,0.4942089021205902,0.11897750943899155,0.1889590173959732,0.37426334619522095,0.2341614067554474,0.18881215155124664,0.22169801592826843,0.19166667759418488,0.0949072316288948,0.9999999403953552,0.21740183234214783
produced,0.36149924993515015,0.21695159375667572,0.25678005814552307,0.22045251727104187,0.2725476324558258,0.0912952870130539,0.21993228793144226,0.1642206609249115,0.18961067497730255,0.050070248544216156,0.2536705434322357,0.1623450517654419
during,0.3590145409107208,0.28287580609321594,0.2240111529827118,0.4838213622570038,0.1864195168018341,0.12790893018245697,0.30341604351997375,0.25091752409935,0.3869180977344513,-0.013518501073122025,0.18832220137119293,0.1325719803571701
the,0.6521818041801453,0.24226845800876617,0.5823672413825989,1.0,0.2735401690006256,0.2549445927143097,0.5829201340675354,0.27068960666656494,0.733189046382904,0.10815461724996567,0.1889590173959732,0.22068053483963013
first,0.3828166127204895,0.18467745184898376,0.30889374017715454,0.49448907375335693,0.25469130277633667,0.165384441614151,0.4287874400615692,0.18841083347797394,0.3536086082458496,0.12201232463121414,0.21580514311790466,0.18701928853988647
six,0.35139694809913635,0.29915758967399597,0.20925110578536987,0.3614266812801361,0.08515147864818573,0.20996737480163574,0.26189830899238586,0.33902785181999207,0.3317931592464447,0.036781542003154755,0.22756434977054596,0.15298804640769958
years,0.23232990503311157,0.3019106388092041,0.19551363587379456,0.2912273406982422,0.17876961827278137,0.14061219990253448,0.23773819208145142,0.2140875607728958,0.2904134690761566,0.12335740029811859,0.23877567052841187,0.1914375126361847
of,0.5011631846427917,0.20746608078479767,0.4854315221309662,0.733189046382904,0.1797877550125122,0.23175521194934845,0.5052502155303955,0.29045331478118896,1.0,0.07393139600753784,0.19166667759418488,0.1826142966747284
the,0.6521818041801453,0.24226845800876617,0.5823672413825989,1.0,0.2735401690006256,0.2549445927143097,0.5829201340675354,0.27068960666656494,0.733189046382904,0.10815461724996567,0.1889590173959732,0.22068053483963013
programme,0.26981881260871887,0.17448744177818298,0.20126456022262573,0.23601844906806946,0.5583434104919434,0.09854304790496826,0.22703689336776733,0.14167192578315735,0.18707643449306488,0.19118312001228333,0.33238911628723145,0.139840766787529
are,0.42922598123550415,0.19379287958145142,0.5330929756164551,0.40399202704429626,0.11432822793722153,0.22625741362571716,0.265255331993103,0.2363838106393814,0.39081433415412903,0.08883261680603027,0.1978527158498764,0.24591213464736938
not,0.46766895055770874,0.15752504765987396,0.3776007890701294,0.4310511648654938,0.17192764580249786,0.2723667323589325,0.3791346549987793,0.21460457146167755,0.3307090103626251,0.10455923527479172,0.1952504813671112,0.41942933201789856
held,0.2626747488975525,0.1752619594335556,0.19884860515594482,0.32185450196266174,0.1753990650177002,0.11557431519031525,0.22326228022575378,0.13659578561782837,0.28960686922073364,-0.023239457979798317,0.10026303678750992,0.14103956520557404
in,0.4840516746044159,0.2194332778453827,0.5394441485404968,0.6662389636039734,0.22430340945720673,0.2340807020664215,0.539380669593811,0.27667245268821716,0.5696388483047485,0.11563541740179062,0.17357411980628967,0.20430970191955566
the,0.6521818041801453,0.24226845800876617,0.5823672413825989,1.0,0.2735401690006256,0.2549445927143097,0.5829201340675354,0.27068960666656494,0.733189046382904,0.10815461724996567,0.1889590173959732,0.22068053483963013
bbc,0.2368261218070984,0.21125385165214539,0.19024956226348877,0.2735401690006256,1.0000001192092896,0.10691863298416138,0.199848011136055,0.08543971180915833,0.1797877550125122,0.19052518904209137,0.37426334619522095,0.20556949079036713
's,0.03856118768453598,0.02644028328359127,0.02396530658006668,-0.01540423184633255,0.07641375809907913,-0.05348285660147667,0.04866964742541313,0.1334245651960373,-0.03817026689648628,0.0010784983169287443,-0.013447972945868969,-0.023395681753754616
archives,0.19947831332683563,0.13122491538524628,0.17392241954803467,0.22798994183540344,0.18343834578990936,0.20025283098220825,0.13677532970905304,0.08155331015586853,0.19350644946098328,-0.024080175906419754,0.16483287513256073,0.24684664607048035
(,0.2589828372001648,0.17566418647766113,0.35393038392066956,0.33289089798927307,0.1058402881026268,0.23385603725910187,0.3206180930137634,0.2282908409833908,0.35032153129577637,0.07318224012851715,0.17736345529556274,0.40561532974243164
most,0.4637843072414398,0.22951911389827728,0.41165053844451904,0.47635307908058167,0.12601472437381744,0.18593472242355347,0.3508910834789276,0.2879014015197754,0.4178851246833801,0.05352875217795372,0.10079029202461243,0.2107497900724411
notably,0.28071725368499756,0.26571840047836304,0.18971042335033417,0.33497244119644165,0.18000052869319916,0.10275965183973312,0.1921544224023819,0.14849510788917542,0.3080497682094574,0.008678353391587734,0.18046759068965912,0.10343469679355621
seasons,0.21146085858345032,0.9999999403953552,0.18750202655792236,0.24226845800876617,0.21125385165214539,0.17476701736450195,0.17958885431289673,0.19476458430290222,0.20746608078479767,-0.04241826385259628,0.4942089021205902,0.13766995072364807
3,0.07841135561466217,-0.05033459514379501,0.1504552811384201,0.06283142417669296,0.048339758068323135,-0.008228352293372154,0.08904784172773361,-0.005065716337412596,0.046857766807079315,0.07148664444684982,0.0064844172447919846,0.005975271109491587
",",0.3658004403114319,0.2613678574562073,0.4691906273365021,0.4933079481124878,0.14724469184875488,0.2425287365913391,0.427140474319458,0.25815486907958984,0.4946078956127167,0.13735687732696533,0.2131132036447525,0.31091248989105225
4,0.00023283218615688384,0.0026661730371415615,0.025936461985111237,0.15499350428581238,0.010370646603405476,0.008270074613392353,0.08102071285247803,0.027560783550143242,0.17227263748645782,0.033182062208652496,-0.047549404203891754,0.010515431873500347
",",0.3658004403114319,0.2613678574562073,0.4691906273365021,0.4933079481124878,0.14724469184875488,0.2425287365913391,0.427140474319458,0.25815486907958984,0.4946078956127167,0.13735687732696533,0.2131132036447525,0.31091248989105225
&,0.16294614970684052,0.16119661927223206,0.08384179323911667,0.14992168545722961,0.181424081325531,0.10815507173538208,0.07266713678836823,0.11053182929754257,0.19900451600551605,0.07247409224510193,0.18550655245780945,0.12596383690834045
5,0.13955213129520416,0.020373264327645302,0.009449449367821217,0.09255307912826538,0.0488610714673996,0.07489092648029327,0.07282212376594543,0.01483677327632904,0.1043979674577713,-0.031937289983034134,-0.016699671745300293,0.06222071498632431
",",0.3658004403114319,0.2613678574562073,0.4691906273365021,0.4933079481124878,0.14724469184875488,0.2425287365913391,0.427140474319458,0.25815486907958984,0.4946078956127167,0.13735687732696533,0.2131132036447525,0.31091248989105225
from,0.38755592703819275,0.1932072788476944,0.27355384826660156,0.40150508284568787,0.17696094512939453,0.15838058292865753,0.322764128446579,0.14256314933300018,0.4249346852302551,0.0779898464679718,0.22955967485904694,0.19969791173934937
which,1.0,0.21146085858345032,0.4457404911518097,0.6521818041801453,0.2368261218070984,0.22453530132770538,0.56894451379776,0.32373151183128357,0.5011631846427917,0.08503196388483047,0.20309853553771973,0.25814583897590637
79,0.08503196388483047,-0.04241826385259628,0.20530419051647186,0.10815461724996567,0.19052518904209137,0.07147582620382309,0.20782464742660522,-0.033167995512485504,0.07393139600753784,1.0,0.0949072316288948,0.07359330356121063
episodes,0.20309853553771973,0.4942089021205902,0.11897750943899155,0.1889590173959732,0.37426334619522095,0.2341614067554474,0.18881215155124664,0.22169801592826843,0.19166667759418488,0.0949072316288948,0.9999999403953552,0.21740183234214783
are,0.42922598123550415,0.19379287958145142,0.5330929756164551,0.40399202704429626,0.11432822793722153,0.22625741362571716,0.265255331993103,0.2363838106393814,0.39081433415412903,0.08883261680603027,0.1978527158498764,0.24591213464736938
missing,0.22453530132770538,0.17476701736450195,0.14084705710411072,0.2549445927143097,0.10691863298416138,0.9999998807907104,0.25094693899154663,0.2495754212141037,0.23175521194934845,0.07147582620382309,0.2341614067554474,0.2695959508419037
),0.2758678197860718,0.1821039468050003,0.37732169032096863,0.3456730246543884,0.10228727757930756,0.24694252014160156,0.3640355169773102,0.2389112114906311,0.3680361211299896,0.08828452974557877,0.1691657453775406,0.42300865054130554
.,0.45942068099975586,0.2546960115432739,0.4569662809371948,0.5934505462646484,0.20265105366706848,0.2528116703033447,0.50484299659729,0.2295650690793991,0.5352458953857422,0.1468603014945984,0.22130145132541656,0.4130953550338745
