,what,panther,defender,was,called,for,holding,on,third,down,?
meanwhile,0.24885934591293335,0.09967507421970367,0.1939534842967987,0.17749933898448944,0.14368270337581635,0.2021147757768631,0.23383258283138275,0.17699147760868073,0.08686220645904541,0.26397451758384705,0.16201108694076538
",",0.3087472915649414,0.20294712483882904,0.24717968702316284,0.45456063747406006,0.26549121737480164,0.4464869201183319,0.2482093721628189,0.49057599902153015,0.283071368932724,0.23362469673156738,0.31091248989105225
denver,0.1275133192539215,0.2219652682542801,0.23731908202171326,0.2766761779785156,0.19893373548984528,0.22017966210842133,0.11152081191539764,0.1561855524778366,0.18712952733039856,0.13666987419128418,0.1520889848470688
's,0.02692362666130066,0.09222115576267242,-0.06163295358419418,0.008974763564765453,-0.021773243322968483,-0.07241261005401611,0.05465402081608772,0.0026888418942689896,-0.00712791969999671,-0.0948290154337883,-0.023395681753754616
offense,0.311376690864563,0.14652685821056366,0.27737152576446533,0.23727211356163025,0.15811403095722198,0.313084214925766,0.18739140033721924,0.19000566005706787,0.18698985874652863,0.19721703231334686,0.28476977348327637
was,0.22111038863658905,0.23908768594264984,0.24341902136802673,1.0000001192092896,0.33927658200263977,0.3863949179649353,0.18529468774795532,0.3909217119216919,0.3460187017917633,0.19277216494083405,0.18412111699581146
kept,0.2294851839542389,0.15056872367858887,0.17174509167671204,0.2936630845069885,0.23721382021903992,0.29963481426239014,0.33528006076812744,0.22002850472927094,0.1300341784954071,0.25689035654067993,0.15157312154769897
out,0.3633197546005249,0.10648121684789658,0.07238434255123138,0.28168347477912903,0.3122950792312622,0.3312093913555145,0.25683829188346863,0.39060163497924805,0.21911688148975372,0.40741533041000366,0.22020699083805084
of,0.33290785551071167,0.17737329006195068,0.20712707936763763,0.4069072902202606,0.4222904443740845,0.4185989499092102,0.25994744896888733,0.3966929316520691,0.30602210760116577,0.23279321193695068,0.1826142966747284
the,0.42745697498321533,0.21149678528308868,0.23814363777637482,0.48711544275283813,0.489897221326828,0.4739971458911896,0.31092849373817444,0.5107308030128479,0.4229298532009125,0.3325848877429962,0.22068053483963013
end,0.29234179854393005,0.07210077345371246,0.16571711003780365,0.19220198690891266,0.2395719289779663,0.22042374312877655,0.2580483853816986,0.2773675322532654,0.2829585075378418,0.2550852596759796,0.12543344497680664
zone,0.21381187438964844,0.11671897023916245,0.10600265115499496,0.161222442984581,0.1620377153158188,0.188797265291214,0.038179874420166016,0.21313174068927765,0.1289641261100769,0.20899243652820587,0.1173049733042717
for,0.3017193675041199,0.1896418184041977,0.2946513593196869,0.3863949179649353,0.29870352149009705,0.9999999403953552,0.28250807523727417,0.36199691891670227,0.2187870591878891,0.22538931667804718,0.264628142118454
