,who,was,one,of,the,earliest,examples,of,civil,disobedience,against,?
one,0.40083858370780945,0.3752199709415436,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.32342809438705444,0.32072609663009644,0.4999135136604309,0.15266822278499603,0.20541732013225555,0.2450990378856659,0.2673267424106598
of,0.2827862501144409,0.4069072902202606,0.4999135136604309,1.0,0.733189046382904,0.33267632126808167,0.3054686188697815,1.0,0.24698495864868164,0.31932318210601807,0.2669808566570282,0.1826142966747284
its,0.1326070874929428,0.3518870174884796,0.42848992347717285,0.48690423369407654,0.559237003326416,0.16492193937301636,0.21673068404197693,0.48690423369407654,0.15427452325820923,0.15781542658805847,0.16972889006137848,0.15103481709957123
earliest,0.19994589686393738,0.25501716136932373,0.32342809438705444,0.33267632126808167,0.32825469970703125,1.0,0.29689455032348633,0.33267632126808167,0.1108841672539711,0.2281191051006317,0.13629721105098724,0.139415442943573
massive,0.13566954433918,0.20117735862731934,0.2619481384754181,0.2715130150318146,0.29983171820640564,0.16990935802459717,0.1514054834842682,0.2715130150318146,0.15799842774868011,0.1531321257352829,0.21963739395141602,0.17558397352695465
implementations,0.09395541995763779,0.13424091041088104,0.23809915781021118,0.18841023743152618,0.20489591360092163,0.12098652124404907,0.45271632075309753,0.18841023743152618,0.1966409683227539,0.23194977641105652,0.1648302674293518,0.21828727424144745
was,0.3318818509578705,1.0000001192092896,0.3752199709415436,0.4069072902202606,0.48711544275283813,0.25501716136932373,0.07216602563858032,0.4069072902202606,0.24303317070007324,0.28287848830223083,0.22972732782363892,0.18412111699581146
brought,0.32684946060180664,0.35886916518211365,0.25497564673423767,0.3339962065219879,0.32700833678245544,0.1938106268644333,0.19306419789791107,0.3339962065219879,0.23051263391971588,0.26444506645202637,0.23774723708629608,0.2339296191930771
about,0.3477841317653656,0.2577359974384308,0.35568177700042725,0.40939709544181824,0.37995871901512146,0.2507884204387665,0.25273650884628296,0.40939709544181824,0.1744583249092102,0.20206157863140106,0.1949513703584671,0.302409827709198
by,0.39727845788002014,0.4752357602119446,0.29445651173591614,0.3646814823150635,0.4408751428127289,0.1959538608789444,0.27706319093704224,0.3646814823150635,0.15479567646980286,0.2563513219356537,0.24816733598709106,0.17966607213020325
egyptians,0.2450115829706192,0.21015715599060059,0.1498555839061737,0.22075548768043518,0.24802030622959137,0.3546096086502075,0.18061372637748718,0.22075548768043518,0.1527777910232544,0.2828955352306366,0.13430078327655792,0.1427619308233261
against,0.2942115366458893,0.22972732782363892,0.2450990378856659,0.2669808566570282,0.3090755045413971,0.13629721105098724,0.19298771023750305,0.2669808566570282,0.22722691297531128,0.3858777582645416,1.0,0.18095137178897858
the,0.3733934462070465,0.48711544275283813,0.5514441132545471,0.733189046382904,1.0,0.32825469970703125,0.30092597007751465,0.733189046382904,0.2477465271949768,0.30963727831840515,0.3090755045413971,0.22068053483963013
british,0.2666113078594208,0.31934812664985657,0.2232416272163391,0.23701532185077667,0.28973397612571716,0.12847091257572174,0.17037361860275269,0.23701532185077667,0.2382184863090515,0.24846328794956207,0.1403929740190506,0.09711728990077972
occupation,0.26314935088157654,0.2635958790779114,0.16560249030590057,0.24415746331214905,0.23079249262809753,0.19646692276000977,0.1181768923997879,0.24415746331214905,0.20740856230258942,0.2704811990261078,0.15366131067276,0.13284437358379364
in,0.2792111933231354,0.45514053106307983,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.3064194619655609,0.25567561388015747,0.5696388483047485,0.26466667652130127,0.3054615259170532,0.27273955941200256,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.5514441132545471,0.733189046382904,1.0,0.32825469970703125,0.30092597007751465,0.733189046382904,0.2477465271949768,0.30963727831840515,0.3090755045413971,0.22068053483963013
1919,-0.11288424581289291,-0.07901974022388458,0.0033189691603183746,-0.17261579632759094,-0.10051338374614716,-0.05886369198560715,0.04428786784410477,-0.17261579632759094,-0.09741108119487762,-0.06691157072782516,-0.006568768993020058,-0.03536369651556015
revolution,0.2163151353597641,0.3365444839000702,0.20096030831336975,0.27144062519073486,0.276140034198761,0.1957874894142151,0.14920072257518768,0.27144062519073486,0.3380163013935089,0.3442854583263397,0.21501266956329346,0.1727980077266693
.,0.3541337847709656,0.40146201848983765,0.4123194217681885,0.5352458953857422,0.5934505462646484,0.21521835029125214,0.28905922174453735,0.5352458953857422,0.2541380822658539,0.2603943943977356,0.28705209493637085,0.4130953550338745
,who,was,one,of,the,earliest,examples,of,civil,disobedience,against,?
it,0.2868398427963257,0.4577186405658722,0.4284902811050415,0.38761502504348755,0.6251175999641418,0.24131013453006744,0.2643030881881714,0.38761502504348755,0.17707513272762299,0.2648297846317291,0.19986185431480408,0.25732165575027466
has,0.2558172643184662,0.40313825011253357,0.43032392859458923,0.3909035325050354,0.4177538752555847,0.18134021759033203,0.21517843008041382,0.3909035325050354,0.14805923402309418,0.11896127462387085,0.20978227257728577,0.15994466841220856
been,0.3295723795890808,0.518218457698822,0.3407197892665863,0.31685134768486023,0.3563927710056305,0.2800230383872986,0.227527916431427,0.31685134768486023,0.16754008829593658,0.20087917149066925,0.15748360753059387,0.24354910850524902
used,0.20756356418132782,0.23679393529891968,0.3009188175201416,0.3075267970561981,0.3718377649784088,0.2536534070968628,0.4040156602859497,0.3075267970561981,0.18663932383060455,0.16147232055664062,0.16741667687892914,0.22430120408535004
in,0.2792111933231354,0.45514053106307983,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.3064194619655609,0.25567561388015747,0.5696388483047485,0.26466667652130127,0.3054615259170532,0.27273955941200256,0.20430970191955566
many,0.4149286150932312,0.260356068611145,0.4223630726337433,0.37253960967063904,0.4335206151008606,0.35370081663131714,0.44614723324775696,0.37253960967063904,0.2212105095386505,0.2810143232345581,0.23851439356803894,0.2124512493610382
nonviolent,0.3311547636985779,0.24546442925930023,0.2473982870578766,0.2696565091609955,0.23885348439216614,0.15778562426567078,0.22363337874412537,0.2696565091609955,0.37643536925315857,0.6002234220504761,0.36277955770492554,0.23365403711795807
