,what,was,the,trend,of,female,student,population,from,1970s,and,deyond,?
following,0.2506418824195862,0.16493390500545502,0.39779382944107056,0.11142122745513916,0.3576679527759552,0.10857057571411133,0.14946159720420837,0.2078712433576584,0.2566845118999481,-0.019208919256925583,0.2696467339992523,0.16520926356315613,0.1555173695087433
the,0.42745697498321533,0.48711544275283813,1.0,0.23692767322063446,0.733189046382904,0.2673940658569336,0.21259291470050812,0.32044094800949097,0.40150508284568787,0.004102230537682772,0.5171257257461548,0.37299519777297974,0.22068053483963013
merger,0.15280666947364807,0.23289446532726288,0.2557354271411896,0.169760063290596,0.18576329946517944,0.10806432366371155,0.17823755741119385,0.15335403382778168,0.1741155982017517,-0.10775720328092575,0.16802267730236053,0.1860664039850235,0.1345871090888977
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.17461234331130981,1.0,0.26416701078414917,0.20310284197330475,0.3060894012451172,0.4249346852302551,0.060115184634923935,0.5116966962814331,0.33149412274360657,0.1826142966747284
harvard,0.2177114188671112,0.2415156066417694,0.24496200680732727,0.10905857384204865,0.25842633843421936,0.12167490273714066,0.33763715624809265,0.16862379014492035,0.2288978099822998,0.017969125881791115,0.2453373372554779,0.15520016849040985,0.11685016006231308
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.24407464265823364,0.5116966962814331,0.2491157501935959,0.2391568422317505,0.23080337047576904,0.3601827025413513,0.10044565051794052,1.0,0.35670438408851624,0.20544172823429108
radcliffe,0.1320628672838211,0.27603209018707275,0.22010628879070282,0.1267131268978119,0.2230839878320694,0.2026679366827011,0.31612083315849304,0.12996375560760498,0.15856723487377167,0.06279812753200531,0.325842946767807,0.25331076979637146,0.06297651678323746
admissions,0.2906854748725891,0.2317034751176834,0.2730996906757355,0.11140723526477814,0.29729029536247253,0.12549974024295807,0.3262070417404175,0.1902402937412262,0.22304928302764893,0.10629201680421829,0.2922549247741699,0.241947740316391,0.2463146448135376
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.19545964896678925,0.5696388483047485,0.1986217200756073,0.254856139421463,0.3268454372882843,0.4274188280105591,0.057396724820137024,0.4954058527946472,0.3380270302295685,0.20430970191955566
1977,-0.14419497549533844,0.047073230147361755,0.06613131612539291,0.07685491442680359,0.09827802330255508,-0.030599169433116913,0.022600097581744194,0.08004449307918549,0.018478363752365112,0.1702042520046234,0.10625912994146347,-0.031160328537225723,-0.059247612953186035
