,what,was,the,fresno,fairgrounds,used,as,?
the,0.42745697498321533,0.48711544275283813,1.0,0.22571885585784912,0.28842517733573914,0.3718377649784088,0.48381632566452026,0.22068053483963013
fresno,0.159109428524971,0.2749030292034149,0.22571885585784912,1.0000001192092896,0.3045870065689087,0.06600452214479446,0.13437435030937195,0.13224096596240997
fairgrounds,0.16354188323020935,0.2958509624004364,0.28842517733573914,0.3045870065689087,1.0,0.25403067469596863,0.19897808134555817,0.124577596783638
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2749030292034149,0.2958509624004364,0.23679393529891968,0.3677520453929901,0.18412111699581146
also,0.42747777700424194,0.4032125174999237,0.6021018624305725,0.2253323197364807,0.3264065682888031,0.45273035764694214,0.5774298906326294,0.21848613023757935
utilized,0.19048070907592773,0.17620034515857697,0.21133577823638916,0.12390350550413132,0.21143899857997894,0.3838517367839813,0.3066048324108124,0.13304418325424194
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.13437435030937195,0.19897808134555817,0.35160550475120544,1.0,0.27043893933296204
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.15491461753845215,0.1994772106409073,0.25728896260261536,0.37218472361564636,0.19793890416622162
assembly,0.21462371945381165,0.2233278602361679,0.2524827718734741,0.1641770601272583,0.1770157814025879,0.1046011820435524,0.19193221628665924,0.1488889455795288
center,0.1908310204744339,0.19517986476421356,0.29064592719078064,0.26067841053009033,0.2040521651506424,0.1282791942358017,0.20052886009216309,0.12538520991802216
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2480216920375824,0.28722864389419556,0.33111312985420227,0.515582263469696,0.4130953550338745
