,who,first,played,the,master,in,the,2007,series,?
following,0.1758657693862915,0.27108168601989746,0.11323175579309464,0.39779382944107056,0.1239854246377945,0.355264812707901,0.39779382944107056,-0.09951762855052948,0.1420508325099945,0.1555173695087433
the,0.3733934462070465,0.49448907375335693,0.2603478729724884,1.0,0.19769129157066345,0.6662389636039734,1.0,-0.23657195270061493,0.31376904249191284,0.22068053483963013
series,0.21484537422657013,0.3264976441860199,0.30888867378234863,0.31376904249191284,0.203135147690773,0.2914260923862457,0.31376904249191284,-0.07742132991552353,1.0000001192092896,0.1709602326154709
revival,0.1408388912677765,0.2658042013645172,0.22706292569637299,0.30452626943588257,0.16481631994247437,0.2631177604198456,0.30452626943588257,-0.1785738617181778,0.22159305214881897,0.09967152029275894
in,0.2792111933231354,0.4127444326877594,0.27605336904525757,0.6662389636039734,0.17882928252220154,1.0,0.6662389636039734,-0.2201838344335556,0.2914260923862457,0.20430970191955566
2005,0.18423187732696533,0.12547817826271057,0.055829521268606186,0.037273142486810684,0.014813080430030823,0.009931974112987518,0.037273142486810684,-0.14732033014297485,0.04714697599411011,0.10709824413061142
",",0.3365725874900818,0.34503069519996643,0.2987361550331116,0.4933079481124878,0.21451058983802795,0.5201468467712402,0.4933079481124878,-0.24049624800682068,0.24060699343681335,0.31091248989105225
derek,0.2506474256515503,0.19930654764175415,0.23817913234233856,0.1775311827659607,0.15282148122787476,0.17219124734401703,0.1775311827659607,-0.01978847198188305,0.2563266456127167,0.056949060410261154
jacobi,0.27956631779670715,0.20998789370059967,0.15540564060211182,0.2218666821718216,0.2416120171546936,0.22373560070991516,0.2218666821718216,-0.24017466604709625,0.30905675888061523,0.05481216311454773
provided,0.18789203464984894,0.21587474644184113,0.1000853106379509,0.304488867521286,0.18493418395519257,0.19033823907375336,0.304488867521286,-0.15147237479686737,0.15104477107524872,0.16893617808818817
the,0.3733934462070465,0.49448907375335693,0.2603478729724884,1.0,0.19769129157066345,0.6662389636039734,1.0,-0.23657195270061493,0.31376904249191284,0.22068053483963013
character,0.31209835410118103,0.24174492061138153,0.32860106229782104,0.25992274284362793,0.2804926633834839,0.20910993218421936,0.25992274284362793,-0.015368936583399773,0.47117695212364197,0.18056271970272064
's,0.05599616840481758,-0.014458609744906425,0.03920676186680794,-0.01540423184633255,0.025999123230576515,-0.037580832839012146,-0.01540423184633255,-0.07339024543762207,0.0006390819908119738,-0.023395681753754616
re-introduction,0.18917793035507202,0.3176652789115906,0.21425147354602814,0.33405065536499023,0.17310740053653717,0.256239652633667,0.33405065536499023,-0.1185368001461029,0.2593044936656952,0.2511938810348511
in,0.2792111933231354,0.4127444326877594,0.27605336904525757,0.6662389636039734,0.17882928252220154,1.0,0.6662389636039734,-0.2201838344335556,0.2914260923862457,0.20430970191955566
the,0.3733934462070465,0.49448907375335693,0.2603478729724884,1.0,0.19769129157066345,0.6662389636039734,1.0,-0.23657195270061493,0.31376904249191284,0.22068053483963013
2007,-0.29352980852127075,-0.1861371099948883,-0.14392855763435364,-0.23657195270061493,-0.11676833033561707,-0.2201838344335556,-0.23657195270061493,1.0,-0.07742132991552353,-0.1664225310087204
episode,0.2015407234430313,0.24243572354316711,0.21416600048542023,0.25342556834220886,0.15201608836650848,0.19184806942939758,0.25342556834220886,-0.05869944766163826,0.4687832295894623,0.23978739976882935
``,0.02397952415049076,0.006519378628581762,0.03955623880028725,0.029072100296616554,-0.03940471634268761,0.04765888676047325,0.029072100296616554,0.041756823658943176,-0.08478077501058578,0.0685480609536171
utopia,0.14918269217014313,0.24260276556015015,0.1206379160284996,0.24882972240447998,0.2386064976453781,0.24746137857437134,0.24882972240447998,-0.10377481579780579,0.25920578837394714,0.12065300345420837
'',0.024401003494858742,-0.03874251991510391,-0.062275923788547516,0.041273195296525955,0.01090412586927414,0.07432962208986282,0.041273195296525955,-0.002170342719182372,-0.014226003549993038,0.018684765323996544
.,0.3541337847709656,0.4345304071903229,0.2876244783401489,0.5934505462646484,0.16851933300495148,0.5591574311256409,0.5934505462646484,-0.216732457280159,0.3121925890445709,0.4130953550338745
,who,first,played,the,master,in,the,2007,series,?
during,0.30551859736442566,0.45377472043037415,0.2763521671295166,0.4838213622570038,0.16031759977340698,0.4627237319946289,0.4838213622570038,-0.2134939432144165,0.25247013568878174,0.1325719803571701
that,0.45444270968437195,0.3482176661491394,0.16256408393383026,0.5473989248275757,0.20576514303684235,0.435920387506485,0.5473989248275757,-0.18422195315361023,0.24595457315444946,0.32716336846351624
story,0.3106299340724945,0.29524773359298706,0.15694919228553772,0.2915393114089966,0.20022334158420563,0.22475379705429077,0.2915393114089966,-0.1714986264705658,0.33172938227653503,0.2304346114397049
the,0.3733934462070465,0.49448907375335693,0.2603478729724884,1.0,0.19769129157066345,0.6662389636039734,1.0,-0.23657195270061493,0.31376904249191284,0.22068053483963013
role,0.2767873704433441,0.24300086498260498,0.3676716685295105,0.26607486605644226,0.17441819608211517,0.243671715259552,0.26607486605644226,-0.12379308044910431,0.34679755568504333,0.18676944077014923
was,0.3318818509578705,0.5022147297859192,0.3139837682247162,0.48711544275283813,0.20155122876167297,0.45514053106307983,0.48711544275283813,-0.29168957471847534,0.2261398285627365,0.18412111699581146
then,0.29952746629714966,0.38077428936958313,0.23099550604820251,0.4297412931919098,0.191698357462883,0.36253848671913147,0.4297412931919098,-0.13574530184268951,0.2349591702222824,0.2884598970413208
assumed,0.24518311023712158,0.1632564812898636,0.14459826052188873,0.25453677773475647,0.16437998414039612,0.20372121036052704,0.25453677773475647,-0.18700258433818817,0.1060788631439209,0.2463492453098297
by,0.39727845788002014,0.3877052962779999,0.1480340212583542,0.4408751428127289,0.21067877113819122,0.370934396982193,0.4408751428127289,-0.14437821507453918,0.267352432012558,0.17966607213020325
john,0.30388808250427246,0.2870165705680847,0.18034817278385162,0.2230520099401474,0.17568328976631165,0.22177861630916595,0.2230520099401474,-0.14290308952331543,0.1876005083322525,0.13162356615066528
simm,0.19704192876815796,0.2836436927318573,0.25642406940460205,0.26393428444862366,0.26240864396095276,0.31546562910079956,0.26393428444862366,-0.12897714972496033,0.3296423554420471,0.15638558566570282
who,0.9999998807907104,0.39065709710121155,0.26104769110679626,0.3733934462070465,0.3010654151439667,0.2792111933231354,0.3733934462070465,-0.29352980852127075,0.21484537422657013,0.26220351457595825
returned,0.23187772929668427,0.3118405342102051,0.3000847101211548,0.32857778668403625,0.17710493505001068,0.341925710439682,0.32857778668403625,-0.1831223964691162,0.2319052815437317,0.07695316523313522
