,who,was,at,the,receiving,end,of,a,22-yard,pass,from,peyton,manning,?
denver,0.20955970883369446,0.2766761779785156,0.18947194516658783,0.2052404284477234,0.16439110040664673,0.15781165659427643,0.14595118165016174,0.179859921336174,0.20613938570022583,0.16917091608047485,0.1697966605424881,0.38455939292907715,0.36400365829467773,0.1520889848470688
took,0.2481452226638794,0.48213186860084534,0.28618431091308594,0.31657639145851135,0.15255051851272583,0.1624862402677536,0.2766268849372864,0.18697012960910797,0.1841849833726883,0.10032956302165985,0.2382442206144333,0.20924805104732513,0.18411393463611603,0.14109265804290771
the,0.3733934462070465,0.48711544275283813,0.457212895154953,1.0,0.3056924641132355,0.39658910036087036,0.733189046382904,0.5829201340675354,0.28675422072410583,0.25961899757385254,0.40150508284568787,0.2709864377975464,0.27058160305023193,0.22068053483963013
opening,0.12329958379268646,0.20817555487155914,0.25734835863113403,0.37298497557640076,0.2986857295036316,0.36104637384414673,0.2651100158691406,0.2575104236602783,0.2318570464849472,0.2594235837459564,0.2103152573108673,0.2150452733039856,0.24547283351421356,0.16502447426319122
kickoff,0.15115003287792206,0.17736835777759552,0.2374885231256485,0.17987047135829926,0.29295429587364197,0.2109704464673996,0.14199039340019226,0.2637993097305298,0.28062787652015686,0.2549406588077545,0.18387015163898468,0.38470762968063354,0.45715853571891785,0.1969275325536728
and,0.41279885172843933,0.3740963041782379,0.3571503460407257,0.5171257257461548,0.26229605078697205,0.24708716571331024,0.5116966962814331,0.3739250600337982,0.26926639676094055,0.2433357536792755,0.3601827025413513,0.27112144231796265,0.2638654112815857,0.20544172823429108
started,0.2424432635307312,0.44883424043655396,0.2973955571651459,0.3222070634365082,0.13508187234401703,0.2746221721172333,0.22928385436534882,0.29961374402046204,0.1684580296278,0.0926477462053299,0.24582429230213165,0.16369487345218658,0.2606656551361084,0.19447724521160126
out,0.3129808306694031,0.28168347477912903,0.2881071865558624,0.39404502511024475,0.2333742082118988,0.2993822693824768,0.34176841378211975,0.34264278411865234,0.2689812183380127,0.18695145845413208,0.3196950852870941,0.2924584746360779,0.2759818434715271,0.22020699083805084
strong,0.2281126081943512,0.21312883496284485,0.09668504446744919,0.22482411563396454,0.1383066177368164,0.14484180510044098,0.2524286210536957,0.3321513831615448,0.11638004332780838,0.16807568073272705,0.1937749981880188,0.16783413290977478,0.12544776499271393,0.11990999430418015
with,0.3282766342163086,0.27411898970603943,0.29126521944999695,0.4223487675189972,0.2914181649684906,0.23444485664367676,0.41827285289764404,0.3783375024795532,0.17365099489688873,0.16526761651039124,0.26272761821746826,0.23540177941322327,0.18539859354496002,0.2433311939239502
peyton,0.2135157585144043,0.30385082960128784,0.15740567445755005,0.2709864377975464,0.285719633102417,0.21431435644626617,0.19771021604537964,0.298135370016098,0.422611802816391,0.1886221468448639,0.12201179563999176,1.0,0.5102329254150391,0.17519715428352356
manning,0.33436715602874756,0.2607507109642029,0.2622990310192108,0.27058160305023193,0.35762423276901245,0.2056039273738861,0.20024974644184113,0.2509649395942688,0.3400590121746063,0.28301873803138733,0.23143106698989868,0.5102329254150391,0.9999998807907104,0.15856626629829407
completing,0.19982856512069702,0.2271517664194107,0.2493828535079956,0.31240642070770264,0.40278947353363037,0.2776855230331421,0.3180260956287384,0.30359724164009094,0.23740731179714203,0.287808895111084,0.24231864511966705,0.2694849371910095,0.350315660238266,0.08928072452545166
an,0.2848317325115204,0.3694365322589874,0.2446778565645218,0.4207492768764496,0.1481393426656723,0.1506708711385727,0.32280945777893066,0.44552403688430786,0.15763339400291443,0.13785582780838013,0.20876385271549225,0.21706625819206238,0.22683030366897583,0.19793890416622162
