,what,does,the,sector,known,as,jua,kali,engage,in,?
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.2731133699417114,0.32641831040382385,0.3887844979763031,0.2017209529876709,0.17871424555778503,0.1813567876815796,1.0,0.20430970191955566
addition,0.20643717050552368,0.29091760516166687,0.32955414056777954,0.22784675657749176,0.24445278942584991,0.3581290543079376,0.09806934744119644,0.08497830480337143,0.19027119874954224,0.3033084571361542,0.19187232851982117
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.23930709064006805,0.3604377806186676,0.48816442489624023,0.25943559408187866,0.2198268473148346,0.23676002025604248,0.5201468467712402,0.31091248989105225
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.2846032977104187,0.30882248282432556,0.39550232887268066,0.20507647097110748,0.1923116147518158,0.22857552766799927,0.539380669593811,0.23916715383529663
substantial,0.33448854088783264,0.31330743432044983,0.32639044523239136,0.3729090094566345,0.146114781498909,0.23117534816265106,0.059092119336128235,0.12475202232599258,0.22835353016853333,0.248609721660614,0.25194647908210754
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.3108142912387848,0.3468935489654541,0.49487000703811646,0.1965729296207428,0.1935197412967682,0.22515226900577545,0.4954058527946472,0.20544172823429108
expanding,0.34628334641456604,0.26867640018463135,0.3361387550830841,0.2685745060443878,0.20275472104549408,0.30980950593948364,0.07394944131374359,0.06978940963745117,0.18010717630386353,0.2770040035247803,0.23633244633674622
informal,0.31096258759498596,0.24058976769447327,0.24695700407028198,0.18349309265613556,0.2641099989414215,0.244568333029747,0.13486333191394806,0.17361585795879364,0.23480457067489624,0.2039051353931427,0.17082542181015015
sector,0.18244388699531555,0.18398194015026093,0.27798449993133545,1.0000001192092896,0.13407528400421143,0.18900609016418457,0.08222226798534393,0.09711620956659317,0.2777162194252014,0.2731133699417114,0.06294605135917664
commonly,0.18122613430023193,0.15731781721115112,0.2974449694156647,0.15002307295799255,0.4381987154483795,0.3544585108757019,0.08518537133932114,0.19514428079128265,0.13007766008377075,0.2769457697868347,0.13546277582645416
referred,0.16724665462970734,0.18253286182880402,0.3088674545288086,0.18567116558551788,0.5037624835968018,0.37252211570739746,0.0920737087726593,0.1564711332321167,0.2087513953447342,0.24766652286052704,0.06677805632352829
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.25943341851234436,0.14337651431560516,0.42092081904411316,0.22579556703567505,0.18489864468574524,0.2313132882118225,0.45010748505592346,0.29463258385658264
as,0.31749409437179565,0.31202155351638794,0.48381632566452026,0.18900609016418457,0.4815765619277954,1.0,0.1768854558467865,0.20477977395057678,0.21521128714084625,0.3887844979763031,0.27043893933296204
