,what,are,the,molecular,inputs,for,photosynthesis,?
one,0.376489520072937,0.42537835240364075,0.5514441132545471,0.21561089158058167,0.25675731897354126,0.384836345911026,0.2377135008573532,0.2673267424106598
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.28562790155410767,0.1601388305425644,0.4185989499092102,0.26824626326560974,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.23136529326438904,0.20493915677070618,0.4739971458911896,0.27159422636032104,0.22068053483963013
main,0.2344268560409546,0.2828797399997711,0.38631999492645264,0.15340803563594818,0.18897303938865662,0.27491986751556396,0.16306090354919434,0.1665669083595276
functions,0.22357098758220673,0.3295574486255646,0.2567043900489807,0.29284700751304626,0.4792235791683197,0.26696184277534485,0.3235143721103668,0.13745930790901184
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.28562790155410767,0.1601388305425644,0.4185989499092102,0.26824626326560974,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.23136529326438904,0.20493915677070618,0.4739971458911896,0.27159422636032104,0.22068053483963013
chloroplast,0.23505516350269318,0.26561424136161804,0.21317854523658752,0.4841488301753998,0.3551664352416992,0.20160506665706635,0.7105150818824768,0.12532055377960205
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.2143259346485138,0.26519352197647095,0.43268078565597534,0.22769613564014435,0.22961433231830597
its,0.30393704771995544,0.30942749977111816,0.559237003326416,0.19540397822856903,0.21621260046958923,0.2992613911628723,0.2777688801288605,0.15103481709957123
role,0.22614215314388275,0.1439027637243271,0.26607486605644226,0.16790683567523956,0.1896769106388092,0.34694939851760864,0.2296198457479477,0.18676944077014923
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.23809398710727692,0.11768590658903122,0.4322226941585541,0.2557604908943176,0.20430970191955566
photosynthesis,0.261831134557724,0.30001193284988403,0.27159422636032104,0.5203757882118225,0.37427204847335815,0.23681029677391052,0.9999999403953552,0.1871609091758728
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.22274190187454224,0.20610807836055756,0.4464869201183319,0.22675302624702454,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,1.0,0.23136529326438904,0.20493915677070618,0.4739971458911896,0.27159422636032104,0.22068053483963013
process,0.3466717302799225,0.23280955851078033,0.264274537563324,0.2546370327472687,0.35293009877204895,0.3253439664840698,0.4415677785873413,0.2460896074771881
by,0.2455483376979828,0.37842893600463867,0.4408751428127289,0.17776216566562653,0.21859458088874817,0.3248702883720398,0.2082122266292572,0.17966607213020325
which,0.5261979103088379,0.42922598123550415,0.6521818041801453,0.28664806485176086,0.3146323263645172,0.44095608592033386,0.4035046100616455,0.25814583897590637
light,0.22953972220420837,0.21304044127464294,0.2649136185646057,0.17686453461647034,0.19894477725028992,0.21351271867752075,0.4307017922401428,0.17429810762405396
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.2143259346485138,0.26519352197647095,0.43268078565597534,0.22769613564014435,0.22961433231830597
transformed,0.1665840744972229,0.1751030832529068,0.2591012716293335,0.13183550536632538,0.25386589765548706,0.2062729448080063,0.246495321393013,0.08252272009849548
into,0.2180619090795517,0.2930682599544525,0.39493247866630554,0.14249858260154724,0.14978069067001343,0.231735959649086,0.26107364892959595,0.15662476420402527
chemical,0.26249468326568604,0.2260693907737732,0.18641819059848785,0.4300926625728607,0.32206064462661743,0.23266151547431946,0.4647919833660126,0.2040288895368576
energy,0.190252885222435,0.24820072948932648,0.26756542921066284,0.33562567830085754,0.2653549015522003,0.21083484590053558,0.5107198357582092,0.14860127866268158
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.22274190187454224,0.20610807836055756,0.4464869201183319,0.22675302624702454,0.31091248989105225
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.22402936220169067,0.25518661737442017,0.4451248347759247,0.30760520696640015,0.29463258385658264
subsequently,0.10897690057754517,0.08722323179244995,0.2886511981487274,0.11989966034889221,0.10466006398200989,0.21990278363227844,0.16344571113586426,0.005594457965344191
produce,0.1685742735862732,0.3308704197406769,0.23457570374011993,0.208359032869339,0.33749890327453613,0.24403390288352966,0.5029282569885254,0.19229066371917725
food,0.23540689051151276,0.26481935381889343,0.3025728166103363,0.18748843669891357,0.15682511031627655,0.3431052565574646,0.3755439519882202,0.15376032888889313
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.23809398710727692,0.11768590658903122,0.4322226941585541,0.2557604908943176,0.20430970191955566
the,0.42745697498321533,0.40399202704429626,1.0,0.23136529326438904,0.20493915677070618,0.4739971458911896,0.27159422636032104,0.22068053483963013
form,0.15868011116981506,0.29983413219451904,0.29286009073257446,0.23858703672885895,0.2533178925514221,0.2342945635318756,0.23526525497436523,0.1463010311126709
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.28562790155410767,0.1601388305425644,0.4185989499092102,0.26824626326560974,0.1826142966747284
sugars,0.2835851311683655,0.3438853919506073,0.2764650881290436,0.4285804331302643,0.31613078713417053,0.20731380581855774,0.6156814694404602,0.18126407265663147
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.2511174976825714,0.2073320746421814,0.4726039469242096,0.26637518405914307,0.4130953550338745
