,what,weapon,does,spike,milligan,use,against,a,dalek,?
doctor,0.20870667695999146,0.13482867181301117,0.17192082107067108,0.2015160173177719,0.26426494121551514,0.142633855342865,0.12334423512220383,0.22883038222789764,0.3300686180591583,0.1462511420249939
who,0.40942975878715515,0.2368467003107071,0.25013914704322815,0.2108869105577469,0.21347562968730927,0.2265424281358719,0.2942115366458893,0.36608949303627014,0.26398393511772156,0.26220351457595825
has,0.20338068902492523,0.15094821155071259,0.42885294556617737,0.2134912759065628,0.16424958407878876,0.2701425552368164,0.20978227257728577,0.4670248031616211,0.16414664685726166,0.15994466841220856
been,0.2567804455757141,0.15999247133731842,0.22925697267055511,0.20915091037750244,0.17970450222492218,0.27338850498199463,0.15748360753059387,0.3315402865409851,0.2411154806613922,0.24354910850524902
satirised,0.23037366569042206,0.18623335659503937,0.15872175991535187,0.2524191439151764,0.2226662039756775,0.12760093808174133,0.1962476223707199,0.23256850242614746,0.21124829351902008,0.13476912677288055
and,0.31309178471565247,0.20545260608196259,0.3461615741252899,0.2501998543739319,0.24991579353809357,0.34145063161849976,0.3292689621448517,0.3739250600337982,0.19318579137325287,0.20544172823429108
spoofed,0.2546985447406769,0.2166900783777237,0.2672894299030304,0.3621392250061035,0.37855738401412964,0.2547515034675598,0.1634192317724228,0.2645852565765381,0.33113735914230347,0.2809530794620514
on,0.34226128458976746,0.15836651623249054,0.2568802833557129,0.23302137851715088,0.20983248949050903,0.2776605486869812,0.3163113296031952,0.3848365545272827,0.2356066107749939,0.2714994251728058
many,0.36131182312965393,0.21025291085243225,0.30303922295570374,0.2074941098690033,0.19043052196502686,0.3544585704803467,0.23851439356803894,0.2872205972671509,0.15523667633533478,0.2124512493610382
occasions,0.17083269357681274,0.14822900295257568,0.26350194215774536,0.15149639546871185,0.15865205228328705,0.23404812812805176,0.2885079085826874,0.20875661075115204,0.19533470273017883,0.1868991255760193
by,0.2455483376979828,0.17362858355045319,0.143477201461792,0.2506600618362427,0.1723908931016922,0.21048003435134888,0.24816733598709106,0.32094135880470276,0.15671803057193756,0.17966607213020325
