,in,what,year,did,the,first,abc,identification,card,have,a,3d,appearance,?
among,0.3211768567562103,0.21154822409152985,0.16053339838981628,0.2415449470281601,0.3507058024406433,0.20464862883090973,0.06692434847354889,0.22969840466976166,0.1509476602077484,0.3610895574092865,0.1789381206035614,-0.0009056038688868284,0.15450650453567505,0.14343059062957764
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.49448907375335693,0.2068762183189392,0.3052813708782196,0.17683711647987366,0.40389683842658997,0.5829201340675354,0.05584833770990372,0.2678116261959076,0.22068053483963013
``,0.04765888676047325,0.008517155423760414,0.050706423819065094,-0.029888948425650597,0.029072100296616554,0.006519378628581762,-0.04806871339678764,0.09056845307350159,-0.04569616913795471,0.1022237241268158,0.07272057235240936,-0.05022338777780533,-0.026068808510899544,0.0685480609536171
abc,0.1697147786617279,0.1317344456911087,0.2373921275138855,0.13353709876537323,0.2068762183189392,0.2403600513935089,1.0000001192092896,0.12506003677845,0.09525087475776672,0.1884228140115738,0.21331243216991425,0.11228565126657486,0.2644706666469574,0.19065172970294952
circle,0.17189548909664154,0.13595280051231384,0.08448120206594467,0.12245865911245346,0.22970527410507202,0.13764412701129913,0.0819765031337738,0.13133589923381805,0.1878480613231659,0.13608752191066742,0.18641255795955658,0.1834741234779358,0.05319981649518013,0.08528484404087067
'',0.07432962208986282,0.08143015950918198,-0.01924106478691101,0.01978493109345436,0.041273195296525955,-0.03874251991510391,-0.05768610164523125,-0.03481161221861839,0.0835120901465416,0.0312618687748909,0.04890415817499161,0.04104437306523323,0.04981464520096779,0.018684765323996544
logo,0.1848117560148239,0.21781428158283234,0.1291922628879547,0.13651727139949799,0.2806010842323303,0.1942633092403412,0.23574566841125488,0.2779700458049774,0.20899832248687744,0.20113801956176758,0.21248295903205872,0.1912539154291153,0.24295267462730408,0.23347119987010956
's,-0.037580832839012146,0.02692362666130066,-0.04087831452488899,0.05069678649306297,-0.01540423184633255,-0.014458609744906425,0.06670809537172318,-0.05840081349015236,0.1059703603386879,-0.02807004563510418,0.04866964742541313,0.038413818925619125,0.060523033142089844,-0.023395681753754616
many,0.41474202275276184,0.36131182312965393,0.21933086216449738,0.375588983297348,0.4335206151008606,0.2931244373321533,0.18267793953418732,0.24685293436050415,0.17205263674259186,0.5841760635375977,0.2872205972671509,-0.036174144595861435,0.2333027571439743,0.2124512493610382
variants,0.17982091009616852,0.15992575883865356,0.10868851095438004,0.14840494096279144,0.18669377267360687,0.1803106814622879,0.16012467443943024,0.31400689482688904,0.21130745112895966,0.2689092755317688,0.2763238847255707,0.1198512464761734,0.22101430594921112,0.19235283136367798
