,what,stone,was,used,for,the,staircase,designed,by,j.w,.,wild,?
wild,0.1925092190504074,0.1417827308177948,0.11624568700790405,0.1848451942205429,0.18560998141765594,0.2266727238893509,0.13459141552448273,0.10060837119817734,0.11490882188081741,0.09575361013412476,0.24470828473567963,1.0000001192092896,0.1359478384256363
designed,0.15902110934257507,0.2161262333393097,0.28384989500045776,0.4257775843143463,0.22817277908325195,0.2559613883495331,0.29792484641075134,1.0,0.29250532388687134,0.06600390374660492,0.24422594904899597,0.10060837119817734,0.11213942617177963
the,0.42745697498321533,0.2695024907588959,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.2632751762866974,0.2559613883495331,0.4408751428127289,0.0773848369717598,0.5934505462646484,0.2266727238893509,0.22068053483963013
impressive,0.2904619872570038,0.20482739806175232,0.19000840187072754,0.18337543308734894,0.31834688782691956,0.2336897850036621,0.24450334906578064,0.18821844458580017,0.17443375289440155,0.005531386937946081,0.238035649061203,0.15843947231769562,0.20495615899562836
staircase,0.11495322734117508,0.30723246932029724,0.203452929854393,0.24337872862815857,0.1635982245206833,0.2632751762866974,1.0,0.29792484641075134,0.19827991724014282,0.055992454290390015,0.17429940402507782,0.13459141552448273,0.08615380525588989
that,0.6297725439071655,0.22732560336589813,0.33670201897621155,0.37621384859085083,0.4137635827064514,0.5473989248275757,0.20071059465408325,0.270294189453125,0.37496164441108704,0.056387029588222504,0.4460422694683075,0.22355607151985168,0.32716336846351624
rises,0.2148563712835312,0.17603600025177002,0.17768354713916779,0.13565444946289062,0.12726572155952454,0.36140236258506775,0.21361370384693146,0.16627192497253418,0.14683926105499268,0.03892793133854866,0.2171778678894043,0.17059054970741272,0.10003364086151123
the,0.42745697498321533,0.2695024907588959,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.2632751762866974,0.2559613883495331,0.4408751428127289,0.0773848369717598,0.5934505462646484,0.2266727238893509,0.22068053483963013
full,0.20298334956169128,0.18834105134010315,0.1574539840221405,0.23587197065353394,0.2962910830974579,0.2988807260990143,0.13141973316669464,0.20500031113624573,0.16102208197116852,0.04507678747177124,0.23337839543819427,0.08743295818567276,0.168479785323143
height,0.2337305247783661,0.1973586231470108,0.1334953010082245,0.2304854393005371,0.17956995964050293,0.2694929540157318,0.31990867853164673,0.20641030371189117,0.14100788533687592,-0.05693325027823448,0.2575502097606659,0.16845743358135223,0.1599798947572708
