,what,were,the,national,elections,in,1991,canceled,by,?
the,0.42745697498321533,0.3906462490558624,1.0,0.32739606499671936,0.23646192252635956,0.6662389636039734,0.002508036559447646,0.24497857689857483,0.4408751428127289,0.22068053483963013
fis,0.13694386184215546,0.12129829823970795,0.2955470383167267,0.22673971951007843,0.2311353087425232,0.26741597056388855,-0.018164781853556633,0.21528662741184235,0.1904708743095398,0.15495842695236206
won,0.14840687811374664,0.26106932759284973,0.29432493448257446,0.24765413999557495,0.3165067136287689,0.3280489146709442,0.11485661566257477,0.2092691957950592,0.17499594390392303,0.17925700545310974
sweeping,0.20016790926456451,0.2259848564863205,0.31159794330596924,0.14768099784851074,0.10521525889635086,0.21400758624076843,-0.058849215507507324,0.13694962859153748,0.17477643489837646,0.16708126664161682
victories,0.10316187888383865,0.34032875299453735,0.2910241186618805,0.2541446387767792,0.3210170865058899,0.24191150069236755,0.08222479373216629,0.26523831486701965,0.2033192366361618,0.0986572653055191
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.28915393352508545,0.2604275643825531,1.0,0.0019440409960225224,0.22414077818393707,0.370934396982193,0.20430970191955566
local,0.18981902301311493,0.16442985832691193,0.2130540907382965,0.23144909739494324,0.26865747570991516,0.2223825752735138,0.003912242595106363,0.14102841913700104,0.17162570357322693,0.15022775530815125
elections,0.2432289719581604,0.23450468480587006,0.23646192252635956,0.18435390293598175,1.0,0.2604275643825531,0.2652742862701416,0.29125744104385376,0.2105640172958374,0.2319818139076233
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.2608908712863922,0.21463163197040558,0.4954058527946472,-0.0026356412563472986,0.2440541386604309,0.4289871156215668,0.20544172823429108
it,0.45803478360176086,0.25487732887268066,0.6251175999641418,0.16561564803123474,0.20681452751159668,0.5130809545516968,0.025852780789136887,0.21881838142871857,0.40926623344421387,0.25732165575027466
was,0.22111038863658905,0.590133786201477,0.48711544275283813,0.2433898150920868,0.26122042536735535,0.45514053106307983,0.12848040461540222,0.35665977001190186,0.4752357602119446,0.18412111699581146
going,0.5222549438476562,0.22389309108257294,0.38693177700042725,0.14405293762683868,0.2093089371919632,0.2837577760219574,0.16241829097270966,0.34534233808517456,0.17666931450366974,0.3252600431442261
to,0.455847829580307,0.31913647055625916,0.535392165184021,0.21067756414413452,0.23835663497447968,0.45010748505592346,0.11084804683923721,0.26917052268981934,0.33534231781959534,0.29463258385658264
win,0.15653561055660248,0.20955902338027954,0.28308698534965515,0.22418774664402008,0.2889236807823181,0.2503834664821625,0.13862600922584534,0.20531006157398224,0.1426505446434021,0.1873117983341217
national,0.16882304847240448,0.13822269439697266,0.32739606499671936,1.0000001192092896,0.18435390293598175,0.28915393352508545,0.05402299016714096,0.13646727800369263,0.19307640194892883,0.15643028914928436
elections,0.2432289719581604,0.23450468480587006,0.23646192252635956,0.18435390293598175,1.0,0.2604275643825531,0.2652742862701416,0.29125744104385376,0.2105640172958374,0.2319818139076233
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.28915393352508545,0.2604275643825531,1.0,0.0019440409960225224,0.22414077818393707,0.370934396982193,0.20430970191955566
1991,0.15930123627185822,0.044018298387527466,0.002508036559447646,0.05402299016714096,0.2652742862701416,0.0019440409960225224,1.0,0.018565814942121506,0.0006231737206690013,0.175977423787117
when,0.4700249433517456,0.29649975895881653,0.5091903209686279,0.1649656444787979,0.26424795389175415,0.4431333839893341,0.05683831870555878,0.23183582723140717,0.4376842677593231,0.22841128706932068
voting,0.32501840591430664,0.2310219556093216,0.26425203680992126,0.16075165569782257,0.5500785112380981,0.21573682129383087,0.14333464205265045,0.22563691437244415,0.1886349767446518,0.31114646792411804
was,0.22111038863658905,0.590133786201477,0.48711544275283813,0.2433898150920868,0.26122042536735535,0.45514053106307983,0.12848040461540222,0.35665977001190186,0.4752357602119446,0.18412111699581146
canceled,0.20596422255039215,0.26992279291152954,0.24497857689857483,0.13646727800369263,0.29125744104385376,0.22414077818393707,0.018565814942121506,0.9999998807907104,0.22037123143672943,0.15313391387462616
by,0.2455483376979828,0.4406847059726715,0.4408751428127289,0.19307640194892883,0.2105640172958374,0.370934396982193,0.0006231737206690013,0.22037123143672943,1.0000001192092896,0.17966607213020325
a,0.3320399522781372,0.17203083634376526,0.5829201340675354,0.27889734506607056,0.21575452387332916,0.539380669593811,0.005962178576737642,0.2089352160692215,0.32094135880470276,0.23916715383529663
military,0.18809624016284943,0.21322216093540192,0.2290858030319214,0.26839813590049744,0.28424498438835144,0.2402431070804596,0.26376914978027344,0.14575354754924774,0.2170676290988922,0.1890317052602768
coup,0.13286037743091583,0.1846303939819336,0.2058817744255066,0.19784629344940186,0.37255558371543884,0.19842416048049927,0.19576190412044525,0.2410770207643509,0.20677876472473145,0.1414787918329239
d'état,0.13300767540931702,0.16684560477733612,0.2186051458120346,0.2508787512779236,0.3383947014808655,0.23295454680919647,0.10022273659706116,0.2848002314567566,0.200516939163208,0.146473690867424
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.29436907172203064,0.27339601516723633,0.5591574311256409,0.07545287907123566,0.21965299546718597,0.3936232924461365,0.4130953550338745
