,where,has,there,been,very,well-known,cases,of,teacher,misconduct,?
in,0.5344807505607605,0.4173259735107422,0.5361666083335876,0.3515113592147827,0.3209688663482666,0.3692159652709961,0.24487079679965973,0.5696388483047485,0.22632350027561188,0.2310483604669571,0.20430970191955566
the,0.5003893971443176,0.4177538752555847,0.47025805711746216,0.3563927710056305,0.34171217679977417,0.4269336760044098,0.33415094017982483,0.733189046382904,0.17760860919952393,0.21778301894664764,0.22068053483963013
united,0.23721055686473846,0.17934498190879822,0.19206386804580688,0.21903765201568604,0.13943950831890106,0.2868567705154419,0.23023490607738495,0.3187655806541443,0.10793673992156982,0.25402742624282837,0.17266890406608582
states,0.24649012088775635,0.1958659142255783,0.22680425643920898,0.20674076676368713,0.18984487652778625,0.22180601954460144,0.2828807532787323,0.30884552001953125,0.10931280255317688,0.28496262431144714,0.16272737085819244
especially,0.40942129492759705,0.2626020014286041,0.37575486302375793,0.36241304874420166,0.5672400593757629,0.23491090536117554,0.39223217964172363,0.37220633029937744,0.22534964978694916,0.27235183119773865,0.19751401245594025
",",0.3149496018886566,0.3734780251979828,0.4587128460407257,0.34873589873313904,0.34709087014198303,0.4223858118057251,0.25102201104164124,0.4946078956127167,0.2884024977684021,0.22722238302230835,0.31091248989105225
several,0.32044100761413574,0.4080820679664612,0.3924906849861145,0.5172662734985352,0.3615834414958954,0.32171085476875305,0.2543890178203583,0.3271615505218506,0.10034383088350296,0.2088218629360199,0.15595775842666626
high-profile,0.2739904820919037,0.2530307173728943,0.22497870028018951,0.17763684689998627,0.25814226269721985,0.30943048000335693,0.19473715126514435,0.282701700925827,0.1666310727596283,0.21812555193901062,0.22897151112556458
cases,0.33507591485977173,0.29818248748779297,0.3664475679397583,0.3144885301589966,0.30472108721733093,0.15791000425815582,1.0,0.31000128388404846,0.07807829976081848,0.3576526939868927,0.25599566102027893
such,0.3198639750480652,0.26101309061050415,0.40646296739578247,0.33591920137405396,0.34994474053382874,0.2854830026626587,0.3680051267147064,0.3209529519081116,0.174470454454422,0.21203190088272095,0.17851735651493073
as,0.35409465432167053,0.351646363735199,0.33535557985305786,0.3975982367992401,0.3734530210494995,0.4769817590713501,0.2877117991447449,0.3886612355709076,0.27420735359191895,0.2141023427248001,0.27043893933296204
debra,0.16229583323001862,0.1603170782327652,0.09505070745944977,0.15811745822429657,0.1250132918357849,0.2729693055152893,0.04500715807080269,0.14901778101921082,0.2808705270290375,0.16682879626750946,0.14912204444408417
lafave,0.29799073934555054,0.1859421730041504,0.1981991082429886,0.20940512418746948,0.2748846113681793,0.37300872802734375,0.1679927110671997,0.28166407346725464,0.23706723749637604,0.22745652496814728,0.27401894330978394
",",0.3149496018886566,0.3734780251979828,0.4587128460407257,0.34873589873313904,0.34709087014198303,0.4223858118057251,0.25102201104164124,0.4946078956127167,0.2884024977684021,0.22722238302230835,0.31091248989105225
pamela,0.0839671641588211,0.15569405257701874,0.08420576900243759,0.19900323450565338,0.06904274970293045,0.283359557390213,0.12054062634706497,0.08202259242534637,0.2274908423423767,0.14925742149353027,0.16894355416297913
rogers,0.1898033767938614,0.19636403024196625,0.13556382060050964,0.18491172790527344,0.19887836277484894,0.34000396728515625,0.15913459658622742,0.18457171320915222,0.18144485354423523,0.14896486699581146,0.12813130021095276
",",0.3149496018886566,0.3734780251979828,0.4587128460407257,0.34873589873313904,0.34709087014198303,0.4223858118057251,0.25102201104164124,0.4946078956127167,0.2884024977684021,0.22722238302230835,0.31091248989105225
and,0.43859338760375977,0.43716782331466675,0.4242868423461914,0.3424558639526367,0.4546867609024048,0.4119621515274048,0.31821322441101074,0.5116966962814331,0.27571162581443787,0.20206230878829956,0.20544172823429108
mary,0.15946532785892487,0.14895595610141754,0.2010112702846527,0.1841517984867096,0.18579961359500885,0.23347777128219604,0.10619623959064484,0.17272977530956268,0.2262783944606781,0.12335878610610962,0.17181165516376495
kay,0.08067137002944946,0.1511283814907074,0.1962703913450241,0.18095934391021729,0.12279202044010162,0.19990763068199158,0.09324184060096741,0.09638576209545135,0.13454724848270416,0.11851604282855988,0.3186453580856323
