,what,is,cpdna,'s,replication,similar,to,?
one,0.376489520072937,0.4544198513031006,0.3108350336551666,0.06913424283266068,0.2684374749660492,0.28119975328445435,0.4025384783744812,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.3094331622123718,-0.03817026689648628,0.2855279743671417,0.2911645472049713,0.41548454761505127,0.1826142966747284
competing,0.24616995453834534,0.16857708990573883,0.24346758425235748,0.07182171940803528,0.16073566675186157,0.2287570685148239,0.17591790854930878,0.1428171843290329
model,0.2303347885608673,0.21612800657749176,0.2706485688686371,0.06566128134727478,0.3022181987762451,0.24680425226688385,0.187554731965065,0.14843042194843292
for,0.3017193675041199,0.43268078565597534,0.25644898414611816,-0.07241261005401611,0.27892786264419556,0.2594558596611023,0.4451248347759247,0.264628142118454
cpdna,0.3001426160335541,0.29175111651420593,0.9999999403953552,-0.01569274812936783,0.47896909713745117,0.2943517565727234,0.3485557436943054,0.20631195604801178
replication,0.2642822563648224,0.24308517575263977,0.47896909713745117,-0.11857979744672775,1.0,0.29187262058258057,0.2564338743686676,0.1812686026096344
asserts,0.2919406294822693,0.30260977149009705,0.16747760772705078,-0.021033305674791336,0.25525733828544617,0.19760577380657196,0.2540214955806732,0.2607457637786865
that,0.6297725439071655,0.3995479643344879,0.3646957278251648,0.04397977516055107,0.30437397956848145,0.4232555329799652,0.5436353087425232,0.32716336846351624
most,0.3219912350177765,0.41165053844451904,0.25847744941711426,0.024445664137601852,0.21962785720825195,0.29747629165649414,0.321603000164032,0.2107497900724411
cpdna,0.3001426160335541,0.29175111651420593,0.9999999403953552,-0.01569274812936783,0.47896909713745117,0.2943517565727234,0.3485557436943054,0.20631195604801178
is,0.28837618231773376,1.0,0.29175111651420593,0.02396530658006668,0.24308517575263977,0.28929588198661804,0.42745086550712585,0.22961433231830597
linear,0.2132105678319931,0.18999117612838745,0.35521620512008667,-0.00830553937703371,0.39382755756378174,0.31147500872612,0.2262469083070755,0.16595983505249023
and,0.31309178471565247,0.3859752118587494,0.2882109582424164,0.06895173341035843,0.20219695568084717,0.3316260874271393,0.48971283435821533,0.20544172823429108
participates,0.2182750403881073,0.18569864332675934,0.20937524735927582,0.06647634506225586,0.13408230245113373,0.1326138824224472,0.266270250082016,0.16058632731437683
in,0.30808621644973755,0.5394441485404968,0.29560428857803345,-0.037580832839012146,0.25953423976898193,0.28091391921043396,0.45010748505592346,0.20430970191955566
homologous,0.2475554198026657,0.22757160663604736,0.4482594132423401,-0.04107346758246422,0.48814743757247925,0.3860938251018524,0.22563998401165009,0.16717518866062164
recombination,0.24494265019893646,0.316060334444046,0.4868069887161255,-0.02993144281208515,0.6094895005226135,0.402715265750885,0.2878057062625885,0.1985814869403839
and,0.31309178471565247,0.3859752118587494,0.2882109582424164,0.06895173341035843,0.20219695568084717,0.3316260874271393,0.48971283435821533,0.20544172823429108
replication,0.2642822563648224,0.24308517575263977,0.47896909713745117,-0.11857979744672775,1.0,0.29187262058258057,0.2564338743686676,0.1812686026096344
structures,0.19226044416427612,0.22793793678283691,0.2285638004541397,-0.03430929780006409,0.40458524227142334,0.3014320135116577,0.25539523363113403,0.13590580224990845
similar,0.30608364939689636,0.28929588198661804,0.2943517565727234,0.10983143001794815,0.29187262058258057,0.9999999403953552,0.2888135313987732,0.23309361934661865
to,0.455847829580307,0.42745086550712585,0.3485557436943054,0.03782717138528824,0.2564338743686676,0.2888135313987732,1.0,0.29463258385658264
bacteriophage,0.18064995110034943,0.17305248975753784,0.4682565927505493,-0.07422520965337753,0.5787436366081238,0.2026919275522232,0.20708434283733368,0.15503612160682678
t4,0.14667321741580963,-0.0033949974458664656,0.04679184779524803,0.02761588990688324,0.01911076344549656,-0.046593599021434784,0.1211555153131485,0.1653805524110794
.,0.3567904531955719,0.4569662809371948,0.3225124180316925,-0.003708066651597619,0.25125551223754883,0.306670606136322,0.4645031690597534,0.4130953550338745
